variant_and_allele,p_value,trait,gene,location
rs13230421-<b>?</b>,2e-11,schizophrenia,GRM3,7:86790810
rs13230421-<b>?</b>,2e-11,schizophrenia,GRM3-AS1,7:86790810
rs17194490-<b>?</b>,2e-11,schizophrenia,CNTN4,3:2506102
rs2565164-<b>?</b>,2e-11,schizophrenia,COQ10B,2:197472796
rs7427564-<b>?</b>,2e-11,schizophrenia,STAG1,3:136555593
rs1625579-<b>T</b>,2e-11,schizophrenia,MIR137HG,1:98037378
rs7597593-<b>T</b>,2e-11,schizophrenia,ZNF804A,2:184668853
rs57016637-<b>G</b>,2e-11,schizophrenia,PES1,22:30596938
rs9398171-<b>C</b>,2e-11,schizophrenia,FOXO3,6:108662324
rs10946817-<b>?</b>,2e-11,schizophrenia,BTN3A2,6:26363828
rs10946817-<b>?</b>,2e-11,schizophrenia,H3C9P,6:26363828
rs3788567-<b>T</b>,2e-11,schizophrenia,CACNA1I,22:39610030
rs4685-<b>?</b>,2e-11,schizophrenia,SF3B1,2:197393071
rs926231-<b>?</b>,2e-11,schizophrenia,CACNA1I,22:39610981
rs72936314-<b>?</b>,2e-11,schizophrenia,LINC01416,18:55913446
rs35774874-<b>?</b>,2e-11,schizophrenia,SNX19,11:130941461
rs35774874-<b>?</b>,2e-11,schizophrenia,RN7SL167P,11:130941461
rs16867576-<b>?</b>,2e-11,schizophrenia,MEF2C-AS1,5:89450514
rs2535627-<b>T</b>,2e-11,schizophrenia,ITIH3,3:52811089
rs2535627-<b>T</b>,2e-11,schizophrenia,ITIH4,3:52811089
rs302321-<b>C</b>,2e-11,schizophrenia,TMTC1,12:29775455
rs66610175-<b>?</b>,2e-11,schizophrenia,UNKNOWN,Mapping not available
rs7907645-<b>T</b>,2e-11,schizophrenia,TRIM8,10:102664043
rs7907645-<b>T</b>,2e-11,schizophrenia,ARL3,10:102664043
rs17693963-<b>?</b>,3e-11,schizophrenia,GPR89P,6:27742386
rs17693963-<b>?</b>,3e-11,schizophrenia,RSL24D1P1,6:27742386
rs5995756-<b>T</b>,3e-11,schizophrenia,UNKNOWN,Mapping not available
rs1792709-<b>?</b>,3e-11,schizophrenia,LINC01905,18:56101744
rs1792709-<b>?</b>,3e-11,schizophrenia,LINC01539,18:56101744
rs1473594-<b>?</b>,3e-11,schizophrenia,UNKNOWN,8:59783967
rs2514218-<b>C</b>,3e-11,schizophrenia,DRD2,11:113522272
rs210155-<b>?</b>,3e-11,schizophrenia,GGNBP1,6:33549254
rs36068923-<b>G</b>,3e-11,schizophrenia,SINHCAFP3,8:110473532
rs3732386-<b>?</b>,3e-11,schizophrenia,TRANK1,3:36830502
rs11685299-<b>?</b>,3e-11,schizophrenia,CUL3,2:224526579
rs3732386-<b>T</b>,3e-11,schizophrenia,TRANK1,3:36830502
rs11693094-<b>?</b>,3e-11,schizophrenia,ZNF804A,2:184736693
rs13096210-<b>C</b>,4e-11,schizophrenia,FXR1,3:180881530
rs17194476-<b>T</b>,4e-11,schizophrenia,CNTN4,3:2496232
rs592927-<b>A</b>,4e-11,schizophrenia,RALGPS1,9:126910947
rs592927-<b>A</b>,4e-11,schizophrenia,ZBTB34,9:126910947
rs9292918-<b>G</b>,4e-11,schizophrenia,HCN1,5:45300933
rs55642704-<b>?</b>,4e-11,schizophrenia,SLC66A2,18:79928124
rs374528934-<b>?</b>,4e-11,schizophrenia,HYAL2,3:50312945
rs374528934-<b>?</b>,4e-11,schizophrenia,HYAL1,3:50312945
rs6670165-<b>T</b>,4e-11,schizophrenia,BRINP2,1:177310985
rs6670165-<b>T</b>,4e-11,schizophrenia,LINC01645,1:177310985
rs7508148-<b>?</b>,4e-11,schizophrenia,SCAF1,19:49648885
rs7951870-<b>C</b>,4e-11,schizophrenia,UNKNOWN,Mapping not available
rs62402013-<b>G</b>,4e-11,schizophrenia,GUSBP2,6:26947221
rs8055219-<b>?</b>,4.9999999999999995e-11,schizophrenia,MIR4719,16:13659527
rs4309187-<b>?</b>,4.9999999999999995e-11,schizophrenia,TMPRSS5,11:113541721
rs4309187-<b>?</b>,4.9999999999999995e-11,schizophrenia,DRD2,11:113541721
rs172531-<b>G</b>,4.9999999999999995e-11,schizophrenia,RERE,1:8435530
rs2319280-<b>?</b>,4.9999999999999995e-11,schizophrenia,UNKNOWN,Mapping not available
rs66486766-<b>?</b>,4.9999999999999995e-11,schizophrenia,EFL1P1,15:84137308
rs66486766-<b>?</b>,4.9999999999999995e-11,schizophrenia,DNM1P41,15:84137308
rs12705761-<b>?</b>,4.9999999999999995e-11,schizophrenia,IMMP2L,7:111336208
rs7499750-<b>A</b>,4.9999999999999995e-11,schizophrenia,UNKNOWN,16:13655408
rs8039305-<b>?</b>,4.9999999999999995e-11,schizophrenia,FURIN,15:90879313
rs35607894-<b>A</b>,4.9999999999999995e-11,schizophrenia,RGS6,14:71941921
rs12691307-<b>A</b>,4.9999999999999995e-11,schizophrenia,TMEM219,16:29928556
rs12691307-<b>A</b>,4.9999999999999995e-11,schizophrenia,KCTD13,16:29928556
rs6995307-<b>?</b>,4.9999999999999995e-11,schizophrenia,UNKNOWN,8:110494336
rs4949526-<b>T</b>,6e-11,schizophrenia,LINC01648,1:29959372
rs11874716-<b>T</b>,6e-11,schizophrenia,LINC01929,18:55083457
rs57346805-<b>?</b>,6e-11,schizophrenia,NEK1,4:169382833
rs13135092-<b>?</b>,6e-11,schizophrenia,SLC39A8,4:102276925
rs16902086-<b>?</b>,6e-11,schizophrenia,HCN1,5:45285650
rs12031518-<b>?</b>,6e-11,schizophrenia,PTBP2,1:96708350
rs12031518-<b>?</b>,6e-11,schizophrenia,RN7SKP270,1:96708350
rs281768-<b>?</b>,6e-11,schizophrenia,MAIP1,2:199960517
rs9922678-<b>A</b>,6e-11,schizophrenia,GRIN2A,16:9852462
rs2103655-<b>A</b>,6e-11,schizophrenia,PPP1R16B,20:38797315
rs2103655-<b>A</b>,6e-11,schizophrenia,ACTR5,20:38797315
rs12826178-<b>?</b>,6e-11,schizophrenia,NXPH4,12:57228588
rs12826178-<b>?</b>,6e-11,schizophrenia,SHMT2,12:57228588
rs17514846-<b>C</b>,6e-11,schizophrenia,FURIN,15:90873320
rs10890030-<b>T</b>,6e-11,schizophrenia,RN7SKP19,1:73290100
rs10890030-<b>T</b>,6e-11,schizophrenia,LINC01360,1:73290100
rs10890032-<b>?</b>,6e-11,schizophrenia,LINC01360,1:73323641
rs7438-<b>A</b>,6.999999999999999e-11,schizophrenia,CLCN3,4:169721095
rs3735025-<b>?</b>,6.999999999999999e-11,schizophrenia,DGKI,7:137390098
rs11708578-<b>G</b>,6.999999999999999e-11,schizophrenia,CNTN4,3:2474210
rs4812322-<b>?</b>,6.999999999999999e-11,schizophrenia,PPP1R16B,20:38854787
rs6922815-<b>?</b>,6.999999999999999e-11,schizophrenia,UNKNOWN,Mapping not available
rs7432375-<b>G</b>,6.999999999999999e-11,schizophrenia,STAG1,3:136569563
rs10890032-<b>T</b>,6.999999999999999e-11,schizophrenia,LINC01360,1:73323641
rs17691888-<b>?</b>,6.999999999999999e-11,schizophrenia,CACNB2,10:18445599
rs5995756-<b>?</b>,6.999999999999999e-11,schizophrenia,UNKNOWN,Mapping not available
rs12704290-<b>G</b>,6.999999999999999e-11,schizophrenia,GRM3-AS1,7:86798310
rs12704290-<b>G</b>,6.999999999999999e-11,schizophrenia,GRM3,7:86798310
rs7789569-<b>?</b>,6.999999999999999e-11,schizophrenia,UNKNOWN,Mapping not available
rs4642619-<b>A</b>,8e-11,schizophrenia,UNKNOWN,8:110475239
rs8188203-<b>?</b>,8e-11,schizophrenia,UNKNOWN,5:50161448
rs12704290-<b>A</b>,8e-11,schizophrenia,GRM3-AS1,7:86798310
rs12704290-<b>A</b>,8e-11,schizophrenia,GRM3,7:86798310
rs35998080-<b>T</b>,8e-11,schizophrenia,LINC02797,1:72812932
rs2535627-<b>?</b>,8e-11,schizophrenia,ITIH3,3:52811089
rs2535627-<b>?</b>,8e-11,schizophrenia,ITIH4,3:52811089
rs1319017-<b>?</b>,8e-11,schizophrenia,DDX10P2,9:82121388
rs4642619-<b>?</b>,8e-11,schizophrenia,UNKNOWN,8:110475239
rs73102769-<b>?</b>,9e-11,schizophrenia,UNKNOWN,Mapping not available
rs144158419-<b>?</b>,9e-11,schizophrenia,LINC01416,18:55887502
rs55661361-<b>A</b>,9e-11,schizophrenia,NRGN,11:124744061
rs2163548-<b>G</b>,9e-11,schizophrenia,SPATS2L,2:200362139
rs17598729-<b>C</b>,9e-11,schizophrenia,TCF4,18:55584331
rs7733403-<b>?</b>,9e-11,schizophrenia,PCDHA1,5:140774630
rs7733403-<b>?</b>,9e-11,schizophrenia,VTRNA1-3,5:140774630
rs13376709-<b>?</b>,9e-11,schizophrenia,AKT3,1:243527189
rs12902973-<b>G</b>,9e-11,schizophrenia,UBE2Q2P1,15:84562751
rs1051061-<b>?</b>,1e-10,schizophrenia,VRK2,2:58089679
rs41356645-<b>?</b>,1e-10,schizophrenia,GRIN2A,16:9852062
rs28758902-<b>T</b>,1e-10,schizophrenia,LINC01415,18:55740956
rs28758902-<b>T</b>,1e-10,schizophrenia,TCF4,18:55740956
rs4801131-<b>T</b>,1e-10,schizophrenia,LINC01929,18:55085469
rs11663602-<b>?</b>,1e-10,schizophrenia,KCNG2,18:79818191
rs11663602-<b>?</b>,1e-10,schizophrenia,CTDP1,18:79818191
rs143363269-<b>T</b>,1e-10,schizophrenia,MOG,6:29660317
rs4936216-<b>T</b>,1e-10,schizophrenia,IGSF9B,11:133983113
rs4936216-<b>T</b>,1e-10,schizophrenia,LINC02730,11:133983113
rs2767713-<b>C</b>,1e-10,schizophrenia,DDX10P2,9:82184622
rs7499362-<b>?</b>,1e-10,schizophrenia,UNKNOWN,16:13655059
rs3617-<b>C</b>,1e-10,schizophrenia,ITIH3,3:52799789
rs704373-<b>?</b>,1e-10,schizophrenia,ATXN7,3:63881679
rs760648-<b>A</b>,1e-10,schizophrenia,TCF20,22:42175022
rs16887244-<b>?</b>,1e-10,schizophrenia,LSM1,8:38173827
rs17691888-<b>G</b>,1e-10,schizophrenia,CACNB2,10:18445599
rs12532143-<b>?</b>,1e-10,schizophrenia,UNKNOWN,Mapping not available
rs10791097-<b>?</b>,1e-10,schizophrenia,UNKNOWN,Mapping not available
rs111294930-<b>A</b>,1e-10,schizophrenia,LINC01470,5:152797561
rs140505938-<b>?</b>,1e-10,schizophrenia,OTUD7B,1:150059494
rs140505938-<b>?</b>,1e-10,schizophrenia,VPS45,1:150059494
rs77502336-<b>C</b>,1e-10,schizophrenia,GRAMD1B,11:123523928
rs7405404-<b>T</b>,1e-10,schizophrenia,UNKNOWN,Mapping not available
rs3798869-<b>?</b>,1e-10,schizophrenia,SNAP91,6:83618941
rs58146172-<b>?</b>,1e-10,schizophrenia,SMG6,17:2210774
rs145501595-<b>?</b>,1e-10,schizophrenia,OR11A1,6:29445191
rs16880831-<b>G</b>,2e-10,schizophrenia,STAU2,8:110549276
rs5757730-<b>G</b>,2e-10,schizophrenia,CACNA1I,22:39571425
rs6449528-<b>A</b>,2e-10,schizophrenia,ZSWIM6,5:61346520
rs3131296-<b>G</b>,2e-10,schizophrenia,NOTCH4,6:32205216
rs999494-<b>C</b>,2e-10,schizophrenia,EMX1,2:72930266
rs13164092-<b>G</b>,2e-10,schizophrenia,ETF1,5:138505171
rs13164092-<b>G</b>,2e-10,schizophrenia,RPL7P19,5:138505171
rs35978510-<b>C</b>,2e-10,schizophrenia,AKT3,1:243612815
rs4766428-<b>T</b>,2e-10,schizophrenia,ATP2A2,12:110285440
rs3825845-<b>C</b>,2e-10,schizophrenia,CHRNA3,15:78617916
rs4906364-<b>?</b>,2e-10,schizophrenia,PPP1R13B,14:103748005
rs111611027-<b>?</b>,2e-10,schizophrenia,MAD1L1,7:2105994
rs4479913-<b>?</b>,2e-10,schizophrenia,UNKNOWN,6:164654177
rs4856763-<b>?</b>,2e-10,schizophrenia,UNKNOWN,3:162113887
rs10861879-<b>?</b>,2e-10,schizophrenia,WSCD2,12:108215857
rs80256351-<b>?</b>,2e-10,schizophrenia,ACTG1P22,2:57844458
rs80256351-<b>?</b>,2e-10,schizophrenia,VRK2,2:57844458
rs2801578-<b>?</b>,2e-10,schizophrenia,PDE4B,1:65866972
rs5937157-<b>G</b>,2e-10,schizophrenia,PJA1,X:69157283
rs2332700-<b>?</b>,2e-10,schizophrenia,RGS6,14:71950609
rs14403-<b>?</b>,2e-10,schizophrenia,AKT3,1:243500591
rs12009217-<b>?</b>,2e-10,schizophrenia,NLGN4X,X:6002841
rs42945-<b>?</b>,2e-10,schizophrenia,NDRG4,16:58511522
rs2053079-<b>?</b>,2e-10,schizophrenia,ZNF536,19:30496516
rs4788196-<b>?</b>,2e-10,schizophrenia,UNKNOWN,Mapping not available
rs35324223-<b>G</b>,2e-10,schizophrenia,MDK,11:46381302
rs6868457-<b>?</b>,2e-10,schizophrenia,LINC02057,5:61254214
rs7427564-<b>G</b>,2e-10,schizophrenia,STAG1,3:136555593
rs2333321-<b>?</b>,2e-10,schizophrenia,GPM6A,4:175938841
rs2414718-<b>A</b>,2e-10,schizophrenia,UNKNOWN,15:61570934
rs13142920-<b>?</b>,2e-10,schizophrenia,GPM6A,4:175807463
rs28437878-<b>C</b>,2e-10,schizophrenia,HYKK,15:78515530
rs999494-<b>?</b>,3e-10,schizophrenia,EMX1,2:72930266
rs59979824-<b>?</b>,3e-10,schizophrenia,UNKNOWN,2:192983614
rs4271249-<b>T</b>,3e-10,schizophrenia,DPYD,1:97933063
rs7191999-<b>?</b>,3e-10,schizophrenia,UNKNOWN,Mapping not available
rs12903146-<b>A</b>,3e-10,schizophrenia,UNKNOWN,15:61562464
rs11587347-<b>?</b>,3e-10,schizophrenia,UNKNOWN,1:239035659
rs160593-<b>?</b>,3e-10,schizophrenia,LIN28B,6:105018457
rs1261117-<b>T</b>,3e-10,schizophrenia,TCF4,18:55282426
rs4523957-<b>T</b>,3e-10,schizophrenia,SRR,17:2305605
rs11210892-<b>A</b>,3e-10,schizophrenia,PTPRF,1:43634413
rs11210892-<b>A</b>,3e-10,schizophrenia,KDM4A,1:43634413
rs7185124-<b>?</b>,3e-10,schizophrenia,UNKNOWN,16:13656837
rs78681500-<b>T</b>,3e-10,schizophrenia,SPATS2L,2:200322593
rs7676765-<b>?</b>,3e-10,schizophrenia,SLC9B1,4:103016776
rs12474906-<b>?</b>,3e-10,schizophrenia,UNKNOWN,Mapping not available
rs895526-<b>C</b>,3e-10,schizophrenia,SATB2,2:199297702
rs7067170-<b>?</b>,3e-10,schizophrenia,PJA1,X:69162993
rs10260040-<b>A</b>,3e-10,schizophrenia,IMMP2L,7:111281263
rs3145-<b>A</b>,4e-10,schizophrenia,SLTM,15:58919912
rs3145-<b>A</b>,4e-10,schizophrenia,RNF111,15:58919912
rs1191551-<b>?</b>,4e-10,schizophrenia,RNU11-5P,14:29531199
rs1191551-<b>?</b>,4e-10,schizophrenia,PRKD1,14:29531199
rs7499750-<b>?</b>,4e-10,schizophrenia,UNKNOWN,16:13655408
rs12902973-<b>?</b>,4e-10,schizophrenia,UBE2Q2P1,15:84562751
rs75059851-<b>?</b>,4e-10,schizophrenia,IGSF9B,11:133952674
rs2319280-<b>A</b>,4e-10,schizophrenia,UNKNOWN,Mapping not available
rs6918354-<b>T</b>,4e-10,schizophrenia,CARMIL1,6:25444386
rs6918354-<b>T</b>,4e-10,schizophrenia,CMAHP,6:25444386
rs140505938-<b>C</b>,4e-10,schizophrenia,OTUD7B,1:150059494
rs140505938-<b>C</b>,4e-10,schizophrenia,VPS45,1:150059494
rs140505938-<b>T</b>,4e-10,schizophrenia,OTUD7B,1:150059494
rs140505938-<b>T</b>,4e-10,schizophrenia,VPS45,1:150059494
rs10789369-<b>A</b>,4e-10,schizophrenia,LINC01360,1:73359226
rs12668724-<b>?</b>,4e-10,schizophrenia,IMMP2L,7:111494001
rs62366215-<b>?</b>,4e-10,schizophrenia,LINC02057,5:61253693
rs66492629-<b>A</b>,4e-10,schizophrenia,CNTN4,3:2496596
rs2905426-<b>G</b>,4e-10,schizophrenia,MAU2,19:19367213
rs2905426-<b>G</b>,4e-10,schizophrenia,GATAD2A,19:19367213
rs1339227-<b>?</b>,4e-10,schizophrenia,RIMS1,6:72445999
rs148415900-<b>?</b>,4e-10,schizophrenia,MIR124-2HG,8:64405112
rs2381760-<b>?</b>,4e-10,schizophrenia,UNKNOWN,2:145683104
rs10204933-<b>G</b>,4e-10,schizophrenia,SPHKAP,2:228206898
rs10883761-<b>A</b>,4e-10,schizophrenia,TRIM8,10:102660261
rs10883761-<b>A</b>,4e-10,schizophrenia,ARL3,10:102660261
rs6065094-<b>A</b>,4e-10,schizophrenia,UNKNOWN,Mapping not available
rs2927176-<b>?</b>,4e-10,schizophrenia,LINC01470,5:153222354
rs6994019-<b>?</b>,4e-10,schizophrenia,MMP16,8:88256314
rs12691307-<b>?</b>,4e-10,schizophrenia,TMEM219,16:29928556
rs12691307-<b>?</b>,4e-10,schizophrenia,KCTD13,16:29928556
rs28735056-<b>G</b>,5e-10,schizophrenia,KCNG2,18:79862879
rs2189806-<b>?</b>,5e-10,schizophrenia,PCNX1,14:70921681
rs17620999-<b>?</b>,5e-10,schizophrenia,CNTN4,3:2519872
rs13355485-<b>?</b>,5e-10,schizophrenia,UNKNOWN,5:45904032
rs6430491-<b>G</b>,5e-10,schizophrenia,MGAT5,2:134083396
rs7405404-<b>?</b>,5e-10,schizophrenia,UNKNOWN,Mapping not available
rs12908161-<b>A</b>,5e-10,schizophrenia,SEC11A,15:84664594
rs12908161-<b>A</b>,5e-10,schizophrenia,NMB,15:84664594
rs7216638-<b>?</b>,5e-10,schizophrenia,SMG6,17:2253159
rs11057189-<b>?</b>,5e-10,schizophrenia,UNKNOWN,Mapping not available
rs73022874-<b>?</b>,5e-10,schizophrenia,LINC02551,11:130861542
rs117074560-<b>?</b>,5e-10,schizophrenia,FUT9,6:96011775
rs117074560-<b>?</b>,5e-10,schizophrenia,KRT18P50,6:96011775
rs115070292-<b>?</b>,5e-10,schizophrenia,GABBR1,6:29563197
rs72639203-<b>?</b>,5e-10,schizophrenia,SNORD3A,17:19188139
rs12363019-<b>?</b>,5e-10,schizophrenia,LINC02686,11:24352999
rs9841616-<b>?</b>,5e-10,schizophrenia,SOX2-OT,3:181449797
rs13335685-<b>?</b>,6e-10,schizophrenia,CORO7-PAM16,16:4419283
rs13335685-<b>?</b>,6e-10,schizophrenia,CORO7,16:4419283
rs6002655-<b>T</b>,6e-10,schizophrenia,TCF20,22:42207808
rs6704768-<b>A</b>,6e-10,schizophrenia,GIGYF2,2:232727791
rs76442143-<b>?</b>,6e-10,schizophrenia,DOCK3,3:51006168
rs6721549-<b>?</b>,6e-10,schizophrenia,MGAT5,2:134084736
rs133047-<b>?</b>,6e-10,schizophrenia,UNKNOWN,Mapping not available
rs6918586-<b>T</b>,6e-10,schizophrenia,HFE,6:26097156
rs6986895-<b>?</b>,6e-10,schizophrenia,CSMD1,8:4959350
rs5757717-<b>C</b>,6e-10,schizophrenia,CACNA1I,22:39546229
rs5757717-<b>C</b>,6e-10,schizophrenia,RPS19BP1,22:39546229
rs12928842-<b>C</b>,6e-10,schizophrenia,SLC38A8,16:84044382
rs12928842-<b>C</b>,6e-10,schizophrenia,MBTPS1,16:84044382
rs12148337-<b>T</b>,6e-10,schizophrenia,UNKNOWN,15:70296933
rs77502336-<b>?</b>,6e-10,schizophrenia,GRAMD1B,11:123523928
rs832190-<b>C</b>,6e-10,schizophrenia,THOC7,3:63856953
rs215411-<b>A</b>,6e-10,schizophrenia,RFPL4AP3,4:23421980
rs71428218-<b>?</b>,6e-10,schizophrenia,UNKNOWN,13:56374126
rs12991836-<b>?</b>,6e-10,schizophrenia,ZEB2,2:144383974
rs10156310-<b>?</b>,6e-10,schizophrenia,NSD3,8:38351611
rs6984242-<b>G</b>,7.000000000000001e-10,schizophrenia,UNKNOWN,8:59787910
rs1498232-<b>T</b>,7.000000000000001e-10,schizophrenia,LINC01648,1:29961104
rs13169274-<b>?</b>,7.000000000000001e-10,schizophrenia,UNKNOWN,Mapping not available
rs926914-<b>T</b>,7.000000000000001e-10,schizophrenia,RBX1,22:41022150
rs926914-<b>T</b>,7.000000000000001e-10,schizophrenia,Y_RNA,22:41022150
rs133047-<b>T</b>,7.000000000000001e-10,schizophrenia,UNKNOWN,Mapping not available
rs17687067-<b>?</b>,7.000000000000001e-10,schizophrenia,ZDHHC2,8:17178692
rs8082590-<b>G</b>,7.000000000000001e-10,schizophrenia,GID4,17:18055088
rs9567393-<b>?</b>,7.000000000000001e-10,schizophrenia,FRY,13:32189620
rs10935182-<b>?</b>,7.000000000000001e-10,schizophrenia,STAG1,3:136418580
rs2332700-<b>C</b>,7.000000000000001e-10,schizophrenia,RGS6,14:71950609
rs12969453-<b>?</b>,7.000000000000001e-10,schizophrenia,UNKNOWN,Mapping not available
rs758117-<b>C</b>,8e-10,schizophrenia,CACNA1C,12:2404143
rs5758265-<b>?</b>,8e-10,schizophrenia,L3MBTL2-AS1,22:41221893
rs5758265-<b>?</b>,8e-10,schizophrenia,L3MBTL2,22:41221893
rs198806-<b>?</b>,8e-10,schizophrenia,UNKNOWN,Mapping not available
rs6804239-<b>C</b>,8e-10,schizophrenia,UNKNOWN,3:162062700
rs758129-<b>?</b>,8e-10,schizophrenia,POLG-DT,15:89357656
rs758129-<b>?</b>,8e-10,schizophrenia,MIR9-3HG,15:89357656
rs10883795-<b>?</b>,8e-10,schizophrenia,AS3MT,10:102894820
rs10883795-<b>?</b>,8e-10,schizophrenia,BORCS7-ASMT,10:102894820
rs2905426-<b>?</b>,9e-10,schizophrenia,MAU2,19:19367213
rs2905426-<b>?</b>,9e-10,schizophrenia,GATAD2A,19:19367213
rs7143919-<b>?</b>,9e-10,schizophrenia,UNKNOWN,Mapping not available
rs2693698-<b>?</b>,9e-10,schizophrenia,BCL11B,14:99252882
rs11665242-<b>G</b>,9e-10,schizophrenia,DCC,18:53380757
rs9342117-<b>?</b>,9e-10,schizophrenia,EYS,6:64081515
rs210152-<b>A</b>,9e-10,schizophrenia,GGNBP1,6:33547743
rs4648845-<b>T</b>,9e-10,schizophrenia,PLCH2,1:2455662
rs2577831-<b>A</b>,9e-10,schizophrenia,PBRM1,3:52594040
rs12908161-<b>?</b>,9e-10,schizophrenia,SEC11A,15:84664594
rs12908161-<b>?</b>,9e-10,schizophrenia,NMB,15:84664594
rs3798869-<b>G</b>,9e-10,schizophrenia,SNAP91,6:83618941
rs7719676-<b>G</b>,1e-09,schizophrenia,ZSWIM6,5:61441122
rs34796896-<b>G</b>,1e-09,schizophrenia,FXR1,3:180905467
rs112222723-<b>?</b>,1e-09,schizophrenia,RNU6-543P,10:63102717
rs4615688-<b>G</b>,1e-09,schizophrenia,CDCA4P1,9:14505863
rs72986630-<b>?</b>,1e-09,schizophrenia,ZNF823,19:11738921
rs4240748-<b>G</b>,1e-09,schizophrenia,LINC02404,12:91853010
rs202904-<b>C</b>,1e-09,schizophrenia,ZSCAN16-AS1,6:28050847
rs2383377-<b>A</b>,1e-09,schizophrenia,AKAP6,14:32788708
rs793571-<b>A</b>,1e-09,schizophrenia,MINDY2,15:58849507
rs13176930-<b>T</b>,1e-09,schizophrenia,LINC01470,5:153285161
rs2015244-<b>A</b>,1e-09,schizophrenia,LINC01648,1:29956096
rs13284900-<b>?</b>,1e-09,schizophrenia,RALGPS1,9:126943228
rs8055219-<b>A</b>,1e-09,schizophrenia,MIR4719,16:13659527
rs13164092-<b>?</b>,1e-09,schizophrenia,ETF1,5:138505171
rs13164092-<b>?</b>,1e-09,schizophrenia,RPL7P19,5:138505171
rs13261217-<b>?</b>,1e-09,schizophrenia,CSMD1,8:4325535
rs6466055-<b>A</b>,1e-09,schizophrenia,SRPK2,7:105288617
rs62152284-<b>?</b>,1e-09,schizophrenia,AHCYP3,2:104367929
rs12328348-<b>?</b>,1e-09,schizophrenia,RN7SL361P,2:60558802
rs12328348-<b>?</b>,1e-09,schizophrenia,BCL11A,2:60558802
rs10520163-<b>T</b>,1e-09,schizophrenia,CLCN3,4:169705401
rs7129727-<b>?</b>,1e-09,schizophrenia,TMX2,11:57717188
rs1498232-<b>?</b>,1e-09,schizophrenia,LINC01648,1:29961104
rs1899543-<b>?</b>,1e-09,schizophrenia,Y_RNA,11:24384873
rs1509378-<b>?</b>,1e-09,schizophrenia,UNKNOWN,Mapping not available
rs35657897-<b>A</b>,1e-09,schizophrenia,PLCL1,2:198064362
rs35017470-<b>?</b>,1e-09,schizophrenia,LINC02060,5:88431287
rs35017470-<b>?</b>,1e-09,schizophrenia,TMEM161B-AS1,5:88431287
rs12474906-<b>A</b>,1e-09,schizophrenia,UNKNOWN,Mapping not available
rs8139773-<b>?</b>,1e-09,schizophrenia,CACNA1I,22:39579686
rs6694545-<b>A</b>,1e-09,schizophrenia,UNKNOWN,Mapping not available
rs2239063-<b>?</b>,1e-09,schizophrenia,UNKNOWN,Mapping not available
rs35274053-<b>?</b>,1e-09,schizophrenia,LINC02551,11:130848319
rs11027827-<b>?</b>,1e-09,schizophrenia,LINC02686,11:24353633
rs2973155-<b>C</b>,1e-09,schizophrenia,LINC01470,5:153229059
rs3132565-<b>A</b>,1e-09,schizophrenia,PSORS1C1,6:31135187
rs12214031-<b>?</b>,1e-09,schizophrenia,UNKNOWN,Mapping not available
rs56007784-<b>C</b>,1e-09,schizophrenia,YWHAE,17:1387656
rs6846161-<b>A</b>,1e-09,schizophrenia,GPM6A,4:175945308
rs61882743-<b>?</b>,1e-09,schizophrenia,AMBRA1,11:46527204
rs2910032-<b>C</b>,1e-09,schizophrenia,LINC01470,5:153160794
rs6466055-<b>?</b>,1e-09,schizophrenia,SRPK2,7:105288617
rs6984242-<b>?</b>,1e-09,schizophrenia,UNKNOWN,8:59787910
rs4873803-<b>?</b>,1e-09,schizophrenia,MROH6,8:143572424
rs17270962-<b>?</b>,1e-09,schizophrenia,UNKNOWN,Mapping not available
rs11223656-<b>?</b>,1e-09,schizophrenia,IGSF9B,11:133973078
rs11223656-<b>?</b>,1e-09,schizophrenia,LINC02730,11:133973078
rs75836205-<b>?</b>,1e-09,schizophrenia,UNKNOWN,Mapping not available
rs4793885-<b>?</b>,1e-09,schizophrenia,MSI2,17:57650863
rs10491964-<b>?</b>,1e-09,schizophrenia,CACNA1C,12:2391265
rs6748251-<b>?</b>,2e-09,schizophrenia,UNKNOWN,2:193603800
rs7940866-<b>T</b>,2e-09,schizophrenia,SNX19,11:130947684
rs7940866-<b>T</b>,2e-09,schizophrenia,RN7SL167P,11:130947684
rs72804781-<b>?</b>,2e-09,schizophrenia,UNKNOWN,Mapping not available
rs11874716-<b>?</b>,2e-09,schizophrenia,LINC01929,18:55083457
rs2910032-<b>?</b>,2e-09,schizophrenia,LINC01470,5:153160794
rs67575965-<b>A</b>,2e-09,schizophrenia,H1-12P,6:26196365
rs12807809-<b>T</b>,2e-09,schizophrenia,UNKNOWN,Mapping not available
rs12666575-<b>?</b>,2e-09,schizophrenia,MAD1L1,7:1964786
rs11191580-<b>?</b>,2e-09,schizophrenia,NT5C2,10:103146454
rs3849046-<b>?</b>,2e-09,schizophrenia,ETF1,5:138515503
rs217320-<b>?</b>,2e-09,schizophrenia,UNKNOWN,Mapping not available
rs11139497-<b>A</b>,2e-09,schizophrenia,DDX10P2,9:82125026
rs211829-<b>?</b>,2e-09,schizophrenia,UNKNOWN,7:110408836
rs11409090-<b>?</b>,2e-09,schizophrenia,TBC1D5,3:17846144
rs117074560-<b>C</b>,2e-09,schizophrenia,FUT9,6:96011775
rs117074560-<b>C</b>,2e-09,schizophrenia,KRT18P50,6:96011775
