,variant_and_allele,p_value,trait,gene,location,maf
646,rs7161596-<b>?</b>,1e-08,bipolar disorder,RGS6,14:71975895,-1.0
754,rs4309187-<b>?</b>,1e-08,bipolar disorder,TMPRSS5,11:113541721,-1.0
754,rs4309187-<b>?</b>,1e-08,bipolar disorder,DRD2,11:113541721,-1.0
338,rs7001340-<b>T</b>,1e-08,bipolar disorder,UNKNOWN,Mapping not available,0.8058231868713605
517,rs9378249-<b>?</b>,1e-08,bipolar disorder,DHFRP2,6:31359924,-1.0
517,rs9378249-<b>?</b>,1e-08,bipolar disorder,HLA-B,6:31359924,-1.0
729,rs6694545-<b>?</b>,1e-08,bipolar disorder,UNKNOWN,Mapping not available,-1.0
610,rs778353-<b>?</b>,1e-08,bipolar disorder,NGEF,2:232923640,-1.0
228,chr20_43682549_I-<b>?</b>,1e-08,bipolar disorder,UNKNOWN,Mapping not available,-1.0
356,rs11648559-<b>T</b>,1e-08,bipolar disorder,GRIN2A,16:9780842,0.29702371350217777
229,chr10_111745562_I-<b>?</b>,1e-08,bipolar disorder,UNKNOWN,Mapping not available,-1.0
463,rs1938526-<b>?</b>,1e-08,bipolar disorder,ANK3,10:60540625,-1.0
360,rs4239639-<b>A</b>,1e-08,bipolar disorder,MAU2,19:19325067,0.8356496104443041
85,rs4722033-<b>G</b>,1e-08,bipolar i disorder,SP4,7:21460210,0.3525674960296453
375,rs1054442-<b>A</b>,1e-08,bipolar disorder,DDN,12:48995537,0.6242968184682898
366,rs17826816-<b>G</b>,1e-08,bipolar disorder,ADCY2,5:7519185,0.20873478030704076
330,rs55648125-<b>A</b>,1e-08,bipolar disorder,UNKNOWN,Mapping not available,0.9173696145124717
367,rs12202969-<b>A</b>,1e-08,bipolar disorder,EIF4EBP2P3,6:98128347,0.4207517204870302
744,rs34771152-<b>?</b>,1e-08,bipolar disorder,UNKNOWN,Mapping not available,-1.0
595,rs10744560-<b>?</b>,1e-08,bipolar disorder,CACNA1C,12:2277933,-1.0
595,rs10744560-<b>?</b>,1e-08,bipolar disorder,CACNA1C-IT3,12:2277933,-1.0
435,rs12563424-<b>T</b>,1e-08,bipolar disorder,UNKNOWN,Mapping not available,0.6695140664961636
337,rs13236223-<b>T</b>,1e-08,bipolar disorder,BRAF,7:140967165,0.7112452350698857
337,rs13236223-<b>T</b>,1e-08,bipolar disorder,CCT4P1,7:140967165,0.7112452350698857
351,rs10129264-<b>T</b>,1e-08,bipolar disorder,BCL11B,14:99237631,0.3645697664322306
433,rs11887562-<b>A</b>,2e-08,bipolar disorder,LINC01830,2:22400520,0.5218932038834951
793,rs2693698-<b>A</b>,2e-08,bipolar disorder,BCL11B,14:99252882,0.43991885143570536
368,rs6550435-<b>G</b>,2e-08,bipolar disorder,TRANK1,3:36822998,0.3669190600522193
368,rs6550435-<b>G</b>,2e-08,bipolar disorder,LINC02033,3:36822998,0.3669190600522193
507,rs1012053-<b>A</b>,2e-08,bipolar disorder,DGKH,13:42079301,0.8261581341705645
326,rs13135092-<b>A</b>,2e-08,bipolar disorder,SLC39A8,4:102276925,0.935627316040233
622,rs6922815-<b>?</b>,2e-08,bipolar disorder,UNKNOWN,Mapping not available,-1.0
617,rs10043984-<b>?</b>,2e-08,bipolar disorder,KDM3B,5:138376432,-1.0
616,rs329319-<b>?</b>,2e-08,bipolar disorder,JADE2,5:134570919,-1.0
98,rs3803277-<b>C</b>,2e-08,bipolar i disorder,ALOX5AP,13:30744171,0.5497206703910614
340,rs912983-<b>T</b>,2e-08,bipolar disorder,CACNB2,10:18454538,0.05655452436194896
560,rs4765913-<b>A</b>,2e-08,bipolar disorder,CACNA1C,12:2310730,0.206872420173649
102,rs28379895-<b>T</b>,2e-08,bipolar i disorder,INSYN1-AS1,15:73856091,0.4941768131286395
102,rs28379895-<b>T</b>,2e-08,bipolar i disorder,TBC1D21,15:73856091,0.4941768131286395
106,rs7248205-<b>C</b>,2e-08,bipolar i disorder,ILF3,19:10659629,0.38519791268932163
322,rs2592118-<b>T</b>,2e-08,bipolar disorder,NGEF,2:232927715,0.4322447248436009
624,rs1023330-<b>?</b>,2e-08,bipolar disorder,TLCD4-RWDD3,1:95121217,-1.0
624,rs1023330-<b>?</b>,2e-08,bipolar disorder,TLCD4,1:95121217,-1.0
417,chr6:72519394-<b>?</b>,2e-08,bipolar disorder,UNKNOWN,Mapping not available,-1.0
40,rs489337-<b>G</b>,2e-08,bipolar i disorder,PACS1,11:66087090,0.6971304153640018
383,rs10459221-<b>?</b>,2e-08,bipolar disorder,RHEBL1,12:49073211,-1.0
383,rs10459221-<b>?</b>,2e-08,bipolar disorder,DHH,12:49073211,-1.0
749,rs7001340-<b>?</b>,2e-08,bipolar disorder,UNKNOWN,Mapping not available,-1.0
437,rs72769124-<b>A</b>,2e-08,bipolar disorder,UNKNOWN,1:239046758,0.07524091919940697
604,rs10497655-<b>?</b>,2e-08,bipolar disorder,MIR548AE1,2:184597314,-1.0
604,rs10497655-<b>?</b>,2e-08,bipolar disorder,ZNF804A,2:184597314,-1.0
689,rs10973201-<b>T</b>,2e-08,bipolar disorder,EBLN3P,9:37090541,0.9055816775367814
597,rs6079463-<b>?</b>,2e-08,bipolar disorder,MACROD2,20:14495111,-1.0
408,rs9863544-<b>T</b>,2e-08,bipolar disorder,NPHP3-AS1,3:132893820,0.4342380620204198
767,rs6865469-<b>G</b>,2e-08,bipolar disorder,Y_RNA,5:79553682,0.7319508150994856
483,rs1039002-<b>?</b>,2e-08,bipolar disorder,PDE10A,6:165741969,-1.0
684,rs10255167-<b>G</b>,2e-08,bipolar disorder,BRAF,7:140976353,0.29345174197326046
684,rs10255167-<b>G</b>,2e-08,bipolar disorder,CCT4P1,7:140976353,0.29345174197326046
681,rs11742527-<b>G</b>,2e-08,bipolar disorder,DOCK2,5:169916213,0.6232413131528459
681,rs11742527-<b>G</b>,2e-08,bipolar disorder,INSYN2B,5:169916213,0.6232413131528459
676,rs8118905-<b>C</b>,2e-08,bipolar disorder,KCNG1,20:50994060,0.26211649622054245
676,rs8118905-<b>C</b>,2e-08,bipolar disorder,MOCS3,20:50994060,0.26211649622054245
234,rs112114764-<b>G</b>,2e-08,bipolar disorder,HDAC5,17:44123673,0.5344243792325056
233,rs11724116-<b>C</b>,2e-08,bipolar disorder,FSTL5,4:161372886,0.8508219342452604
231,rs10896090-<b>A</b>,2e-08,bipolar disorder,PACS1,11:66177715,0.817787188988883
733,rs13006508-<b>?</b>,2e-08,bipolar disorder,UNKNOWN,Mapping not available,-1.0
599,rs8179328-<b>?</b>,2e-08,bipolar disorder,UNKNOWN,1:163783451,-1.0
423,rs968369-<b>T</b>,2e-08,bipolar disorder,TENM4,11:79442036,0.10830097087378641
773,rs7199910-<b>T</b>,2e-08,bipolar disorder,GRIN2A,16:9832491,0.6249338274219164
656,rs6125656-<b>?</b>,2e-08,bipolar disorder,KCNB1,20:49474242,-1.0
718,rs5758064-<b>T</b>,2e-08,bipolar disorder,MCHR1,22:40757875,0.5043188643188643
718,rs5758064-<b>T</b>,2e-08,bipolar disorder,SLC25A17,22:40757875,0.5043188643188643
694,rs115694474-<b>T</b>,2e-08,bipolar disorder,SAMMSON,3:70439637,0.9295852280556703
756,rs2239063-<b>?</b>,2e-08,bipolar disorder,UNKNOWN,Mapping not available,-1.0
711,rs4331993-<b>T</b>,2e-08,bipolar disorder,SYNE1,6:152472437,0.8595581171950049
38,rs57957974-<b>A</b>,2e-08,bipolar i disorder,PARP10,8:144002361,0.32795129698253045
645,rs10149407-<b>?</b>,2e-08,bipolar disorder,PRKD1,14:29718199,-1.0
708,rs3088186-<b>C</b>,2e-08,bipolar disorder,MSRA,8:10368845,0.7034074524535816
720,rs61554907-<b>G</b>,2e-08,bipolar disorder,THRA,17:40064179,0.8913710958178931
39,rs2305929-<b>G</b>,2e-08,bipolar i disorder,BABAM2,2:27891044,0.17215640376439115
39,rs2305929-<b>G</b>,2e-08,bipolar i disorder,MRPL33,2:27891044,0.17215640376439115
704,rs13417268-<b>C</b>,2e-08,bipolar disorder,CERS6,2:168625327,0.8654285279342365
371,rs1487441-<b>G</b>,3.0000000000000004e-08,bipolar disorder,MIR2113,6:98106018,0.5743250397035469
371,rs1487441-<b>G</b>,3.0000000000000004e-08,bipolar disorder,EIF4EBP2P3,6:98106018,0.5743250397035469
677,rs994280-<b>A</b>,3.0000000000000004e-08,bipolar disorder,SPATS2L,2:200375363,0.6952718912435026
678,rs1440518-<b>A</b>,3.0000000000000004e-08,bipolar disorder,RBMS3,3:29707867,0.5385433019361591
416,rs10035291-<b>T</b>,3.0000000000000004e-08,bipolar disorder,SSBP2,5:81500549,0.5922710428798306
5,rs7720655-<b>T</b>,3.0000000000000004e-08,bipolar ii disorder,SLIT3,5:169039564,0.8116677581314123
697,rs12289486-<b>C</b>,3.0000000000000004e-08,bipolar disorder,TENM4,11:79381483,0.9136700521548174
86,rs7013693-<b>G</b>,3.0000000000000004e-08,bipolar i disorder,MSRA,8:10023626,0.8461698801459093
696,rs11870683-<b>T</b>,3.0000000000000004e-08,bipolar disorder,GSDMA,17:39973588,0.6996841646700065
485,rs2727943-<b>?</b>,3.0000000000000004e-08,bipolar disorder,RPL21P17,3:1856289,-1.0
717,rs4790841-<b>C</b>,3.0000000000000004e-08,bipolar disorder,RPA1,17:1932188,0.8648348157560356
717,rs4790841-<b>C</b>,3.0000000000000004e-08,bipolar disorder,RTN4RL1,17:1932188,0.8648348157560356
89,rs4748468-<b>G</b>,3.0000000000000004e-08,bipolar i disorder,CACNB2,10:18453325,0.8943356273160402
760,rs1700006-<b>?</b>,3.0000000000000004e-08,bipolar disorder,UNKNOWN,Mapping not available,-1.0
655,rs2068756-<b>?</b>,3.0000000000000004e-08,bipolar disorder,MACROD2,20:14512564,-1.0
640,rs72830427-<b>?</b>,3.0000000000000004e-08,bipolar disorder,MXI1,10:110175792,-1.0
640,rs72830427-<b>?</b>,3.0000000000000004e-08,bipolar disorder,SNRPGP12,10:110175792,-1.0
641,rs12805133-<b>?</b>,3.0000000000000004e-08,bipolar disorder,SPTBN2,11:66715794,-1.0
381,rs10884920-<b>?</b>,3.0000000000000004e-08,bipolar disorder,ADD3,10:110015049,-1.0
782,rs55648125-<b>?</b>,3.0000000000000004e-08,bipolar disorder,UNKNOWN,Mapping not available,-1.0
425,rs7969091-<b>A</b>,3.0000000000000004e-08,bipolar disorder,DHH,12:49070666,0.5835918340831209
425,rs7969091-<b>A</b>,3.0000000000000004e-08,bipolar disorder,RHEBL1,12:49070666,0.5835918340831209
428,rs112114764-<b>T</b>,3.0000000000000004e-08,bipolar disorder,HDAC5,17:44123673,0.46557562076749437
649,rs28681284-<b>?</b>,3.0000000000000004e-08,bipolar disorder,CHRNA3,15:78616223,-1.0
42,rs112968809-<b>A</b>,3.0000000000000004e-08,bipolar i disorder,CDAN1,15:42738205,0.12231203294189416
42,rs112968809-<b>A</b>,3.0000000000000004e-08,bipolar i disorder,TTBK2,15:42738205,0.12231203294189416
346,rs35774874-<b>T</b>,3.0000000000000004e-08,bipolar disorder,SNX19,11:130941461,0.7144408251900108
346,rs35774874-<b>T</b>,3.0000000000000004e-08,bipolar disorder,RN7SL167P,11:130941461,0.7144408251900108
336,rs2966424-<b>A</b>,3.0000000000000004e-08,bipolar disorder,UNKNOWN,7:110549887,0.8345078693915903
68,rs1510606-<b>G</b>,3.0000000000000004e-08,bipolar i disorder,NUTF2P8,2:21308394,0.6397838178192885
334,rs17156675-<b>T</b>,3.0000000000000004e-08,bipolar disorder,PCLO,7:82793089,0.2842271891686849
238,chr6_72519394_D-<b>?</b>,3.0000000000000004e-08,bipolar disorder,UNKNOWN,Mapping not available,-1.0
764,rs62581014-<b>C</b>,3.0000000000000004e-08,bipolar disorder,TUBBP5,9:138172038,0.6574599507859188
235,chr15_85357857_I-<b>?</b>,3.0000000000000004e-08,bipolar disorder,UNKNOWN,Mapping not available,-1.0
731,rs12563424-<b>?</b>,3.0000000000000004e-08,bipolar disorder,UNKNOWN,Mapping not available,-1.0
70,rs4676412-<b>G</b>,3.0000000000000004e-08,bipolar i disorder,GPR35,2:240614075,0.22568716874152595
70,rs4676412-<b>G</b>,3.0000000000000004e-08,bipolar i disorder,CAPN10,2:240614075,0.22568716874152595
379,rs1203233-<b>?</b>,4e-08,bipolar disorder,SYNE1,6:152393471,-1.0
786,rs1998820-<b>T</b>,4e-08,bipolar disorder,CACNB2,10:18462174,0.8947591318157755
241,rs10455979-<b>G</b>,4e-08,bipolar disorder,RPS6KA2,6:166581772,0.2232783357245337
787,rs2011302-<b>T</b>,4e-08,bipolar disorder,PCGEM1,2:192873610,0.5850714663843304
787,rs2011302-<b>T</b>,4e-08,bipolar disorder,SLC44A3P1,2:192873610,0.5850714663843304
99,rs1924817-<b>A</b>,4e-08,bipolar i disorder,B3GLCT,13:31269461,0.271148755955532
97,rs12315174-<b>G</b>,4e-08,bipolar i disorder,IFT81,12:110148473,0.7932789144492738
769,rs6946056-<b>A</b>,4e-08,bipolar disorder,PLXNA4,7:132185838,0.4433497536945813
771,rs696366-<b>C</b>,4e-08,bipolar disorder,LINC00636,3:108038213,0.5872948650079407
771,rs696366-<b>C</b>,4e-08,bipolar disorder,CD47,3:108038213,0.5872948650079407
358,rs7499750-<b>A</b>,4e-08,bipolar disorder,UNKNOWN,16:13655408,0.2883826879271071
349,rs740417-<b>A</b>,4e-08,bipolar disorder,CACNA1C,12:2390683,0.6322273308538573
320,rs34388051-<b>A</b>,4e-08,bipolar disorder,PLCL1,2:198064359,0.6959466139396935
615,rs4604142-<b>?</b>,4e-08,bipolar disorder,ZSWIM6,5:61346768,-1.0
331,rs9350984-<b>T</b>,4e-08,bipolar disorder,SNAP91,6:83570203,0.2813834329632792
633,rs2966422-<b>?</b>,4e-08,bipolar disorder,UNKNOWN,7:110538893,-1.0
619,rs2910032-<b>?</b>,4e-08,bipolar disorder,LINC01470,5:153160794,-1.0
112,rs11127876-<b>?</b>,5e-08,bipolar i disorder,CADM2,3:85075546,-1.0
104,rs11650008-<b>C</b>,5e-08,bipolar i disorder,PIGW,17:36536882,0.5297458831973719
104,rs11650008-<b>C</b>,5e-08,bipolar i disorder,MYO19,17:36536882,0.5297458831973719
727,rs7267348-<b>?</b>,5e-08,bipolar disorder,UNKNOWN,Mapping not available,-1.0
44,rs2240917-<b>T</b>,5e-08,bipolar i disorder,ITIH4,3:52817121,0.5526733721545791
794,rs2719164-<b>A</b>,5e-08,bipolar disorder,SEC61GP1,2:193573164,0.5831522215406187
794,rs2719164-<b>A</b>,5e-08,bipolar disorder,DNAJC17P1,2:193573164,0.5831522215406187
242,rs7544145-<b>T</b>,5e-08,bipolar disorder,PLEKHO1,1:150166501,0.7789835892006353
242,rs7544145-<b>T</b>,5e-08,bipolar disorder,RN7SL480P,1:150166501,0.7789835892006353
687,rs10761661-<b>C</b>,5e-08,bipolar disorder,ALDH7A1P4,10:62765375,0.6223398623610376
687,rs10761661-<b>C</b>,5e-08,bipolar disorder,ADO,10:62765375,0.6223398623610376
730,rs1841565-<b>?</b>,5e-08,bipolar disorder,UNKNOWN,Mapping not available,-1.0
243,rs11624408-<b>A</b>,5e-08,bipolar disorder,UNKNOWN,Mapping not available,0.5959319716263567
406,rs10875914-<b>G</b>,6.000000000000001e-08,bipolar disorder,KMT2D,12:49028311,0.40141276765603173
244,rs11231677-<b>G</b>,6.000000000000001e-08,bipolar disorder,MACROD1,11:64017876,0.6138993120700438
45,rs1850-<b>C</b>,6.000000000000001e-08,bipolar i disorder,KCNG1,20:51003734,0.34828202581926515
514,rs420259-<b>A</b>,6.000000000000001e-08,bipolar disorder,PALB2,16:23622705,0.725380979521811
484,rs12563333-<b>?</b>,6.000000000000001e-08,bipolar disorder,LINC02779,1:220484892,-1.0
484,rs12563333-<b>?</b>,6.000000000000001e-08,bipolar disorder,PRELID3BP1,1:220484892,-1.0
403,rs4523096-<b>A</b>,7e-08,bipolar disorder,SYNE1,6:152472277,0.7433321301086913
370,rs1006737-<b>?</b>,7e-08,bipolar disorder,CACNA1C,12:2236129,-1.0
504,rs1006737-<b>A</b>,7e-08,bipolar disorder,CACNA1C,12:2236129,0.3195679498724298
46,rs9295358-<b>A</b>,7e-08,bipolar i disorder,RPS6KA2,6:166646138,0.6924298570672314
246,rs55648125-<b>G</b>,8e-08,bipolar disorder,UNKNOWN,Mapping not available,0.08263038548752834
245,rs62535709-<b>T</b>,8e-08,bipolar disorder,ZCCHC7,9:37166192,0.04878178529630812
111,rs75928006-<b>?</b>,9e-08,bipolar i disorder,RNU6-751P,19:53751134,-1.0
111,rs75928006-<b>?</b>,9e-08,bipolar i disorder,MIR522,19:53751134,-1.0
247,rs17150022-<b>C</b>,9e-08,bipolar disorder,GSDME,7:24732158,0.10760160033691303
2,chr21_26773583_D-<b>?</b>,9e-08,bipolar ii disorder,UNKNOWN,Mapping not available,-1.0
4,rs79143696-<b>C</b>,9e-08,bipolar ii disorder,KRTAP5-11,11:71576909,0.057181425485961127
4,rs79143696-<b>C</b>,9e-08,bipolar ii disorder,KRTAP5-10,11:71576909,0.057181425485961127
48,rs6848834-<b>T</b>,1e-07,bipolar i disorder,IL21,4:122588558,0.2532553443353527
386,rs10896135-<b>G</b>,1e-07,bipolar disorder,C11orf80,11:66783531,0.7592443019763245
568,rs1171113-<b>C</b>,1e-07,bipolar disorder,PRSS35,6:83516876,0.2635093486747483
114,rs10106565-<b>?</b>,1e-07,bipolar i disorder,ERI1,8:8997522,-1.0
114,rs10106565-<b>?</b>,1e-07,bipolar i disorder,RPL10P19,8:8997522,-1.0
47,rs4794820-<b>G</b>,1e-07,bipolar i disorder,LRRC3C,17:39933091,0.552178256789077
396,rs329674-<b>A</b>,1e-07,bipolar disorder,IGSF9B,11:133907053,0.22604672270234008
448,rs17418283-<b>C</b>,1e-07,bipolar disorder,MCTP1,5:94818883,0.2845789497654507
250,rs2635253-<b>T</b>,1e-07,bipolar disorder,LINC01378,4:117551578,0.49920592906299627
249,rs9371601-<b>T</b>,1e-07,bipolar disorder,SYNE1,6:152469438,0.374805308909863
248,rs74446114-<b>C</b>,1e-07,bipolar disorder,MRPL33,2:27843255,0.18074917260054157
248,rs74446114-<b>C</b>,1e-07,bipolar disorder,RBKS,2:27843255,0.18074917260054157
251,rs72745470-<b>G</b>,1e-07,bipolar disorder,IQCH,15:67361344,0.2796188459502382
251,rs72745470-<b>G</b>,1e-07,bipolar disorder,IQCH-AS1,15:67361344,0.2796188459502382
446,rs1042779-<b>A</b>,2e-07,bipolar disorder,ITIH1,3:52786995,0.6107463393236365
50,rs57681866-<b>G</b>,2e-07,bipolar i disorder,ACTG1P22,2:57748579,0.9399152991000529
6,rs960145-<b>A</b>,2e-07,bipolar i disorder,RPS6KA2,6:166583503,0.5082308063816376
49,rs10147900-<b>T</b>,2e-07,bipolar i disorder,LINC02280,14:104625694,0.16438946331856227
49,rs10147900-<b>T</b>,2e-07,bipolar i disorder,TMEM179,14:104625694,0.16438946331856227
51,rs10092482-<b>T</b>,2e-07,bipolar i disorder,RRS1-AS1,8:66342488,0.1920881313792201
116,"rs12568010-<b>A</b>, rs1125777-<b>C</b>",2e-07,bipolar disorder,NFIA; No mapped genes,1:61366266,0.9220955221965614
52,rs2052387-<b>A</b>,2e-07,bipolar i disorder,RPSAP12,12:68483007,0.33153153153153153
52,rs2052387-<b>A</b>,2e-07,bipolar i disorder,LINC02384,12:68483007,0.33153153153153153
257,rs2463709-<b>T</b>,2e-07,bipolar disorder,RIMS1,6:72155201,0.42020928711576194
256,rs4301023-<b>T</b>,2e-07,bipolar disorder,UNKNOWN,Mapping not available,0.49005875599378673
255,rs884301-<b>T</b>,2e-07,bipolar disorder,HLF,17:55290103,0.40739740820734344
391,rs72874541-<b>G</b>,2e-07,bipolar disorder,LINC00698,3:63148173,0.9182636315510853
391,rs72874541-<b>G</b>,2e-07,bipolar disorder,UBL5P3,3:63148173,0.9182636315510853
440,rs472913-<b>C</b>,2e-07,bipolar disorder,LINC01748,1:60629886,0.2828418230563003
253,rs12594483-<b>A</b>,2e-07,bipolar disorder,CDAN1,15:42729788,0.14532068908787515
398,rs76317718-<b>G</b>,2e-07,bipolar disorder,ARHGEF15,17:8319459,0.983041958041958
668,rs6066295-<b>A</b>,2e-07,bipolar disorder,LINC01754,20:47381100,0.8140553992642285
668,rs6066295-<b>A</b>,2e-07,bipolar disorder,ZMYND8,20:47381100,0.8140553992642285
254,rs329319-<b>A</b>,2e-07,bipolar disorder,JADE2,5:134570919,0.44086247037355536
670,rs211137-<b>T</b>,2e-07,bipolar disorder,SERGEF,11:18004914,0.4837480148226575
53,rs10058613-<b>C</b>,2e-07,bipolar i disorder,KDM3B,5:138358306,0.7665087768180552
54,rs11972012-<b>G</b>,2e-07,bipolar i disorder,MYO1G,7:44946070,0.672725054891437
54,rs11972012-<b>G</b>,2e-07,bipolar i disorder,PURB,7:44946070,0.672725054891437
55,rs13231398-<b>G</b>,2e-07,bipolar i disorder,UNKNOWN,7:110557355,0.9343715239154616
115,"rs12568010-<b>A</b>, rs1125777-<b>C</b>, rs41453448-<b>G</b>",2e-07,bipolar disorder,NFIA; No mapped genes; No mapped genes,1:61366266,0.9220955221965614
1,rs72761817-<b>G</b>,3e-07,bipolar ii disorder,OXCT1,5:41654144,0.026205936920222633
384,rs12334475-<b>T</b>,3e-07,bipolar disorder,UNKNOWN,8:142064186,0.03619098867350019
259,rs62085738-<b>A</b>,3e-07,bipolar disorder,ARIH2P1,18:28736659,0.30376015129602846
7,rs181957530-<b>C</b>,3e-07,bipolar i disorder,FSTL5,4:161420812,0.0010058231868713605
8,rs6090435-<b>G</b>,3e-07,bipolar i disorder,EEF1A2,20:63501358,0.5387734278502766
8,rs6090435-<b>G</b>,3e-07,bipolar i disorder,PPDPF,20:63501358,0.5387734278502766
669,rs8039223-<b>A</b>,3e-07,bipolar disorder,TUBGCP5,15:23015662,-1.0
9,rs17395886-<b>C</b>,3e-07,bipolar i disorder,FSTL5,4:161358233,0.8634872842625948
10,rs6065777-<b>T</b>,3e-07,bipolar i disorder,STK4,20:45041000,0.7167284277395447
12,rs73222936-<b>A</b>,3e-07,bipolar i disorder,MESTP3,4:28921093,0.050764622418414
12,rs73222936-<b>A</b>,3e-07,bipolar i disorder,LINC02364,4:28921093,0.050764622418414
128,rs41350144-<b>T</b>,3e-07,bipolar disorder,NFIA,1:61350127,0.29489024829075206
132,rs7567409-<b>A</b>,3e-07,bipolar disorder,BABAM2,2:28293404,0.1882799996072386
133,rs12898460-<b>C</b>,3e-07,bipolar disorder,LINC02694,15:38694612,0.734893945695443
13,chr2_181742430_D-<b>?</b>,3e-07,bipolar i disorder,UNKNOWN,Mapping not available,-1.0
14,rs12754946-<b>T</b>,3e-07,bipolar i disorder,AK5,1:77524238,0.6334282542593754
134,rs63722863-<b>G</b>,3e-07,bipolar disorder,KIF15,3:44780094,-1.0
559,rs10994397-<b>T</b>,3e-07,bipolar disorder,ANK3,10:60519366,0.0750350120950874
479,rs17746001-<b>T</b>,3e-07,bipolar disorder,UNKNOWN,4:179734472,0.05503520886032679
490,rs12899449-<b>?</b>,4e-07,bipolar disorder,LINC02694,15:38703290,-1.0
667,rs17679321-<b>A</b>,4e-07,bipolar disorder,PEBP4,8:22916776,0.040449554588771496
397,rs185880008-<b>T</b>,4e-07,bipolar disorder,CPNE8,12:38807668,0.9359071274298056
140,rs12833856-<b>G</b>,4e-07,bipolar disorder,RPL29P25,12:110824378,0.3302984319676277
140,rs12833856-<b>G</b>,4e-07,bipolar disorder,PPP1CC,12:110824378,0.3302984319676277
395,rs78089757-<b>A</b>,4e-07,bipolar disorder,RPS27P18,10:125424260,0.0076081292339760295
118,"rs7556462-<b>C</b>, rs4915737-<b>C</b>",4e-07,bipolar disorder,NFIA; No mapped genes,1:61356147,0.45983094730429486
402,rs2205829-<b>G</b>,4e-07,bipolar disorder,ZNF184,6:27512448,0.46247278509029477
402,rs2205829-<b>G</b>,4e-07,bipolar disorder,HNRNPA1P1,6:27512448,0.46247278509029477
409,rs4245147-<b>C</b>,4e-07,bipolar disorder,DRD2,11:113447285,0.48547701195538795
135,rs66752127-<b>G</b>,4e-07,bipolar disorder,PDE3B,11:14767417,-1.0
136,rs1477143-<b>T</b>,4e-07,bipolar disorder,HLF,17:55258467,0.25157651410078596
136,rs1477143-<b>T</b>,4e-07,bipolar disorder,STXBP4,17:55258467,0.25157651410078596
137,chr17_49345320_D-<b>?</b>,4e-07,bipolar disorder,UNKNOWN,Mapping not available,-1.0
138,rs73496688-<b>A</b>,4e-07,bipolar disorder,TENM4,11:79445704,0.14489147697194282
393,rs3931398-<b>A</b>,4e-07,bipolar disorder,MAD1L1,7:1991957,-1.0
117,"rs7556462-<b>C</b>, rs17121983-<b>C</b>",4e-07,bipolar disorder,NFIA; No mapped genes,1:61356147,0.45983094730429486
22,rs1331621-<b>T</b>,4e-07,bipolar i disorder,BRINP1,9:119412084,0.3679863481228669
21,rs546671-<b>A</b>,4e-07,bipolar i disorder,LINC01748,1:60628168,0.45108005082592123
20,rs56158970-<b>G</b>,4e-07,bipolar i disorder,LINC01392,7:115282097,0.011100687929956223
19,rs35755081-<b>A</b>,4e-07,bipolar i disorder,RNU4-74P,7:141068359,0.42515390430932065
19,rs35755081-<b>A</b>,4e-07,bipolar i disorder,TMEM178B,7:141068359,0.42515390430932065
17,rs60960031-<b>G</b>,4e-07,bipolar i disorder,NUTF2P8,2:21307787,0.6617045454545455
388,rs1842329-<b>T</b>,4e-07,bipolar disorder,UNKNOWN,12:98170438,0.3676986835689907
142,chr11_47580062_D-<b>?</b>,5e-07,bipolar disorder,UNKNOWN,Mapping not available,-1.0
518,rs12938916-<b>?</b>,5e-07,bipolar disorder,RN7SKP94,17:57788926,-1.0
518,rs12938916-<b>?</b>,5e-07,bipolar disorder,CCDC182,17:57788926,-1.0
141,rs7222752-<b>G</b>,5e-07,bipolar disorder,NPTX1,17:80489926,0.1336199629067611
141,rs7222752-<b>G</b>,5e-07,bipolar disorder,RPL32P31,17:80489926,0.1336199629067611
401,rs9393813-<b>A</b>,5e-07,bipolar disorder,ZNF204P,6:27363817,0.3645833333333333
401,rs9393813-<b>A</b>,5e-07,bipolar disorder,ZNF391,6:27363817,0.3645833333333333
586,rs2709736-<b>G</b>,5e-07,bipolar disorder,SP8,7:20822683,-1.0
586,rs2709736-<b>G</b>,5e-07,bipolar disorder,RPL23P8,7:20822683,-1.0
28,rs7314975-<b>A</b>,5e-07,bipolar i disorder,DHH,12:49083734,-1.0
28,rs7314975-<b>A</b>,5e-07,bipolar i disorder,RHEBL1,12:49083734,-1.0
25,rs8047469-<b>G</b>,5e-07,bipolar i disorder,PRSS36,16:31140200,0.9840632173759492
24,rs78381888-<b>A</b>,5e-07,bipolar i disorder,ANKRD23,2:96835038,0.839565594663485
24,rs78381888-<b>A</b>,5e-07,bipolar i disorder,CNNM3,2:96835038,0.839565594663485
23,rs78014668-<b>C</b>,5e-07,bipolar i disorder,MAPK8IP1,11:45892443,0.02515979081929111
144,rs72966520-<b>C</b>,6e-07,bipolar disorder,TLCD4-RWDD3,1:95142777,0.9154579142403388
144,rs72966520-<b>C</b>,6e-07,bipolar disorder,TLCD4,1:95142777,0.9154579142403388
130,rs114034759-<b>A</b>,6e-07,bipolar disorder,MKLN1,7:131128204,0.07765124555160142
56,rs1948223-<b>C</b>,6e-07,bipolar i disorder,LINC01378,4:117624232,0.33973447649876426
29,rs3026433-<b>G</b>,6e-07,bipolar i disorder,ATP2A2,12:110281387,0.10821433250360278
143,rs8067817-<b>T</b>,6e-07,bipolar disorder,PSMD3,17:40007683,0.5643752798925212
143,rs8067817-<b>T</b>,6e-07,bipolar disorder,CSF3,17:40007683,0.5643752798925212
