variant_and_allele,p_value,trait,gene,location
rs13006508-<b>?</b>,2e-08,bipolar disorder,UNKNOWN,Mapping not available
rs8179328-<b>?</b>,2e-08,bipolar disorder,UNKNOWN,1:163783451
rs968369-<b>T</b>,2e-08,bipolar disorder,TENM4,11:79442036
rs7199910-<b>T</b>,2e-08,bipolar disorder,GRIN2A,16:9832491
rs6125656-<b>?</b>,2e-08,bipolar disorder,KCNB1,20:49474242
rs5758064-<b>T</b>,2e-08,bipolar disorder,MCHR1,22:40757875
rs5758064-<b>T</b>,2e-08,bipolar disorder,SLC25A17,22:40757875
rs115694474-<b>T</b>,2e-08,bipolar disorder,SAMMSON,3:70439637
rs2239063-<b>?</b>,2e-08,bipolar disorder,UNKNOWN,Mapping not available
rs4331993-<b>T</b>,2e-08,bipolar disorder,SYNE1,6:152472437
rs57957974-<b>A</b>,2e-08,bipolar i disorder,PARP10,8:144002361
rs10149407-<b>?</b>,2e-08,bipolar disorder,PRKD1,14:29718199
rs3088186-<b>C</b>,2e-08,bipolar disorder,MSRA,8:10368845
rs61554907-<b>G</b>,2e-08,bipolar disorder,THRA,17:40064179
rs2305929-<b>G</b>,2e-08,bipolar i disorder,BABAM2,2:27891044
rs2305929-<b>G</b>,2e-08,bipolar i disorder,MRPL33,2:27891044
rs13417268-<b>C</b>,2e-08,bipolar disorder,CERS6,2:168625327
rs1487441-<b>G</b>,3.0000000000000004e-08,bipolar disorder,MIR2113,6:98106018
rs1487441-<b>G</b>,3.0000000000000004e-08,bipolar disorder,EIF4EBP2P3,6:98106018
rs994280-<b>A</b>,3.0000000000000004e-08,bipolar disorder,SPATS2L,2:200375363
rs1440518-<b>A</b>,3.0000000000000004e-08,bipolar disorder,RBMS3,3:29707867
rs10035291-<b>T</b>,3.0000000000000004e-08,bipolar disorder,SSBP2,5:81500549
rs7720655-<b>T</b>,3.0000000000000004e-08,bipolar ii disorder,SLIT3,5:169039564
rs12289486-<b>C</b>,3.0000000000000004e-08,bipolar disorder,TENM4,11:79381483
rs7013693-<b>G</b>,3.0000000000000004e-08,bipolar i disorder,MSRA,8:10023626
rs11870683-<b>T</b>,3.0000000000000004e-08,bipolar disorder,GSDMA,17:39973588
rs2727943-<b>?</b>,3.0000000000000004e-08,bipolar disorder,RPL21P17,3:1856289
rs4790841-<b>C</b>,3.0000000000000004e-08,bipolar disorder,RPA1,17:1932188
rs4790841-<b>C</b>,3.0000000000000004e-08,bipolar disorder,RTN4RL1,17:1932188
rs4748468-<b>G</b>,3.0000000000000004e-08,bipolar i disorder,CACNB2,10:18453325
rs1700006-<b>?</b>,3.0000000000000004e-08,bipolar disorder,UNKNOWN,Mapping not available
rs2068756-<b>?</b>,3.0000000000000004e-08,bipolar disorder,MACROD2,20:14512564
rs72830427-<b>?</b>,3.0000000000000004e-08,bipolar disorder,MXI1,10:110175792
rs72830427-<b>?</b>,3.0000000000000004e-08,bipolar disorder,SNRPGP12,10:110175792
rs12805133-<b>?</b>,3.0000000000000004e-08,bipolar disorder,SPTBN2,11:66715794
rs10884920-<b>?</b>,3.0000000000000004e-08,bipolar disorder,ADD3,10:110015049
rs55648125-<b>?</b>,3.0000000000000004e-08,bipolar disorder,UNKNOWN,Mapping not available
rs7969091-<b>A</b>,3.0000000000000004e-08,bipolar disorder,DHH,12:49070666
rs7969091-<b>A</b>,3.0000000000000004e-08,bipolar disorder,RHEBL1,12:49070666
rs112114764-<b>T</b>,3.0000000000000004e-08,bipolar disorder,HDAC5,17:44123673
rs28681284-<b>?</b>,3.0000000000000004e-08,bipolar disorder,CHRNA3,15:78616223
rs112968809-<b>A</b>,3.0000000000000004e-08,bipolar i disorder,CDAN1,15:42738205
rs112968809-<b>A</b>,3.0000000000000004e-08,bipolar i disorder,TTBK2,15:42738205
rs35774874-<b>T</b>,3.0000000000000004e-08,bipolar disorder,SNX19,11:130941461
rs35774874-<b>T</b>,3.0000000000000004e-08,bipolar disorder,RN7SL167P,11:130941461
rs2966424-<b>A</b>,3.0000000000000004e-08,bipolar disorder,UNKNOWN,7:110549887
rs1510606-<b>G</b>,3.0000000000000004e-08,bipolar i disorder,NUTF2P8,2:21308394
rs17156675-<b>T</b>,3.0000000000000004e-08,bipolar disorder,PCLO,7:82793089
chr6_72519394_D-<b>?</b>,3.0000000000000004e-08,bipolar disorder,UNKNOWN,Mapping not available
rs62581014-<b>C</b>,3.0000000000000004e-08,bipolar disorder,TUBBP5,9:138172038
chr15_85357857_I-<b>?</b>,3.0000000000000004e-08,bipolar disorder,UNKNOWN,Mapping not available
rs12563424-<b>?</b>,3.0000000000000004e-08,bipolar disorder,UNKNOWN,Mapping not available
rs4676412-<b>G</b>,3.0000000000000004e-08,bipolar i disorder,GPR35,2:240614075
rs4676412-<b>G</b>,3.0000000000000004e-08,bipolar i disorder,CAPN10,2:240614075
rs1203233-<b>?</b>,4e-08,bipolar disorder,SYNE1,6:152393471
rs1998820-<b>T</b>,4e-08,bipolar disorder,CACNB2,10:18462174
rs10455979-<b>G</b>,4e-08,bipolar disorder,RPS6KA2,6:166581772
rs2011302-<b>T</b>,4e-08,bipolar disorder,PCGEM1,2:192873610
rs2011302-<b>T</b>,4e-08,bipolar disorder,SLC44A3P1,2:192873610
rs1924817-<b>A</b>,4e-08,bipolar i disorder,B3GLCT,13:31269461
rs12315174-<b>G</b>,4e-08,bipolar i disorder,IFT81,12:110148473
rs6946056-<b>A</b>,4e-08,bipolar disorder,PLXNA4,7:132185838
rs696366-<b>C</b>,4e-08,bipolar disorder,LINC00636,3:108038213
rs696366-<b>C</b>,4e-08,bipolar disorder,CD47,3:108038213
rs7499750-<b>A</b>,4e-08,bipolar disorder,UNKNOWN,16:13655408
rs740417-<b>A</b>,4e-08,bipolar disorder,CACNA1C,12:2390683
rs34388051-<b>A</b>,4e-08,bipolar disorder,PLCL1,2:198064359
rs4604142-<b>?</b>,4e-08,bipolar disorder,ZSWIM6,5:61346768
rs9350984-<b>T</b>,4e-08,bipolar disorder,SNAP91,6:83570203
rs2966422-<b>?</b>,4e-08,bipolar disorder,UNKNOWN,7:110538893
rs2910032-<b>?</b>,4e-08,bipolar disorder,LINC01470,5:153160794
rs11127876-<b>?</b>,5e-08,bipolar i disorder,CADM2,3:85075546
rs11650008-<b>C</b>,5e-08,bipolar i disorder,PIGW,17:36536882
rs11650008-<b>C</b>,5e-08,bipolar i disorder,MYO19,17:36536882
rs7267348-<b>?</b>,5e-08,bipolar disorder,UNKNOWN,Mapping not available
rs2240917-<b>T</b>,5e-08,bipolar i disorder,ITIH4,3:52817121
rs2719164-<b>A</b>,5e-08,bipolar disorder,SEC61GP1,2:193573164
rs2719164-<b>A</b>,5e-08,bipolar disorder,DNAJC17P1,2:193573164
rs7544145-<b>T</b>,5e-08,bipolar disorder,PLEKHO1,1:150166501
rs7544145-<b>T</b>,5e-08,bipolar disorder,RN7SL480P,1:150166501
rs10761661-<b>C</b>,5e-08,bipolar disorder,ALDH7A1P4,10:62765375
rs10761661-<b>C</b>,5e-08,bipolar disorder,ADO,10:62765375
rs1841565-<b>?</b>,5e-08,bipolar disorder,UNKNOWN,Mapping not available
rs11624408-<b>A</b>,5e-08,bipolar disorder,UNKNOWN,Mapping not available
rs10875914-<b>G</b>,6.000000000000001e-08,bipolar disorder,KMT2D,12:49028311
rs11231677-<b>G</b>,6.000000000000001e-08,bipolar disorder,MACROD1,11:64017876
rs1850-<b>C</b>,6.000000000000001e-08,bipolar i disorder,KCNG1,20:51003734
rs420259-<b>A</b>,6.000000000000001e-08,bipolar disorder,PALB2,16:23622705
rs12563333-<b>?</b>,6.000000000000001e-08,bipolar disorder,LINC02779,1:220484892
rs12563333-<b>?</b>,6.000000000000001e-08,bipolar disorder,PRELID3BP1,1:220484892
rs4523096-<b>A</b>,7e-08,bipolar disorder,SYNE1,6:152472277
rs1006737-<b>?</b>,7e-08,bipolar disorder,CACNA1C,12:2236129
rs1006737-<b>A</b>,7e-08,bipolar disorder,CACNA1C,12:2236129
rs9295358-<b>A</b>,7e-08,bipolar i disorder,RPS6KA2,6:166646138
rs55648125-<b>G</b>,8e-08,bipolar disorder,UNKNOWN,Mapping not available
rs62535709-<b>T</b>,8e-08,bipolar disorder,ZCCHC7,9:37166192
rs75928006-<b>?</b>,9e-08,bipolar i disorder,RNU6-751P,19:53751134
rs75928006-<b>?</b>,9e-08,bipolar i disorder,MIR522,19:53751134
rs17150022-<b>C</b>,9e-08,bipolar disorder,GSDME,7:24732158
chr21_26773583_D-<b>?</b>,9e-08,bipolar ii disorder,UNKNOWN,Mapping not available
rs79143696-<b>C</b>,9e-08,bipolar ii disorder,KRTAP5-11,11:71576909
rs79143696-<b>C</b>,9e-08,bipolar ii disorder,KRTAP5-10,11:71576909
rs6848834-<b>T</b>,1e-07,bipolar i disorder,IL21,4:122588558
rs10896135-<b>G</b>,1e-07,bipolar disorder,C11orf80,11:66783531
rs1171113-<b>C</b>,1e-07,bipolar disorder,PRSS35,6:83516876
rs10106565-<b>?</b>,1e-07,bipolar i disorder,ERI1,8:8997522
rs10106565-<b>?</b>,1e-07,bipolar i disorder,RPL10P19,8:8997522
rs4794820-<b>G</b>,1e-07,bipolar i disorder,LRRC3C,17:39933091
rs329674-<b>A</b>,1e-07,bipolar disorder,IGSF9B,11:133907053
rs17418283-<b>C</b>,1e-07,bipolar disorder,MCTP1,5:94818883
rs2635253-<b>T</b>,1e-07,bipolar disorder,LINC01378,4:117551578
rs9371601-<b>T</b>,1e-07,bipolar disorder,SYNE1,6:152469438
rs74446114-<b>C</b>,1e-07,bipolar disorder,MRPL33,2:27843255
rs74446114-<b>C</b>,1e-07,bipolar disorder,RBKS,2:27843255
rs72745470-<b>G</b>,1e-07,bipolar disorder,IQCH,15:67361344
rs72745470-<b>G</b>,1e-07,bipolar disorder,IQCH-AS1,15:67361344
rs1042779-<b>A</b>,2e-07,bipolar disorder,ITIH1,3:52786995
rs57681866-<b>G</b>,2e-07,bipolar i disorder,ACTG1P22,2:57748579
rs960145-<b>A</b>,2e-07,bipolar i disorder,RPS6KA2,6:166583503
rs10147900-<b>T</b>,2e-07,bipolar i disorder,LINC02280,14:104625694
rs10147900-<b>T</b>,2e-07,bipolar i disorder,TMEM179,14:104625694
rs10092482-<b>T</b>,2e-07,bipolar i disorder,RRS1-AS1,8:66342488
"rs12568010-<b>A</b>, rs1125777-<b>C</b>",2e-07,bipolar disorder,NFIA; No mapped genes,1:61366266
rs2052387-<b>A</b>,2e-07,bipolar i disorder,RPSAP12,12:68483007
rs2052387-<b>A</b>,2e-07,bipolar i disorder,LINC02384,12:68483007
rs2463709-<b>T</b>,2e-07,bipolar disorder,RIMS1,6:72155201
rs4301023-<b>T</b>,2e-07,bipolar disorder,UNKNOWN,Mapping not available
rs884301-<b>T</b>,2e-07,bipolar disorder,HLF,17:55290103
rs72874541-<b>G</b>,2e-07,bipolar disorder,LINC00698,3:63148173
rs72874541-<b>G</b>,2e-07,bipolar disorder,UBL5P3,3:63148173
rs472913-<b>C</b>,2e-07,bipolar disorder,LINC01748,1:60629886
rs12594483-<b>A</b>,2e-07,bipolar disorder,CDAN1,15:42729788
rs76317718-<b>G</b>,2e-07,bipolar disorder,ARHGEF15,17:8319459
rs6066295-<b>A</b>,2e-07,bipolar disorder,LINC01754,20:47381100
rs6066295-<b>A</b>,2e-07,bipolar disorder,ZMYND8,20:47381100
rs329319-<b>A</b>,2e-07,bipolar disorder,JADE2,5:134570919
rs211137-<b>T</b>,2e-07,bipolar disorder,SERGEF,11:18004914
rs10058613-<b>C</b>,2e-07,bipolar i disorder,KDM3B,5:138358306
rs11972012-<b>G</b>,2e-07,bipolar i disorder,MYO1G,7:44946070
rs11972012-<b>G</b>,2e-07,bipolar i disorder,PURB,7:44946070
rs13231398-<b>G</b>,2e-07,bipolar i disorder,UNKNOWN,7:110557355
"rs12568010-<b>A</b>, rs1125777-<b>C</b>, rs41453448-<b>G</b>",2e-07,bipolar disorder,NFIA; No mapped genes; No mapped genes,1:61366266
rs72761817-<b>G</b>,3e-07,bipolar ii disorder,OXCT1,5:41654144
rs12334475-<b>T</b>,3e-07,bipolar disorder,UNKNOWN,8:142064186
rs62085738-<b>A</b>,3e-07,bipolar disorder,ARIH2P1,18:28736659
rs181957530-<b>C</b>,3e-07,bipolar i disorder,FSTL5,4:161420812
rs6090435-<b>G</b>,3e-07,bipolar i disorder,EEF1A2,20:63501358
rs6090435-<b>G</b>,3e-07,bipolar i disorder,PPDPF,20:63501358
rs8039223-<b>A</b>,3e-07,bipolar disorder,TUBGCP5,15:23015662
rs17395886-<b>C</b>,3e-07,bipolar i disorder,FSTL5,4:161358233
rs6065777-<b>T</b>,3e-07,bipolar i disorder,STK4,20:45041000
rs73222936-<b>A</b>,3e-07,bipolar i disorder,MESTP3,4:28921093
rs73222936-<b>A</b>,3e-07,bipolar i disorder,LINC02364,4:28921093
rs41350144-<b>T</b>,3e-07,bipolar disorder,NFIA,1:61350127
rs7567409-<b>A</b>,3e-07,bipolar disorder,BABAM2,2:28293404
rs12898460-<b>C</b>,3e-07,bipolar disorder,LINC02694,15:38694612
chr2_181742430_D-<b>?</b>,3e-07,bipolar i disorder,UNKNOWN,Mapping not available
rs12754946-<b>T</b>,3e-07,bipolar i disorder,AK5,1:77524238
rs63722863-<b>G</b>,3e-07,bipolar disorder,KIF15,3:44780094
rs10994397-<b>T</b>,3e-07,bipolar disorder,ANK3,10:60519366
rs17746001-<b>T</b>,3e-07,bipolar disorder,UNKNOWN,4:179734472
rs12899449-<b>?</b>,4e-07,bipolar disorder,LINC02694,15:38703290
rs17679321-<b>A</b>,4e-07,bipolar disorder,PEBP4,8:22916776
rs185880008-<b>T</b>,4e-07,bipolar disorder,CPNE8,12:38807668
rs12833856-<b>G</b>,4e-07,bipolar disorder,RPL29P25,12:110824378
rs12833856-<b>G</b>,4e-07,bipolar disorder,PPP1CC,12:110824378
rs78089757-<b>A</b>,4e-07,bipolar disorder,RPS27P18,10:125424260
"rs7556462-<b>C</b>, rs4915737-<b>C</b>",4e-07,bipolar disorder,NFIA; No mapped genes,1:61356147
rs2205829-<b>G</b>,4e-07,bipolar disorder,ZNF184,6:27512448
rs2205829-<b>G</b>,4e-07,bipolar disorder,HNRNPA1P1,6:27512448
rs4245147-<b>C</b>,4e-07,bipolar disorder,DRD2,11:113447285
rs66752127-<b>G</b>,4e-07,bipolar disorder,PDE3B,11:14767417
rs1477143-<b>T</b>,4e-07,bipolar disorder,HLF,17:55258467
rs1477143-<b>T</b>,4e-07,bipolar disorder,STXBP4,17:55258467
chr17_49345320_D-<b>?</b>,4e-07,bipolar disorder,UNKNOWN,Mapping not available
rs73496688-<b>A</b>,4e-07,bipolar disorder,TENM4,11:79445704
rs3931398-<b>A</b>,4e-07,bipolar disorder,MAD1L1,7:1991957
"rs7556462-<b>C</b>, rs17121983-<b>C</b>",4e-07,bipolar disorder,NFIA; No mapped genes,1:61356147
rs1331621-<b>T</b>,4e-07,bipolar i disorder,BRINP1,9:119412084
rs546671-<b>A</b>,4e-07,bipolar i disorder,LINC01748,1:60628168
rs56158970-<b>G</b>,4e-07,bipolar i disorder,LINC01392,7:115282097
rs35755081-<b>A</b>,4e-07,bipolar i disorder,RNU4-74P,7:141068359
rs35755081-<b>A</b>,4e-07,bipolar i disorder,TMEM178B,7:141068359
rs60960031-<b>G</b>,4e-07,bipolar i disorder,NUTF2P8,2:21307787
rs1842329-<b>T</b>,4e-07,bipolar disorder,UNKNOWN,12:98170438
chr11_47580062_D-<b>?</b>,5e-07,bipolar disorder,UNKNOWN,Mapping not available
rs12938916-<b>?</b>,5e-07,bipolar disorder,RN7SKP94,17:57788926
rs12938916-<b>?</b>,5e-07,bipolar disorder,CCDC182,17:57788926
rs7222752-<b>G</b>,5e-07,bipolar disorder,NPTX1,17:80489926
rs7222752-<b>G</b>,5e-07,bipolar disorder,RPL32P31,17:80489926
rs9393813-<b>A</b>,5e-07,bipolar disorder,ZNF204P,6:27363817
rs9393813-<b>A</b>,5e-07,bipolar disorder,ZNF391,6:27363817
rs2709736-<b>G</b>,5e-07,bipolar disorder,SP8,7:20822683
rs2709736-<b>G</b>,5e-07,bipolar disorder,RPL23P8,7:20822683
rs7314975-<b>A</b>,5e-07,bipolar i disorder,DHH,12:49083734
rs7314975-<b>A</b>,5e-07,bipolar i disorder,RHEBL1,12:49083734
rs8047469-<b>G</b>,5e-07,bipolar i disorder,PRSS36,16:31140200
rs78381888-<b>A</b>,5e-07,bipolar i disorder,ANKRD23,2:96835038
rs78381888-<b>A</b>,5e-07,bipolar i disorder,CNNM3,2:96835038
rs78014668-<b>C</b>,5e-07,bipolar i disorder,MAPK8IP1,11:45892443
rs72966520-<b>C</b>,6e-07,bipolar disorder,TLCD4-RWDD3,1:95142777
rs72966520-<b>C</b>,6e-07,bipolar disorder,TLCD4,1:95142777
rs114034759-<b>A</b>,6e-07,bipolar disorder,MKLN1,7:131128204
rs1948223-<b>C</b>,6e-07,bipolar i disorder,LINC01378,4:117624232
rs3026433-<b>G</b>,6e-07,bipolar i disorder,ATP2A2,12:110281387
rs8067817-<b>T</b>,6e-07,bipolar disorder,PSMD3,17:40007683
rs8067817-<b>T</b>,6e-07,bipolar disorder,CSF3,17:40007683
rs5754941-<b>C</b>,6e-07,bipolar disorder,MAPK1,22:21747706
rs5754941-<b>C</b>,6e-07,bipolar disorder,YPEL1,22:21747706
rs11709009-<b>A</b>,6e-07,bipolar disorder,VIPR1,3:42473630
rs11709009-<b>A</b>,6e-07,bipolar disorder,RPL35AP8,3:42473630
rs35425515-<b>C</b>,7e-07,bipolar disorder,SLIT1,10:97119904
rs514636-<b>?</b>,7e-07,bipolar disorder,LAMP3,3:183152648
rs186197500-<b>A</b>,7e-07,bipolar disorder,RASAL2,1:178131084
rs10878840-<b>G</b>,7e-07,bipolar disorder,LINC02384,12:68487269
rs10878840-<b>G</b>,7e-07,bipolar disorder,RPSAP12,12:68487269
rs147650109-<b>G</b>,7e-07,bipolar ii disorder,ADGRE1,19:6908884
rs2333194-<b>?</b>,7e-07,bipolar disorder,NUMB,14:73300506
rs7613933-<b>G</b>,7e-07,bipolar i disorder,WDR49,3:167586401
rs7914868-<b>?</b>,7e-07,bipolar i disorder,CUBN,10:16931723
rs778433-<b>A</b>,7e-07,bipolar disorder,LGMNP1,13:65233151
rs778433-<b>A</b>,7e-07,bipolar disorder,STARP1,13:65233151
rs74577022-<b>A</b>,7e-07,bipolar disorder,BICRA,19:47601390
rs74577022-<b>A</b>,7e-07,bipolar disorder,RN7SL322P,19:47601390
rs116403057-<b>A</b>,7e-07,bipolar disorder,TSBP1-AS1,6:32335895
rs116403057-<b>A</b>,7e-07,bipolar disorder,TSBP1,6:32335895
rs6079463-<b>G</b>,8e-07,bipolar i disorder,MACROD2,20:14495111
rs998817-<b>T</b>,8e-07,bipolar i disorder,LINC01378,4:117548415
rs115858175-<b>G</b>,8e-07,bipolar i disorder,LINC01221,1:199032122
rs111998037-<b>C</b>,8e-07,bipolar i disorder,ANKHD1-EIF4EBP3,5:140418422
rs111998037-<b>C</b>,8e-07,bipolar i disorder,ANKHD1,5:140418422
rs9521159-<b>G</b>,8e-07,bipolar i disorder,MYO16,13:109076822
rs907162-<b>C</b>,8e-07,bipolar disorder,ASAP2,2:9270500
rs13411201-<b>A</b>,8e-07,bipolar disorder,IFITM3P9,2:60680195
rs13411201-<b>A</b>,8e-07,bipolar disorder,RN7SL361P,2:60680195
rs2956395-<b>C</b>,8e-07,bipolar disorder,MYRF-AS1,11:61752514
rs17680579-<b>A</b>,8e-07,bipolar disorder,LAMA4-AS1,6:112269480
rs115769866-<b>A</b>,8e-07,bipolar disorder,ZBED9,6:28545105
rs115769866-<b>A</b>,8e-07,bipolar disorder,GPX5,6:28545105
rs61580878-<b>A</b>,9e-07,bipolar disorder,LINC01643,22:34102046
rs62433108-<b>G</b>,9e-07,bipolar disorder,DCBLD1,6:117483634
rs11917269-<b>G</b>,9e-07,bipolar i disorder,CACNA2D2,3:50443604
rs17040430-<b>T</b>,9e-07,bipolar disorder,CMKLR1,12:108349043
rs17040430-<b>T</b>,9e-07,bipolar disorder,LINC01498,12:108349043
rs6844851-<b>?</b>,9e-07,bipolar disorder,UNKNOWN,4:179766847
rs2345964-<b>A</b>,1e-06,bipolar disorder,UNKNOWN,1:163781667
rs2242663-<b>T</b>,1e-06,bipolar disorder,CTSF,11:66567837
rs1819204-<b>A</b>,1e-06,bipolar disorder,CUL4A,13:113229001
rs184148144-<b>T</b>,1e-06,bipolar disorder,SLAIN2,4:48443799
rs184148144-<b>T</b>,1e-06,bipolar disorder,SLC10A4,4:48443799
rs143577122-<b>C</b>,1e-06,bipolar disorder,UNKNOWN,7:145943513
rs4845399-<b>T</b>,1e-06,bipolar disorder,KCNN3,1:154893617
rs4845399-<b>T</b>,1e-06,bipolar disorder,PMVK,1:154893617
rs35955717-<b>T</b>,1e-06,bipolar disorder,AKAP6,14:32925854
rs35955717-<b>T</b>,1e-06,bipolar disorder,NPAS3,14:32925854
chr1_95580645_I-<b>?</b>,1e-06,bipolar disorder,UNKNOWN,Mapping not available
rs206949-<b>A</b>,1e-06,bipolar disorder,COX6A1,12:120384246
rs206949-<b>A</b>,1e-06,bipolar disorder,RPS27P25,12:120384246
rs6529693-<b>G</b>,1e-06,bipolar disorder,HUWE1,X:53707621
rs976498-<b>T</b>,1e-06,bipolar disorder,PPIAP48,16:64687040
rs3911862-<b>A</b>,1e-06,bipolar disorder,RPS15AP15,2:65532537
rs3911862-<b>A</b>,1e-06,bipolar disorder,RN7SL635P,2:65532537
rs12153740-<b>C</b>,1e-06,bipolar disorder,LINC01470,5:152697204
chr12_110877946_I-<b>?</b>,1e-06,bipolar disorder,UNKNOWN,Mapping not available
rs142370491-<b>C</b>,1e-06,bipolar disorder,AKAP6,14:32749087
rs11710433-<b>?</b>,1e-06,bipolar disorder,UNKNOWN,3:5663365
rs914715-<b>?</b>,1e-06,bipolar disorder,TLE4,9:79695983
rs12618769-<b>T</b>,1e-06,bipolar disorder,MGAT4A,2:98623468
rs62009532-<b>A</b>,1e-06,bipolar disorder,TUBGCP5,15:22996158
rs2070615-<b>G</b>,1e-06,bipolar disorder,CACNB3,12:48824388
rs10134944-<b>?</b>,1e-06,bipolar disorder,SLC35F4,14:57652478
rs7858026-<b>T</b>,1e-06,bipolar i disorder,ASTN2,9:117186184
rs3761218-<b>?</b>,1e-06,bipolar disorder,CDC25B,20:3795528
rs143685090-<b>C</b>,1e-06,bipolar i disorder,RPSAP74,8:89152810
rs10168049-<b>G</b>,1e-06,bipolar disorder,CLASP1,2:121320830
rs10168049-<b>G</b>,1e-06,bipolar disorder,RPS17P7,2:121320830
rs62002181-<b>C</b>,2e-06,bipolar disorder,KRT8P2,14:43505794
rs13006127-<b>C</b>,2e-06,bipolar disorder,CERS6,2:168535393
rs4906364-<b>G</b>,2e-06,bipolar disorder,PPP1R13B,14:103748005
rs2111504-<b>T</b>,2e-06,bipolar disorder,DPY19L3,19:32426549
rs2989476-<b>?</b>,2e-06,bipolar disorder,LINC01748,1:60593587
rs10122788-<b>G</b>,2e-06,bipolar disorder,MVB12B,9:126444553
rs77626951-<b>G</b>,2e-06,bipolar disorder,LINC02149,5:15113630
rs2245641-<b>?</b>,2e-06,bipolar disorder,TTC39B,9:15309930
rs2245641-<b>?</b>,2e-06,bipolar disorder,RPL7P33,9:15309930
rs5990908-<b>C</b>,2e-06,bipolar disorder,UNKNOWN,X:20638387
rs181957530-<b>?</b>,2e-06,bipolar disorder,FSTL5,4:161420812
rs11622475-<b>?</b>,2e-06,bipolar disorder,TDRD9,14:104042739
rs6714647-<b>A</b>,2e-06,bipolar disorder,LYARP1,2:82237883
rs814197-<b>G</b>,2e-06,bipolar disorder,LINC01748,1:60626784
rs10136228-<b>G</b>,2e-06,bipolar disorder,SLC8A3,14:70118552
rs28627084-<b>C</b>,2e-06,bipolar disorder,INSYN1,15:73731297
rs28627084-<b>C</b>,2e-06,bipolar disorder,CD276,15:73731297
rs10860416-<b>G</b>,2e-06,bipolar disorder,ANKS1B,12:99298229
rs6902652-<b>G</b>,2e-06,bipolar disorder,OFCC1,6:10167324
rs56397913-<b>C</b>,2e-06,bipolar disorder,TMEM131,2:97983036
rs191580074-<b>A</b>,2e-06,bipolar disorder,RNA5SP149,3:180084126
rs191580074-<b>A</b>,2e-06,bipolar disorder,PEX5L,3:180084126
rs76420936-<b>A</b>,2e-06,bipolar disorder,KCNN2,5:114086246
rs115462819-<b>C</b>,2e-06,bipolar disorder,RNU6-239P,1:154293485
rs115462819-<b>C</b>,2e-06,bipolar disorder,HAX1,1:154293485
rs4627791-<b>?</b>,2e-06,bipolar disorder,CMTM8,3:32306332
rs1375144-<b>?</b>,2e-06,bipolar disorder,DPP10,2:115483610
rs1568889-<b>?</b>,2e-06,bipolar disorder,HSP90AA2P,11:27987916
rs1568889-<b>?</b>,2e-06,bipolar disorder,KIF18A,11:27987916
rs75580062-<b>T</b>,2e-06,bipolar disorder,CFAP221,2:119565915
rs1344484-<b>?</b>,2e-06,bipolar disorder,PHBP21,16:52878387
rs3004668-<b>G</b>,2e-06,bipolar disorder,IL9RP1,9:138141056
rs8099939-<b>T</b>,2e-06,bipolar disorder,GRIK5,19:42016956
rs7250872-<b>T</b>,2e-06,bipolar disorder,ATP8B3,19:1811604
rs736408-<b>C</b>,2e-06,bipolar disorder,ITIH3,3:52801338
rs7247513-<b>?</b>,2e-06,bipolar disorder,ZNF490,19:12580371
rs4450798-<b>T</b>,2e-06,bipolar disorder,LINC00620,3:13695501
rs17197037-<b>A</b>,2e-06,bipolar disorder,HNRNPC,14:21257495
rs6746896-<b>A</b>,2e-06,bipolar disorder,UNKNOWN,Mapping not available
rs10865974-<b>?</b>,2e-06,bipolar disorder,PBRM1,3:52684264
rs10865974-<b>?</b>,2e-06,bipolar disorder,GNL3,3:52684264
rs3845817-<b>T</b>,2e-06,bipolar disorder,RPS15AP15,2:65531391
rs3845817-<b>T</b>,2e-06,bipolar disorder,RN7SL635P,2:65531391
rs11773966-<b>A</b>,2e-06,bipolar disorder,ATP6V1H,8:53642640
rs7041940-<b>?</b>,3e-06,bipolar disorder,GARNL3,9:127347467
rs7570682-<b>?</b>,3e-06,bipolar disorder,TCF23,2:104366809
rs7570682-<b>?</b>,3e-06,bipolar disorder,AHCYP3,2:104366809
rs2314398-<b>?</b>,3e-06,bipolar disorder,CNNM4,2:96747751
rs2314398-<b>?</b>,3e-06,bipolar disorder,LMAN2L,2:96747751
rs3744728-<b>C</b>,3e-06,bipolar disorder,WSCD1,17:6190631
rs3744728-<b>C</b>,3e-06,bipolar disorder,RNU6-1264P,17:6190631
rs12912251-<b>G</b>,3e-06,bipolar disorder,LINC02694,15:38694167
rs2860031-<b>?</b>,3e-06,bipolar disorder,LINC01648,1:30052867
rs7578035-<b>G</b>,3e-06,bipolar disorder,LINC02611,2:98766429
rs6122972-<b>A</b>,3e-06,bipolar disorder,PARD6B,20:50758705
rs6122972-<b>A</b>,3e-06,bipolar disorder,BCAS4,20:50758705
rs2989476-<b>C</b>,3e-06,bipolar disorder,LINC01748,1:60593587
rs4660531-<b>T</b>,3e-06,bipolar disorder,FOXO6,1:41374150
rs2287921-<b>C</b>,3e-06,bipolar disorder,RASIP1,19:48725015
rs140643378-<b>G</b>,3e-06,bipolar disorder,PABPC1L2B,X:73035874
rs140643378-<b>G</b>,3e-06,bipolar disorder,PABPC1L2A,X:73035874
rs59811079-<b>G</b>,3e-06,bipolar disorder,DLGAP2,8:1677566
chr7_131863813_D-<b>?</b>,3e-06,bipolar disorder,UNKNOWN,Mapping not available
chr10_116615129_I-<b>?</b>,3e-06,bipolar disorder,UNKNOWN,Mapping not available
