variant_and_allele,p_value,trait,gene,location
rs11687420-<b>A</b>,4e-06,attention deficit hyperactivity disorder,RPL6P5,2:145287997
rs11687420-<b>A</b>,4e-06,attention deficit hyperactivity disorder,TEX41,2:145287997
rs2237349-<b>?</b>,4.9999999999999996e-06,attention deficit hyperactivity disorder,CREB5,7:28723346
rs4964805-<b>?</b>,4.9999999999999996e-06,attention deficit hyperactivity disorder,NT5DC3,12:103799046
rs1325154-<b>C</b>,4.9999999999999996e-06,attention deficit hyperactivity disorder,UNKNOWN,9:12582565
rs1018040-<b>?</b>,4.9999999999999996e-06,attention deficit hyperactivity disorder,LINC02869,1:218532472
rs1018040-<b>?</b>,4.9999999999999996e-06,attention deficit hyperactivity disorder,U3,1:218532472
rs130575-<b>?</b>,4.9999999999999996e-06,attention deficit hyperactivity disorder,UNKNOWN,22:34463801
rs7992643-<b>?</b>,4.9999999999999996e-06,attention deficit hyperactivity disorder,ZIC5,13:99902784
rs7992643-<b>?</b>,4.9999999999999996e-06,attention deficit hyperactivity disorder,CLYBL,13:99902784
rs4673294-<b>?</b>,4.9999999999999996e-06,attention deficit hyperactivity disorder,DSTNP5,2:204324360
rs10463832-<b>A</b>,4.9999999999999996e-06,attention deficit hyperactivity disorder,CCDC192,5:127774794
rs10463833-<b>A</b>,4.9999999999999996e-06,attention deficit hyperactivity disorder,CCDC192,5:127786620
rs10463833-<b>A</b>,4.9999999999999996e-06,attention deficit hyperactivity disorder,CUL1P1,5:127786620
rs6475111-<b>T</b>,4.9999999999999996e-06,attention deficit hyperactivity disorder,CNTLN,9:17162415
rs117059665-<b>T</b>,4.9999999999999996e-06,attention deficit hyperactivity disorder,FGFR2,10:121570923
rs7164923-<b>T</b>,4.9999999999999996e-06,attention deficit hyperactivity disorder,RNU6-741P,15:23817768
rs7164923-<b>T</b>,4.9999999999999996e-06,attention deficit hyperactivity disorder,PWRN4,15:23817768
rs6057659-<b>A</b>,4.9999999999999996e-06,attention deficit hyperactivity disorder,EFCAB8,20:32857341
rs6057659-<b>A</b>,4.9999999999999996e-06,attention deficit hyperactivity disorder,MAPRE1,20:32857341
rs11681930-<b>A</b>,4.9999999999999996e-06,attention deficit hyperactivity disorder,PARD3B,2:205198574
rs74760947-<b>G</b>,4.9999999999999996e-06,attention deficit hyperactivity disorder,UNKNOWN,8:34495092
rs8123073-<b>A</b>,4.9999999999999996e-06,attention deficit hyperactivity disorder,EFCAB8,20:32859052
rs3799977-<b>?</b>,4.9999999999999996e-06,attention deficit hyperactivity disorder,SUPT3H,6:44869619
rs1918172-<b>?</b>,4.9999999999999996e-06,attention deficit hyperactivity disorder,LINC01876,2:156031988
rs6453417-<b>?</b>,4.9999999999999996e-06,attention deficit hyperactivity disorder,ARSB,5:78814709
rs7722425-<b>T</b>,4.9999999999999996e-06,attention deficit hyperactivity disorder,CCDC192,5:127790070
rs17123726-<b>A</b>,4.9999999999999996e-06,attention deficit hyperactivity disorder,EFCAB8,20:32859562
rs4147141-<b>?</b>,6e-06,attention deficit hyperactivity disorder,LINC01707,1:69113569
rs12523164-<b>T</b>,6e-06,attention deficit hyperactivity disorder,CCDC192,5:127726279
rs17651978-<b>?</b>,6e-06,attention deficit hyperactivity disorder,FOXP1,3:70971339
rs10153620-<b>C</b>,6e-06,attention deficit hyperactivity disorder,PARD3B,2:205195913
rs930421-<b>?</b>,6e-06,attention deficit hyperactivity disorder,MTA3,2:42754099
rs9364220-<b>A</b>,6e-06,attention deficit hyperactivity disorder,FRMD1,6:168089888
rs9810857-<b>T</b>,6e-06,attention deficit hyperactivity disorder,SLC9A9,3:143264057
rs9810857-<b>T</b>,6e-06,attention deficit hyperactivity disorder,PBX2P1,3:143264057
rs3892715-<b>C</b>,6e-06,attention deficit hyperactivity disorder,MIR1263,3:195037281
rs3892715-<b>C</b>,6e-06,attention deficit hyperactivity disorder,XXYLT1,3:195037281
rs12931939-<b>T</b>,6e-06,attention deficit hyperactivity disorder,GPR139,16:20049508
rs6497436-<b>T</b>,6e-06,attention deficit hyperactivity disorder,GPR139,16:20112193
rs412050-<b>?</b>,6e-06,attention deficit hyperactivity disorder,PPM1F-AS1,22:21953147
rs2608200-<b>A</b>,6e-06,attention deficit hyperactivity disorder,GPR139,16:20110968
rs10858396-<b>?</b>,6e-06,attention deficit hyperactivity disorder,SOCS5P2,9:135383930
rs10858396-<b>?</b>,6e-06,attention deficit hyperactivity disorder,C9orf62,9:135383930
rs112686226-<b>G</b>,6e-06,attention deficit hyperactivity disorder,OLIG1,21:33155073
rs112686226-<b>G</b>,6e-06,attention deficit hyperactivity disorder,LINC01548,21:33155073
rs13439086-<b>C</b>,6e-06,attention deficit hyperactivity disorder,RN7SL178P,8:8516736
rs609728-<b>T</b>,6e-06,attention deficit hyperactivity disorder,ANO4,12:100981868
rs12680109-<b>T</b>,7e-06,attention deficit hyperactivity disorder,Metazoa_SRP,8:69897026
rs12680109-<b>T</b>,7e-06,attention deficit hyperactivity disorder,RN7SL675P,8:69897026
rs4708431-<b>A</b>,7e-06,attention deficit hyperactivity disorder,FRMD1,6:168083405
rs4245040-<b>?</b>,7e-06,attention deficit hyperactivity disorder,GRIK4,11:120649920
rs12513840-<b>A</b>,7e-06,attention deficit hyperactivity disorder,CCDC192,5:127724250
rs1027730-<b>A</b>,7e-06,attention deficit hyperactivity disorder,C8orf87,8:93073310
rs1027730-<b>A</b>,7e-06,attention deficit hyperactivity disorder,MIR8084,8:93073310
rs11778329-<b>?</b>,7e-06,attention deficit hyperactivity disorder,UBE2V2,8:48140605
rs4835929-<b>T</b>,7e-06,attention deficit hyperactivity disorder,CCDC192,5:127718586
rs11642377-<b>A</b>,7e-06,attention deficit hyperactivity disorder,GPR139,16:20098331
rs11646411-<b>?</b>,7e-06,attention deficit hyperactivity disorder,CDH13,16:82713332
rs12926729-<b>A</b>,7e-06,attention deficit hyperactivity disorder,GPR139,16:20089048
rs11647507-<b>A</b>,7e-06,attention deficit hyperactivity disorder,GPR139,16:20084306
rs11994034-<b>T</b>,7e-06,attention deficit hyperactivity disorder,MSC-AS1,8:72158500
rs4810685-<b>C</b>,7e-06,attention deficit hyperactivity disorder,SULF2,20:47771969
rs12924103-<b>T</b>,7e-06,attention deficit hyperactivity disorder,GPR139,16:20083224
rs10180522-<b>A</b>,7e-06,attention deficit hyperactivity disorder,TEX41,2:145314285
rs10180522-<b>A</b>,7e-06,attention deficit hyperactivity disorder,RPL6P5,2:145314285
rs7201408-<b>A</b>,7e-06,attention deficit hyperactivity disorder,GPR139,16:20082732
rs2556378-<b>T</b>,7e-06,attention deficit hyperactivity disorder,BCL11A,2:60535367
rs7185264-<b>A</b>,7e-06,attention deficit hyperactivity disorder,GPR139,16:20083564
rs9545903-<b>C</b>,7e-06,attention deficit hyperactivity disorder,UNKNOWN,13:81872778
rs13407123-<b>T</b>,8e-06,attention deficit hyperactivity disorder,TEX41,2:145335188
rs13407123-<b>T</b>,8e-06,attention deficit hyperactivity disorder,RPL6P5,2:145335188
rs10521114-<b>A</b>,8e-06,attention deficit hyperactivity disorder,GPR139,16:20078432
rs797820-<b>?</b>,8e-06,attention deficit hyperactivity disorder,SEMA3A,7:83979723
rs10521115-<b>A</b>,8e-06,attention deficit hyperactivity disorder,GPR139,16:20079323
rs9513794-<b>T</b>,8e-06,attention deficit hyperactivity disorder,NALCN-AS1,13:100749970
rs469727-<b>?</b>,8e-06,attention deficit hyperactivity disorder,REEP5,5:112907271
rs260461-<b>?</b>,8e-06,attention deficit hyperactivity disorder,ZNF8-DT,19:58259517
rs260461-<b>?</b>,8e-06,attention deficit hyperactivity disorder,ZNF544,19:58259517
rs10011926-<b>?</b>,8e-06,attention deficit hyperactivity disorder,ELOVL6,4:110105771
rs10485813-<b>A</b>,8e-06,attention deficit hyperactivity disorder,TSHZ2,20:52967444
rs10485813-<b>A</b>,8e-06,attention deficit hyperactivity disorder,RPL36P1,20:52967444
rs2241685-<b>?</b>,8e-06,attention deficit hyperactivity disorder,MYT1L,2:1922221
rs10767942-<b>?</b>,8e-06,attention deficit hyperactivity disorder,WT1-AS,11:32500461
rs10767942-<b>?</b>,8e-06,attention deficit hyperactivity disorder,EIF3M,11:32500461
rs1350666-<b>?</b>,8e-06,attention deficit hyperactivity disorder,EPGN,4:74358873
rs1350666-<b>?</b>,8e-06,attention deficit hyperactivity disorder,EREG,4:74358873
rs6791644-<b>?</b>,8e-06,attention deficit hyperactivity disorder,FHIT,3:60785375
rs6983777-<b>A</b>,8e-06,attention deficit hyperactivity disorder,LINC01181,8:103106338
rs6983777-<b>A</b>,8e-06,attention deficit hyperactivity disorder,MTCO2P4,8:103106338
rs2242073-<b>?</b>,8e-06,attention deficit hyperactivity disorder,CRYGC,2:208129321
rs10039254-<b>A</b>,8e-06,attention deficit hyperactivity disorder,ADAMTS2,5:179143913
rs1335515-<b>C</b>,8e-06,attention deficit hyperactivity disorder,SLC35F4,14:57918647
rs13006237-<b>A</b>,9e-06,attention deficit hyperactivity disorder,PSMD14P1,2:123757465
rs13006237-<b>A</b>,9e-06,attention deficit hyperactivity disorder,ELOAP1,2:123757465
rs10487524-<b>T</b>,9e-06,attention deficit hyperactivity disorder,UNKNOWN,7:145144438
rs17367118-<b>?</b>,9e-06,attention deficit hyperactivity disorder,UNKNOWN,2:122884035
rs2290416-<b>?</b>,9e-06,attention deficit hyperactivity disorder,NAPRT,8:143575430
rs74490514-<b>T</b>,9e-06,attention deficit hyperactivity disorder,MTND5P15,3:176923607
rs74490514-<b>T</b>,9e-06,attention deficit hyperactivity disorder,LINC01208,3:176923607
rs17658378-<b>A</b>,9e-06,attention deficit hyperactivity disorder,TRPS1,8:115381846
rs272000-<b>?</b>,9e-06,attention deficit hyperactivity disorder,DPP10,2:115898219
