variant_and_allele,p_value,trait,gene,location,af
rs28452470-<b>A</b>,3e-06,attention deficit hyperactivity disorder,FEZF1,7:122317528,0.3664686825053996
rs6758152-<b>T</b>,3e-06,attention deficit hyperactivity disorder,LINC01965,2:104051280,0.9175241077641912
rs6119285-<b>T</b>,4e-06,attention deficit hyperactivity disorder,DNMT3B,20:32789189,0.05733139086468421
rs6057648-<b>A</b>,4e-06,attention deficit hyperactivity disorder,DNMT3B,20:32797074,0.014885860602378266
rs12037173-<b>?</b>,4e-06,attention deficit hyperactivity disorder,LRRC7,1:69890298,-1.0
rs12613775-<b>T</b>,4e-06,attention deficit hyperactivity disorder,LINC01965,2:103964045,0.15342780492987676
rs6119286-<b>A</b>,4e-06,attention deficit hyperactivity disorder,DNMT3B,20:32807671,0.031198820831968555
rs1555322-<b>?</b>,4e-06,attention deficit hyperactivity disorder,MMP24OS,20:35261376,-1.0
rs1555322-<b>?</b>,4e-06,attention deficit hyperactivity disorder,MMP24,20:35261376,-1.0
rs515910-<b>?</b>,4e-06,attention deficit hyperactivity disorder,CFAP43,10:104206646,-1.0
rs2602381-<b>A</b>,4e-06,attention deficit hyperactivity disorder,UGT1A10,2:233675678,-1.0
rs2602381-<b>A</b>,4e-06,attention deficit hyperactivity disorder,UGT1A8,2:233675678,-1.0
rs2602381-<b>A</b>,4e-06,attention deficit hyperactivity disorder,UGT1A9,2:233675678,-1.0
rs9845475-<b>G</b>,4e-06,attention deficit hyperactivity disorder,RPL23AP43,3:32800609,0.13539883601506333
rs9845475-<b>G</b>,4e-06,attention deficit hyperactivity disorder,TRIM71,3:32800609,0.13539883601506333
rs874426-<b>C</b>,4e-06,attention deficit hyperactivity disorder,NAV2,11:19548016,0.1994038067494507
rs8047014-<b>?</b>,4e-06,attention deficit hyperactivity disorder,HAS3,16:69101146,-1.0
rs8047014-<b>?</b>,4e-06,attention deficit hyperactivity disorder,TANGO6,16:69101146,-1.0
rs1059440-<b>?</b>,4e-06,attention deficit hyperactivity disorder,TRPT1,11:64224329,-1.0
rs75311156-<b>?</b>,4e-06,attention deficit hyperactivity disorder,OR5H5P,3:98198801,-1.0
rs75311156-<b>?</b>,4e-06,attention deficit hyperactivity disorder,OR5H3P,3:98198801,-1.0
rs2832008-<b>?</b>,4e-06,attention deficit hyperactivity disorder,U6,21:28737676,-1.0
rs438259-<b>?</b>,4e-06,attention deficit hyperactivity disorder,HULC,6:9030103,-1.0
rs28609353-<b>?</b>,4e-06,attention deficit hyperactivity disorder,TRIM51,11:55884182,-1.0
rs895614-<b>A</b>,4e-06,attention deficit hyperactivity disorder,RNU6-276P,4:55792612,0.2885356956748306
rs34846424-<b>T</b>,4e-06,attention deficit hyperactivity disorder,LINC02374,4:187244864,0.4241203899957609
rs35782676-<b>T</b>,4e-06,attention deficit hyperactivity disorder,ZNF584,19:58414978,0.7955002646903123
rs11917999-<b>G</b>,4e-06,attention deficit hyperactivity disorder,SOX2-OT,3:181538459,0.085283218634198
rs7442317-<b>?</b>,4e-06,attention deficit hyperactivity disorder,RPS3AP17,4:29901430,-1.0
rs11607165-<b>?</b>,4e-06,attention deficit hyperactivity disorder,STIP1,11:64196475,-1.0
rs11903187-<b>A</b>,4e-06,attention deficit hyperactivity disorder,LINC01965,2:103972680,0.17348196856056713
rs16928529-<b>?</b>,4e-06,attention deficit hyperactivity disorder,UNC5B,10:71223228,-1.0
rs1515641-<b>A</b>,4e-06,attention deficit hyperactivity disorder,CCDC192,5:127803924,0.02848861677142585
rs1822881-<b>A</b>,4e-06,attention deficit hyperactivity disorder,RPL6P5,2:145286484,0.6953034230047368
rs1822881-<b>A</b>,4e-06,attention deficit hyperactivity disorder,TEX41,2:145286484,0.6953034230047368
rs2119507-<b>T</b>,4e-06,attention deficit hyperactivity disorder,LINC01965,2:103956547,0.12543438689392686
rs6057651-<b>A</b>,4e-06,attention deficit hyperactivity disorder,MAPRE1,20:32822531,0.019887491727332892
rs10193430-<b>A</b>,4e-06,attention deficit hyperactivity disorder,LINC01965,2:103970893,0.1721545791424034
rs1036736-<b>T</b>,4e-06,attention deficit hyperactivity disorder,LINC01965,2:103962075,0.8309083082221266
rs7270085-<b>A</b>,4e-06,attention deficit hyperactivity disorder,MAPRE1,20:32849801,0.032382892057026484
rs6057652-<b>A</b>,4e-06,attention deficit hyperactivity disorder,MAPRE1,20:32832003,0.980481379475512
rs11687420-<b>A</b>,4e-06,attention deficit hyperactivity disorder,RPL6P5,2:145287997,0.696929592376919
rs11687420-<b>A</b>,4e-06,attention deficit hyperactivity disorder,TEX41,2:145287997,0.696929592376919
rs2237349-<b>?</b>,5e-06,attention deficit hyperactivity disorder,CREB5,7:28723346,-1.0
rs4964805-<b>?</b>,5e-06,attention deficit hyperactivity disorder,NT5DC3,12:103799046,-1.0
rs1325154-<b>C</b>,5e-06,attention deficit hyperactivity disorder,UNKNOWN,9:12582565,0.09049198283993062
rs1018040-<b>?</b>,5e-06,attention deficit hyperactivity disorder,LINC02869,1:218532472,-1.0
rs1018040-<b>?</b>,5e-06,attention deficit hyperactivity disorder,U3,1:218532472,-1.0
rs130575-<b>?</b>,5e-06,attention deficit hyperactivity disorder,UNKNOWN,22:34463801,-1.0
rs7992643-<b>?</b>,5e-06,attention deficit hyperactivity disorder,ZIC5,13:99902784,-1.0
rs7992643-<b>?</b>,5e-06,attention deficit hyperactivity disorder,CLYBL,13:99902784,-1.0
rs4673294-<b>?</b>,5e-06,attention deficit hyperactivity disorder,DSTNP5,2:204324360,-1.0
rs10463832-<b>A</b>,5e-06,attention deficit hyperactivity disorder,CCDC192,5:127774794,0.028072765692303527
rs10463833-<b>A</b>,5e-06,attention deficit hyperactivity disorder,CCDC192,5:127786620,0.059095688748685586
rs10463833-<b>A</b>,5e-06,attention deficit hyperactivity disorder,CUL1P1,5:127786620,0.059095688748685586
rs6475111-<b>T</b>,5e-06,attention deficit hyperactivity disorder,CNTLN,9:17162415,0.2727957169148402
rs117059665-<b>T</b>,5e-06,attention deficit hyperactivity disorder,FGFR2,10:121570923,0.000970873786407767
rs7164923-<b>T</b>,5e-06,attention deficit hyperactivity disorder,RNU6-741P,15:23817768,0.05976707252514558
rs7164923-<b>T</b>,5e-06,attention deficit hyperactivity disorder,PWRN4,15:23817768,0.05976707252514558
rs6057659-<b>A</b>,5e-06,attention deficit hyperactivity disorder,EFCAB8,20:32857341,0.020891231432678486
rs6057659-<b>A</b>,5e-06,attention deficit hyperactivity disorder,MAPRE1,20:32857341,0.020891231432678486
rs11681930-<b>A</b>,5e-06,attention deficit hyperactivity disorder,PARD3B,2:205198574,0.21852867714772192
rs74760947-<b>G</b>,5e-06,attention deficit hyperactivity disorder,UNKNOWN,8:34495092,0.034611650485436886
rs8123073-<b>A</b>,5e-06,attention deficit hyperactivity disorder,EFCAB8,20:32859052,0.9745440987051726
rs3799977-<b>?</b>,5e-06,attention deficit hyperactivity disorder,SUPT3H,6:44869619,-1.0
rs1918172-<b>?</b>,5e-06,attention deficit hyperactivity disorder,LINC01876,2:156031988,-1.0
rs6453417-<b>?</b>,5e-06,attention deficit hyperactivity disorder,ARSB,5:78814709,-1.0
rs7722425-<b>T</b>,5e-06,attention deficit hyperactivity disorder,CCDC192,5:127790070,0.926011539315038
rs17123726-<b>A</b>,5e-06,attention deficit hyperactivity disorder,EFCAB8,20:32859562,0.9818734793187348
rs4147141-<b>?</b>,6e-06,attention deficit hyperactivity disorder,LINC01707,1:69113569,-1.0
rs12523164-<b>T</b>,6e-06,attention deficit hyperactivity disorder,CCDC192,5:127726279,0.9683959767072524
rs17651978-<b>?</b>,6e-06,attention deficit hyperactivity disorder,FOXP1,3:70971339,-1.0
rs10153620-<b>C</b>,6e-06,attention deficit hyperactivity disorder,PARD3B,2:205195913,0.1313068651778329
rs930421-<b>?</b>,6e-06,attention deficit hyperactivity disorder,MTA3,2:42754099,-1.0
rs9364220-<b>A</b>,6e-06,attention deficit hyperactivity disorder,FRMD1,6:168089888,0.3368636214978742
rs9810857-<b>T</b>,6e-06,attention deficit hyperactivity disorder,SLC9A9,3:143264057,-1.0
rs9810857-<b>T</b>,6e-06,attention deficit hyperactivity disorder,PBX2P1,3:143264057,-1.0
rs3892715-<b>C</b>,6e-06,attention deficit hyperactivity disorder,MIR1263,3:195037281,0.5209346737289663
rs3892715-<b>C</b>,6e-06,attention deficit hyperactivity disorder,XXYLT1,3:195037281,0.5209346737289663
rs12931939-<b>T</b>,6e-06,attention deficit hyperactivity disorder,GPR139,16:20049508,0.20321724789062312
rs6497436-<b>T</b>,6e-06,attention deficit hyperactivity disorder,GPR139,16:20112193,0.2160014448257179
rs412050-<b>?</b>,6e-06,attention deficit hyperactivity disorder,PPM1F-AS1,22:21953147,-1.0
rs2608200-<b>A</b>,6e-06,attention deficit hyperactivity disorder,GPR139,16:20110968,0.229030293804232
rs10858396-<b>?</b>,6e-06,attention deficit hyperactivity disorder,SOCS5P2,9:135383930,-1.0
rs10858396-<b>?</b>,6e-06,attention deficit hyperactivity disorder,C9orf62,9:135383930,-1.0
rs112686226-<b>G</b>,6e-06,attention deficit hyperactivity disorder,OLIG1,21:33155073,0.11009947732254258
rs112686226-<b>G</b>,6e-06,attention deficit hyperactivity disorder,LINC01548,21:33155073,0.11009947732254258
rs13439086-<b>C</b>,6e-06,attention deficit hyperactivity disorder,RN7SL178P,8:8516736,0.1884065643197459
rs609728-<b>T</b>,6e-06,attention deficit hyperactivity disorder,ANO4,12:100981868,0.3186821944829098
rs12680109-<b>T</b>,7.000000000000001e-06,attention deficit hyperactivity disorder,Metazoa_SRP,8:69897026,0.6012331575565325
rs12680109-<b>T</b>,7.000000000000001e-06,attention deficit hyperactivity disorder,RN7SL675P,8:69897026,0.6012331575565325
rs4708431-<b>A</b>,7.000000000000001e-06,attention deficit hyperactivity disorder,FRMD1,6:168083405,0.5461565959125311
rs4245040-<b>?</b>,7.000000000000001e-06,attention deficit hyperactivity disorder,GRIK4,11:120649920,-1.0
rs12513840-<b>A</b>,7.000000000000001e-06,attention deficit hyperactivity disorder,CCDC192,5:127724250,0.9724052459839356
rs1027730-<b>A</b>,7.000000000000001e-06,attention deficit hyperactivity disorder,C8orf87,8:93073310,0.08814989688483664
rs1027730-<b>A</b>,7.000000000000001e-06,attention deficit hyperactivity disorder,MIR8084,8:93073310,0.08814989688483664
rs11778329-<b>?</b>,7.000000000000001e-06,attention deficit hyperactivity disorder,UBE2V2,8:48140605,-1.0
rs4835929-<b>T</b>,7.000000000000001e-06,attention deficit hyperactivity disorder,CCDC192,5:127718586,0.96389346512905
rs11642377-<b>A</b>,7.000000000000001e-06,attention deficit hyperactivity disorder,GPR139,16:20098331,0.2348873134252013
rs11646411-<b>?</b>,7.000000000000001e-06,attention deficit hyperactivity disorder,CDH13,16:82713332,-1.0
rs12926729-<b>A</b>,7.000000000000001e-06,attention deficit hyperactivity disorder,GPR139,16:20089048,0.22215944113416888
rs11647507-<b>A</b>,7.000000000000001e-06,attention deficit hyperactivity disorder,GPR139,16:20084306,0.767213574533726
rs11994034-<b>T</b>,7.000000000000001e-06,attention deficit hyperactivity disorder,MSC-AS1,8:72158500,0.03040405387384985
rs4810685-<b>C</b>,7.000000000000001e-06,attention deficit hyperactivity disorder,SULF2,20:47771969,0.5159864446736407
rs12924103-<b>T</b>,7.000000000000001e-06,attention deficit hyperactivity disorder,GPR139,16:20083224,0.7596009350475872
rs10180522-<b>A</b>,7.000000000000001e-06,attention deficit hyperactivity disorder,TEX41,2:145314285,0.7049116909449871
rs10180522-<b>A</b>,7.000000000000001e-06,attention deficit hyperactivity disorder,RPL6P5,2:145314285,0.7049116909449871
rs7201408-<b>A</b>,7.000000000000001e-06,attention deficit hyperactivity disorder,GPR139,16:20082732,0.7424134745220666
rs2556378-<b>T</b>,7.000000000000001e-06,attention deficit hyperactivity disorder,BCL11A,2:60535367,0.1677420425870999
rs7185264-<b>A</b>,7.000000000000001e-06,attention deficit hyperactivity disorder,GPR139,16:20083564,0.25517021953547564
rs9545903-<b>C</b>,7.000000000000001e-06,attention deficit hyperactivity disorder,UNKNOWN,13:81872778,0.4269789349731781
rs13407123-<b>T</b>,8e-06,attention deficit hyperactivity disorder,TEX41,2:145335188,0.722108074789398
rs13407123-<b>T</b>,8e-06,attention deficit hyperactivity disorder,RPL6P5,2:145335188,0.722108074789398
rs10521114-<b>A</b>,8e-06,attention deficit hyperactivity disorder,GPR139,16:20078432,0.2519497660280766
rs797820-<b>?</b>,8e-06,attention deficit hyperactivity disorder,SEMA3A,7:83979723,-1.0
rs10521115-<b>A</b>,8e-06,attention deficit hyperactivity disorder,GPR139,16:20079323,0.2351511604234528
rs9513794-<b>T</b>,8e-06,attention deficit hyperactivity disorder,NALCN-AS1,13:100749970,0.2440354767184036
rs469727-<b>?</b>,8e-06,attention deficit hyperactivity disorder,REEP5,5:112907271,-1.0
rs260461-<b>?</b>,8e-06,attention deficit hyperactivity disorder,ZNF8-DT,19:58259517,-1.0
rs260461-<b>?</b>,8e-06,attention deficit hyperactivity disorder,ZNF544,19:58259517,-1.0
rs10011926-<b>?</b>,8e-06,attention deficit hyperactivity disorder,ELOVL6,4:110105771,-1.0
rs10485813-<b>A</b>,8e-06,attention deficit hyperactivity disorder,TSHZ2,20:52967444,0.902909236879912
rs10485813-<b>A</b>,8e-06,attention deficit hyperactivity disorder,RPL36P1,20:52967444,0.902909236879912
rs2241685-<b>?</b>,8e-06,attention deficit hyperactivity disorder,MYT1L,2:1922221,-1.0
rs10767942-<b>?</b>,8e-06,attention deficit hyperactivity disorder,WT1-AS,11:32500461,-1.0
rs10767942-<b>?</b>,8e-06,attention deficit hyperactivity disorder,EIF3M,11:32500461,-1.0
rs1350666-<b>?</b>,8e-06,attention deficit hyperactivity disorder,EPGN,4:74358873,-1.0
rs1350666-<b>?</b>,8e-06,attention deficit hyperactivity disorder,EREG,4:74358873,-1.0
rs6791644-<b>?</b>,8e-06,attention deficit hyperactivity disorder,FHIT,3:60785375,-1.0
rs6983777-<b>A</b>,8e-06,attention deficit hyperactivity disorder,LINC01181,8:103106338,0.4963090818298271
rs6983777-<b>A</b>,8e-06,attention deficit hyperactivity disorder,MTCO2P4,8:103106338,0.4963090818298271
rs2242073-<b>?</b>,8e-06,attention deficit hyperactivity disorder,CRYGC,2:208129321,-1.0
rs10039254-<b>A</b>,8e-06,attention deficit hyperactivity disorder,ADAMTS2,5:179143913,0.6220055748744273
rs1335515-<b>C</b>,8e-06,attention deficit hyperactivity disorder,SLC35F4,14:57918647,0.27830569653700804
rs13006237-<b>A</b>,9e-06,attention deficit hyperactivity disorder,PSMD14P1,2:123757465,0.25632826174767737
rs13006237-<b>A</b>,9e-06,attention deficit hyperactivity disorder,ELOAP1,2:123757465,0.25632826174767737
rs10487524-<b>T</b>,9e-06,attention deficit hyperactivity disorder,UNKNOWN,7:145144438,-1.0
rs17367118-<b>?</b>,9e-06,attention deficit hyperactivity disorder,UNKNOWN,2:122884035,-1.0
rs2290416-<b>?</b>,9e-06,attention deficit hyperactivity disorder,NAPRT,8:143575430,-1.0
rs74490514-<b>T</b>,9e-06,attention deficit hyperactivity disorder,MTND5P15,3:176923607,6.934812760055478e-05
rs74490514-<b>T</b>,9e-06,attention deficit hyperactivity disorder,LINC01208,3:176923607,6.934812760055478e-05
rs17658378-<b>A</b>,9e-06,attention deficit hyperactivity disorder,TRPS1,8:115381846,0.8854510298816983
rs272000-<b>?</b>,9e-06,attention deficit hyperactivity disorder,DPP10,2:115898219,-1.0
