variant_and_allele,p_value,trait,gene,location,af
rs10121366-<b>T</b>,7.000000000000001e-06,cocaine dependence,DELEC1,9:115481743,0.14504161235335405
rs11245976-<b>A</b>,7.000000000000001e-06,alcohol dependence,MUC5AC,11:1136660,0.15464114832535886
rs11245976-<b>A</b>,7.000000000000001e-06,alcohol dependence,MUC2,11:1136660,0.15464114832535886
rs148179194-<b>T</b>,7.000000000000001e-06,cocaine dependence,DOCK3,3:50761221,0.9860243515087348
rs144182682-<b>A</b>,7.000000000000001e-06,nicotine dependence,LINC02870,10:132474917,-1.0
rs144182682-<b>A</b>,7.000000000000001e-06,nicotine dependence,LINC01165,10:132474917,-1.0
rs1519302-<b>C</b>,7.000000000000001e-06,alcohol dependence,UNKNOWN,2:123207111,0.279245462320631
rs9805786-<b>?</b>,7.000000000000001e-06,alcohol dependence,SPATA13,13:24084217,-1.0
rs4293630-<b>A</b>,7.000000000000001e-06,alcohol dependence,PSMA6P3,21:46025877,0.8594322148389503
rs4293630-<b>A</b>,7.000000000000001e-06,alcohol dependence,COL6A1,21:46025877,0.8594322148389503
rs933769-<b>T</b>,7.000000000000001e-06,alcohol dependence,LINC00924,15:95509513,0.8119794497729305
rs374098-<b>T</b>,7.000000000000001e-06,nicotine dependence,Metazoa_SRP,5:24459734,0.17170483460559796
rs374098-<b>T</b>,7.000000000000001e-06,nicotine dependence,CDH10,5:24459734,0.17170483460559796
rs1442493-<b>G</b>,7.000000000000001e-06,alcohol dependence,ADH1B,4:99400208,0.7976704296142646
rs1442493-<b>G</b>,7.000000000000001e-06,alcohol dependence,ADH7,4:99400208,0.7976704296142646
rs13160562-<b>G</b>,7.000000000000001e-06,alcohol dependence,ERAP1,5:96775667,0.7248886958410251
rs13160562-<b>G</b>,7.000000000000001e-06,alcohol dependence,CAST,5:96775667,0.7248886958410251
rs1793257-<b>A</b>,7.000000000000001e-06,alcohol dependence,OPCML,11:132714224,-1.0
rs115062292-<b>T</b>,7.000000000000001e-06,drug dependence,NRXN1,2:50318451,0.006934812760055479
rs237238-<b>A</b>,7.000000000000001e-06,alcohol dependence,HIP1,7:75582098,0.9268154632756636
rs35735220-<b>T</b>,7.000000000000001e-06,cocaine dependence,MIR873,9:28963291,0.10682901005823188
rs12811699-<b>?</b>,8e-06,cannabis dependence,CHST11,12:104623386,-1.0
rs10893366-<b>?</b>,8e-06,alcohol dependence,PKNOX2,11:125308507,-1.0
rs9507041-<b>?</b>,8e-06,cannabis dependence,LINC00362,13:23170240,-1.0
rs9636231-<b>?</b>,8e-06,alcohol dependence,AHCYP4,2:138914385,-1.0
rs10090288-<b>?</b>,8e-06,alcohol dependence,MICU3,8:17072126,-1.0
rs28372448-<b>?</b>,8e-06,cannabis dependence,PIM3,22:49957323,-1.0
rs28372448-<b>?</b>,8e-06,cannabis dependence,CRELD2,22:49957323,-1.0
rs6902771-<b>C</b>,8e-06,alcohol dependence,ESR1,6:151836746,0.5397361887955014
rs334878-<b>A</b>,8e-06,cocaine dependence,MCIDAS,5:55224050,0.8344042385300418
rs768048-<b>C</b>,8e-06,alcohol dependence,DCC,18:52759028,0.8532573957223634
rs3930234-<b>C</b>,8e-06,alcohol dependence,LINC02054,3:184498342,0.8430353338068182
rs3930234-<b>C</b>,8e-06,alcohol dependence,LINC01839,3:184498342,0.8430353338068182
rs2827312-<b>G</b>,8e-06,alcohol dependence,RNU4-45P,21:22259356,0.6273597498188475
rs1460212-<b>A</b>,8e-06,drug dependence,MYCBPAP,17:50501142,0.22911845150431304
rs1460212-<b>A</b>,8e-06,drug dependence,RSAD1,17:50501142,0.22911845150431304
rs11779702-<b>G</b>,8e-06,nicotine dependence,GFRA2,8:21639886,0.4027527792482795
rs28714232-<b>T</b>,8e-06,nicotine dependence,DKFZP434A062,9:136323035,0.38546117769671706
rs72868658-<b>A</b>,8e-06,nicotine dependence,GNAL,18:11838174,0.1393859184753838
rs9825310-<b>?</b>,8e-06,alcohol dependence,CMTM8,3:32198627,-1.0
rs9825310-<b>?</b>,8e-06,alcohol dependence,RPSAP11,3:32198627,-1.0
rs17750015-<b>?</b>,8e-06,alcohol dependence,WDR7,18:56730391,-1.0
rs10483282-<b>T</b>,9e-06,alcohol dependence,RN7SKP205,14:23784487,0.4004470954144585
rs10483282-<b>T</b>,9e-06,alcohol dependence,BRD7P1,14:23784487,0.4004470954144585
rs247831-<b>C</b>,9e-06,cocaine dependence,MEAK7,16:84548287,0.8680463135480436
rs4410642-<b>C</b>,9e-06,cocaine dependence,RNU6-381P,5:44129321,0.1092641609317099
rs62357000-<b>T</b>,9e-06,cocaine dependence,SPRY4-AS1,5:30884808,0.9891328454202706
rs1380131-<b>C</b>,9e-06,alcohol dependence,RPS3AP46,14:53606140,0.9044016151665284
rs195204-<b>T</b>,9e-06,alcohol dependence,NGF-AS1,1:115191470,0.7503461321512612
rs195204-<b>T</b>,9e-06,alcohol dependence,LINC01765,1:115191470,0.7503461321512612
rs75562159-<b>A</b>,9e-06,alcohol dependence,CAMTA1,1:7444081,0.023824295818339745
rs13340561-<b>G</b>,9e-06,alcohol dependence,MSR1,8:16201396,0.044573848597141336
rs11076221-<b>G</b>,9e-06,alcohol dependence,C16orf97,16:51927631,0.9295650430948086
rs10741210-<b>G</b>,9e-06,alcohol dependence,LINC02646,10:130186048,0.5872289003370857
rs10741210-<b>G</b>,9e-06,alcohol dependence,GLRX3,10:130186048,0.5872289003370857
rs6677435-<b>?</b>,9e-06,cocaine dependence,UNKNOWN,1:195821528,-1.0
rs6693815-<b>T</b>,9e-06,alcohol dependence,GSTM5,1:109758638,0.22277963831212325
rs6693815-<b>T</b>,9e-06,alcohol dependence,EPS8L3,1:109758638,0.22277963831212325
