variant_and_allele,p_value,trait,gene,location,af,tissues
rs12989701-<b>?</b>,3e-10,alzheimer disease,NIFKP9,2:127130409,-1.0,Skin_Not_Sun_Exposed_Suprapubic&Whole_Blood&Testis&Heart_Left_Ventricle&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Artery_Tibial&Stomach&Liver&Colon_Sigmoid&Skin_Sun_Exposed_Lower_leg&Pituitary&Thyroid&Pancreas&Esophagus_Mucosa
"rs6656401-<b>A</b>, rs3818361-<b>A</b>",3e-10,alzheimer disease,CR1; CR1,1:207518704|1:207611623,0.17943424530323596,
rs4985556-<b>A</b>,4e-10,alzheimer disease,IL34,16:70660097,0.10599406627667242,
rs616338-<b>T</b>,5e-10,late-onset alzheimers disease,ABI3,17:49219935,0.008465463546263326,
rs72824905-<b>?</b>,5e-10,late-onset alzheimers disease,PLCG2,16:81908423,-1.0,
rs11771145-<b>?</b>,5e-10,alzheimer disease,EPHA1-AS1,7:143413669,-1.0,Whole_Blood&Adipose_Subcutaneous&Lung&Nerve_Tibial&Skin_Sun_Exposed_Lower_leg&Adipose_Visceral_Omentum&Spleen&Esophagus_Mucosa
rs28394864-<b>?</b>,5e-10,late-onset alzheimers disease,ZNF652,17:49373413,-1.0,
rs28394864-<b>?</b>,5e-10,late-onset alzheimers disease,PHB,17:49373413,-1.0,
rs6701713-<b>A</b>,5e-10,alzheimer disease,CR1,1:207612944,0.20343183135000226,Brain_Cortex&Brain_Hippocampus&Brain_Caudate_basal_ganglia&Esophagus_Gastroesophageal_Junction&Brain_Putamen_basal_ganglia&Esophagus_Muscularis&Colon_Sigmoid&Adrenal_Gland&Brain_Nucleus_accumbens_basal_ganglia
rs6431220-<b>A</b>,5e-10,alzheimer disease,NIFKP9,2:127122873,0.24943222373629226,Muscle_Skeletal&Whole_Blood&Brain_Cerebellar_Hemisphere&Brain_Cerebellum
rs6431220-<b>A</b>,5e-10,alzheimer disease,BIN1,2:127122873,0.24943222373629226,Muscle_Skeletal&Whole_Blood&Brain_Cerebellar_Hemisphere&Brain_Cerebellum
rs11767557-<b>?</b>,6e-10,alzheimer disease,EPHA1-AS1,7:143412046,-1.0,Whole_Blood&Adipose_Subcutaneous&Testis&Adipose_Visceral_Omentum&Esophagus_Mucosa
"rs9331888-<b>G</b>, rs2279590-<b>C</b>, rs11136000-<b>C</b>",6e-10,alzheimer disease,CLU; CLU; No mapped genes,8:27611345|8:27598736,0.2922632158590308,
rs139967528-<b>G</b>,6e-10,late-onset alzheimers disease,ATP5F1C,10:7799848,9.661680166180898e-05,
rs1476679-<b>T</b>,6e-10,alzheimer disease,ZCWPW1,7:100406823,0.7210453577416285,Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Brain_Substantia_nigra&Brain_Amygdala&Whole_Blood&Brain_Cerebellum&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Muscle_Skeletal&Spleen&Esophagus_Mucosa&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Brain_Hypothalamus
rs2632516-<b>?</b>,7.000000000000001e-10,late-onset alzheimers disease,TSPOAP1-AS1,17:58331728,-1.0,
rs7175766-<b>?</b> x rs3733980-<b>?</b>,7.000000000000001e-10,alzheimer disease,No mapped genes x WWC1,5:168441804,-1.0,
rs6891966-<b>?</b>,8e-10,late-onset alzheimers disease,HAVCR2,5:157099320,-1.0,Skin_Not_Sun_Exposed_Suprapubic&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Adipose_Subcutaneous&Lung&Testis&Colon_Transverse&Nerve_Tibial&Skin_Sun_Exposed_Lower_leg&Thyroid&Artery_Aorta&Adrenal_Gland&Adipose_Visceral_Omentum&Spleen&Small_Intestine_Terminal_Ileum
rs13025717-<b>T</b>,8e-10,alzheimer disease,NIFKP9,2:127128582,0.2854412336400156,Whole_Blood&Heart_Left_Ventricle&Artery_Tibial&Esophagus_Muscularis&Stomach&Liver&Colon_Sigmoid&Thyroid&Pancreas
rs13025717-<b>T</b>,8e-10,alzheimer disease,BIN1,2:127128582,0.2854412336400156,Whole_Blood&Heart_Left_Ventricle&Artery_Tibial&Esophagus_Muscularis&Stomach&Liver&Colon_Sigmoid&Thyroid&Pancreas
rs2154482-<b>?</b>,8e-10,late-onset alzheimers disease,APP,21:26148613,-1.0,
rs11136000-<b>?</b>,9e-10,alzheimer disease,UNKNOWN,Mapping not available,-1.0,
rs35568738-<b>G</b>,9e-10,alzheimer disease,TOMM40,19:44899461,0.9867553433378808,
rs2632516-<b>C</b>,1e-09,alzheimer disease,TSPOAP1-AS1,17:58331728,0.3452783211808643,
rs6504163-<b>?</b>,1e-09,late-onset alzheimers disease,PPIAP55,17:63468418,-1.0,
rs6504163-<b>?</b>,1e-09,late-onset alzheimers disease,CYB561,17:63468418,-1.0,
rs117964204-<b>?</b>,1e-09,alzheimer disease,CACNA1G,17:50614721,-1.0,
rs3851179-<b>?</b>,1e-09,alzheimer disease,RNU6-560P,11:86157598,-1.0,
rs3851179-<b>?</b>,1e-09,alzheimer disease,LINC02695,11:86157598,-1.0,
rs871269-<b>?</b>,1e-09,late-onset alzheimers disease,TNIP1,5:151052827,-1.0,
rs876461-<b>A</b>,1e-09,alzheimer disease,PRKD3,2:37288815,0.06345800122624158,Skin_Not_Sun_Exposed_Suprapubic&Lung&Testis&Esophagus_Gastroesophageal_Junction&Artery_Tibial&Spleen&Esophagus_Muscularis&Stomach&Nerve_Tibial&Skin_Sun_Exposed_Lower_leg&Colon_Sigmoid&Thyroid&Cells_Cultured_fibroblasts&Pancreas&Artery_Aorta&Muscle_Skeletal&Esophagus_Mucosa&Prostate
rs2967668-<b>G</b>,2e-09,alzheimer disease,CBLC,19:44799694,0.15388349514563107,
rs79701229-<b>A</b>,2e-09,alzheimer disease,NECTIN2,19:44881674,0.007146638433033352,
rs35336243-<b>T</b>,2e-09,alzheimer disease,APOC1P1,19:44939262,0.3332335329341317,
rs35336243-<b>T</b>,2e-09,alzheimer disease,APOC4,19:44939262,0.3332335329341317,
rs570487962-<b>?</b>,2e-09,alzheimer disease,LINC02254,15:97449455,-1.0,
rs708382-<b>?</b>,2e-09,late-onset alzheimers disease,RPL7L1P5,17:44364976,-1.0,
rs708382-<b>?</b>,2e-09,late-onset alzheimers disease,FAM171A2,17:44364976,-1.0,
rs1582763-<b>G</b>,2e-09,alzheimer disease,MS4A4A,11:60254475,0.6328071997230875,
rs115550680-<b>G</b>,2e-09,alzheimer disease,ABCA7,19:1050421,0.010957403095466374,
rs3865444-<b>?</b>,2e-09,alzheimer disease,SIGLEC22P,19:51224706,-1.0,
rs3865444-<b>?</b>,2e-09,alzheimer disease,CD33,19:51224706,-1.0,
rs1761461-<b>?</b>,2e-09,late-onset alzheimers disease,VN1R104P,19:54313903,-1.0,
rs1761461-<b>?</b>,2e-09,late-onset alzheimers disease,LILRA5,19:54313903,-1.0,
rs4748424-<b>G</b>,3.0000000000000004e-09,alzheimer disease,MRC1,10:17846684,0.1225381414701803,
rs536841-<b>?</b>,3.0000000000000004e-09,alzheimer disease,PICALM,11:86076782,-1.0,
rs536841-<b>?</b>,3.0000000000000004e-09,alzheimer disease,RNU6-560P,11:86076782,-1.0,
rs4147929-<b>?</b>,3.0000000000000004e-09,alzheimer disease,ABCA7,19:1063444,-1.0,
rs5011436-<b>?</b>,3.0000000000000004e-09,late-onset alzheimers disease,TMEM106B,7:12229132,-1.0,Heart_Atrial_Appendage&Brain_Cortex&Whole_Blood&Cells_EBV-transformed_lymphocytes&Heart_Left_Ventricle&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Artery_Tibial&Stomach&Adrenal_Gland&Pancreas&Brain_Cerebellum&Muscle_Skeletal&Esophagus_Mucosa
rs61732533-<b>?</b>,3.0000000000000004e-09,late-onset alzheimers disease,OPLAH,8:144053248,-1.0,Heart_Atrial_Appendage&Whole_Blood&Adipose_Subcutaneous&Artery_Coronary&Lung&Testis&Heart_Left_Ventricle&Nerve_Tibial&Thyroid&Cells_Cultured_fibroblasts&Pancreas&Muscle_Skeletal
APOE-<b>E3</b>,4e-09,alzheimer disease,UNKNOWN,Mapping not available,-1.0,
rs76692773-<b>C</b>,4e-09,alzheimer disease,TOMM40,19:44890954,0.9210679048171794,
rs679515-<b>T</b>,4e-09,alzheimer disease,CR1,1:207577223,0.2432098765432099,Brain_Cortex&Adipose_Subcutaneous&Lung&Brain_Hippocampus&Brain_Caudate_basal_ganglia&Esophagus_Gastroesophageal_Junction&Brain_Frontal_Cortex_BA9&Esophagus_Muscularis&Brain_Putamen_basal_ganglia&Colon_Sigmoid&Adrenal_Gland&Brain_Nucleus_accumbens_basal_ganglia
rs10948363-<b>?</b>,5e-09,alzheimer disease,CD2AP,6:47520026,-1.0,Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Skin_Not_Sun_Exposed_Suprapubic&Brain_Cortex&Adipose_Subcutaneous&Cells_EBV-transformed_lymphocytes&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Thyroid&Artery_Aorta&Kidney_Cortex&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Nerve_Tibial&Pituitary&Pancreas&Brain_Cerebellum&Small_Intestine_Terminal_Ileum
rs2718058-<b>A</b>,5e-09,alzheimer disease,GPR141,7:37801932,0.6452050570459451,Colon_Transverse&Whole_Blood&Lung
rs2718058-<b>A</b>,5e-09,alzheimer disease,EPDR1,7:37801932,0.6452050570459451,Colon_Transverse&Whole_Blood&Lung
rs3818361-<b>A</b>,5e-09,alzheimer disease,CR1,1:207611623,0.20198008855994087,Brain_Cortex&Brain_Hippocampus&Brain_Caudate_basal_ganglia&Esophagus_Gastroesophageal_Junction&Brain_Putamen_basal_ganglia&Esophagus_Muscularis&Colon_Sigmoid&Adrenal_Gland&Brain_Nucleus_accumbens_basal_ganglia
rs9381563-<b>C</b>,5e-09,alzheimer disease,CD2AP-DT,6:47464901,0.3976708200993566,Brain_Spinal_cord_cervical_c-1&Colon_Transverse&Brain_Cerebellar_Hemisphere&Nerve_Tibial&Skin_Sun_Exposed_Lower_leg&Pituitary&Thyroid&Cells_Cultured_fibroblasts&Pancreas&Brain_Cerebellum&Muscle_Skeletal&Esophagus_Mucosa&Prostate
rs9381563-<b>C</b>,5e-09,alzheimer disease,B3GNTL1P2,6:47464901,0.3976708200993566,Brain_Spinal_cord_cervical_c-1&Colon_Transverse&Brain_Cerebellar_Hemisphere&Nerve_Tibial&Skin_Sun_Exposed_Lower_leg&Pituitary&Thyroid&Cells_Cultured_fibroblasts&Pancreas&Brain_Cerebellum&Muscle_Skeletal&Esophagus_Mucosa&Prostate
rs11257238-<b>T</b>,5e-09,alzheimer disease,ECHDC3,10:11675398,0.670691637916872,
rs11257238-<b>T</b>,5e-09,alzheimer disease,USP6NL-AS1,10:11675398,0.670691637916872,
rs920608-<b>C</b>,5e-09,alzheimer disease,SCARB2,4:76217307,0.029673590504451036,Thyroid
rs920608-<b>C</b>,5e-09,alzheimer disease,FAM47E,4:76217307,0.029673590504451036,Thyroid
rs7597763-<b>?</b>,5e-09,late-onset alzheimers disease,INPP5D,2:233173931,-1.0,
rs138190086-<b>A</b>,5e-09,late-onset alzheimers disease,PPIAP55,17:63460787,0.015457914240338802,
rs138190086-<b>A</b>,5e-09,late-onset alzheimers disease,CYB561,17:63460787,0.015457914240338802,
rs10498633-<b>G</b>,6.000000000000001e-09,alzheimer disease,SLC24A4,14:92460608,0.7940214402192267,
rs28834970-<b>?</b>,6.000000000000001e-09,alzheimer disease,PTK2B,8:27337604,-1.0,Whole_Blood&Lung
rs2732703-<b>T</b>,6.000000000000001e-09,alzheimer disease,ARL17B,17:46275856,0.8636898458642194,
rs111371860-<b>T</b>,6.000000000000001e-09,alzheimer disease,NECTIN2,19:44842530,0.05802626005929691,
rs111371860-<b>T</b>,6.000000000000001e-09,alzheimer disease,BCAM,19:44842530,0.05802626005929691,
rs1859788-<b>A</b>,6.000000000000001e-09,alzheimer disease,PILRA,7:100374211,0.3136458306549073,Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Brain_Substantia_nigra&Brain_Amygdala&Whole_Blood&Brain_Cerebellum&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Muscle_Skeletal&Spleen&Esophagus_Mucosa&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Brain_Hypothalamus
rs7342692-<b>T</b>,6.000000000000001e-09,alzheimer disease,PLCG2,16:81870119,0.13084795321637427,
rs593742-<b>A</b>,7.0000000000000015e-09,late-onset alzheimers disease,ADAM10,15:58753575,0.6961603613777527,
rs593742-<b>A</b>,7.0000000000000015e-09,late-onset alzheimers disease,SNORD3P1,15:58753575,0.6961603613777527,
rs11168036-<b>T</b>,7.0000000000000015e-09,alzheimer disease,HBEGF,5:140327854,0.5129188762270112,Artery_Tibial&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Adipose_Subcutaneous&Esophagus_Gastroesophageal_Junction&Esophagus_Muscularis&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Skin_Sun_Exposed_Lower_leg&Muscle_Skeletal&Esophagus_Mucosa&Heart_Atrial_Appendage&Testis&Heart_Left_Ventricle&Nerve_Tibial&Pancreas&Brain_Cerebellum
rs11168036-<b>T</b>,7.0000000000000015e-09,alzheimer disease,PFDN1,5:140327854,0.5129188762270112,Artery_Tibial&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Adipose_Subcutaneous&Esophagus_Gastroesophageal_Junction&Esophagus_Muscularis&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Skin_Sun_Exposed_Lower_leg&Muscle_Skeletal&Esophagus_Mucosa&Heart_Atrial_Appendage&Testis&Heart_Left_Ventricle&Nerve_Tibial&Pancreas&Brain_Cerebellum
rs640345-<b>T</b>,8e-09,alzheimer disease,KIR3DL2,19:54851404,0.4459945994599461,
rs17125944-<b>C</b>,8e-09,alzheimer disease,FERMT2,14:52933911,0.08903812824956672,
rs192775394-<b>C</b>,8e-09,alzheimer disease,MARK4,19:45168224,0.0021704605611434623,
rs192775394-<b>C</b>,8e-09,alzheimer disease,TRAPPC6A,19:45168224,0.0021704605611434623,
rs9349407-<b>C</b>,9.000000000000001e-09,alzheimer disease,CD2AP,6:47485642,0.2478030704076231,Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Skin_Not_Sun_Exposed_Suprapubic&Brain_Cortex&Adipose_Subcutaneous&Cells_EBV-transformed_lymphocytes&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Thyroid&Artery_Aorta&Kidney_Cortex&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Nerve_Tibial&Pituitary&Pancreas&Brain_Cerebellum&Small_Intestine_Terminal_Ileum
rs3740688-<b>?</b>,9.000000000000001e-09,late-onset alzheimers disease,SPI1,11:47358789,-1.0,
rs6738962-<b>?</b>,1e-08,alzheimer disease,CTNNA2,2:80054047,-1.0,
rs10409808-<b>G</b>,1e-08,alzheimer disease,APOC4,19:44943004,0.003581020590868397,
rs10409808-<b>G</b>,1e-08,alzheimer disease,APOC4-APOC2,19:44943004,0.003581020590868397,
rs10838725-<b>C</b>,1e-08,alzheimer disease,CELF1,11:47536319,0.25849655902593965,
rs3851179-<b>C</b>,1e-08,alzheimer disease,RNU6-560P,11:86157598,0.6389482980282841,
rs3851179-<b>C</b>,1e-08,alzheimer disease,LINC02695,11:86157598,0.6389482980282841,
rs11154851-<b>?</b>,1e-08,alzheimer disease,PDE7B,6:136046867,-1.0,
rs148763909-<b>?</b>,1e-08,alzheimer disease,SAP30L,5:154457546,-1.0,
rs4700060-<b>?</b>,1e-08,alzheimer disease,ANKRD55,5:56214829,-1.0,
rs2927439-<b>G</b>,1e-08,alzheimer disease,BCL3,19:44739483,0.3590473725084132,
rs2927439-<b>G</b>,1e-08,alzheimer disease,CEACAM16-AS1,19:44739483,0.3590473725084132,
rs4704171-<b>?</b>,1e-08,alzheimer disease,ANKRD31,5:75072429,-1.0,Skin_Not_Sun_Exposed_Suprapubic&Testis&Artery_Tibial&Brain_Cerebellar_Hemisphere&Skin_Sun_Exposed_Lower_leg&Thyroid&Cells_Cultured_fibroblasts&Brain_Cerebellum&Muscle_Skeletal&Esophagus_Mucosa
rs115186657-<b>?</b>,1e-08,late-onset alzheimers disease,FHL2,2:105618971,-1.0,
rs115186657-<b>?</b>,1e-08,late-onset alzheimers disease,NCK2,2:105618971,-1.0,
rs7225151-<b>?</b>,1e-08,alzheimer disease,SCIMP,17:5233752,-1.0,
rs7225151-<b>?</b>,1e-08,alzheimer disease,ZNF594-DT,17:5233752,-1.0,
rs9749589-<b>T</b>,2e-08,alzheimer disease,NFIC,19:3405594,0.9244530244530244,
rs17817600-<b>?</b>,2e-08,alzheimer disease,PICALM,11:85966428,-1.0,
rs2280575-<b>?</b>,2e-08,late-onset alzheimers disease,LRIG1,3:66492439,-1.0,
rs189753894-<b>?</b>,2e-08,late-onset alzheimers disease,CACNA1A,19:13513675,-1.0,
rs2452170-<b>?</b>,2e-08,late-onset alzheimers disease,MAMSTR,19:48710247,-1.0,
rs2452170-<b>?</b>,2e-08,late-onset alzheimers disease,FUT2,19:48710247,-1.0,
rs17393344-<b>?</b>,2e-08,alzheimer disease,MYO16,13:108821598,-1.0,
rs7657553-<b>A</b>,2e-08,alzheimer disease,LINC02360,4:11721611,0.2686606670195871,Heart_Left_Ventricle
rs115102486-<b>?</b>,2e-08,alzheimer disease,CLMN,14:95298227,-1.0,
rs12590654-<b>A</b>,2e-08,alzheimer disease,SLC24A4,14:92472511,0.20183336061548526,
rs7185636-<b>T</b>,2e-08,late-onset alzheimers disease,IQCK,16:19796841,0.8809477756286267,
rs11257242-<b>C</b>,2e-08,alzheimer disease,ECHDC3,10:11679120,0.506131669535284,
rs11257242-<b>C</b>,2e-08,alzheimer disease,USP6NL-AS1,10:11679120,0.506131669535284,
rs10098778-<b>?</b>,2e-08,alzheimer disease,NDUFAF6,8:94979792,-1.0,Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Breast_Mammary_Tissue&Whole_Blood&Brain_Cerebellum&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Muscle_Skeletal&Spleen&Esophagus_Mucosa&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Nerve_Tibial&Pancreas&Brain_Hypothalamus
rs1497525-<b>?</b>,2e-08,alzheimer disease,OR2B2,6:27915491,-1.0,
rs1497525-<b>?</b>,2e-08,alzheimer disease,OR2W6P,6:27915491,-1.0,
rs2830500-<b>C</b>,3.0000000000000004e-08,late-onset alzheimers disease,ADAMTS1,21:26784537,0.7584121543683879,
rs35349669-<b>T</b>,3.0000000000000004e-08,alzheimer disease,INPP5D,2:233159830,0.3828673835125448,Testis&Spleen&Whole_Blood
rs190982-<b>A</b>,3.0000000000000004e-08,alzheimer disease,MEF2C-AS1,5:88927603,0.6232906553483338,Muscle_Skeletal&Artery_Tibial&Artery_Aorta
rs7274581-<b>T</b>,3.0000000000000004e-08,alzheimer disease,CASS4,20:56443204,0.9055757965423632,
rs12358692-<b>T</b>,3.0000000000000004e-08,alzheimer disease,ECHDC3,10:11679103,0.6009741681260946,
rs12358692-<b>T</b>,3.0000000000000004e-08,alzheimer disease,USP6NL-AS1,10:11679103,0.6009741681260946,
rs34972666-<b>?</b>,3.0000000000000004e-08,alzheimer disease,TGM6,20:2404326,-1.0,
rs471470-<b>A</b>,3.0000000000000004e-08,alzheimer disease,RNU6-560P,11:86120499,0.5917181705809641,
rs471470-<b>A</b>,3.0000000000000004e-08,alzheimer disease,PICALM,11:86120499,0.5917181705809641,
rs7209200-<b>?</b>,3.0000000000000004e-08,late-onset alzheimers disease,ZFP3-DT,17:5066645,-1.0,
rs7209200-<b>?</b>,3.0000000000000004e-08,late-onset alzheimers disease,SLC52A1,17:5066645,-1.0,
rs35139934-<b>A</b>,3.0000000000000004e-08,alzheimer disease,PLEC,8:143921796,0.07963455866484426,Whole_Blood&Lung&Artery_Tibial&Stomach&Nerve_Tibial&Thyroid&Cells_Cultured_fibroblasts&Esophagus_Mucosa
rs9269853-<b>A</b>,3.0000000000000004e-08,alzheimer disease,HLA-DRB1,6:32582545,1.0,
rs62039712-<b>A</b>,4e-08,late-onset alzheimers disease,RNA5SP431,16:79321960,0.04637969353140718,
rs7902657-<b>?</b>,4e-08,late-onset alzheimers disease,LINC01553,10:59978394,-1.0,
rs7902657-<b>?</b>,4e-08,late-onset alzheimers disease,ANK3,10:59978394,-1.0,
rs8045064-<b>?</b>,4e-08,alzheimer disease,LINC01567,16:24664268,-1.0,
rs8045064-<b>?</b>,4e-08,alzheimer disease,TNRC6A,16:24664268,-1.0,
rs11771145-<b>A</b>,4e-08,alzheimer disease,EPHA1-AS1,7:143413669,0.3516049774580167,Whole_Blood&Adipose_Subcutaneous&Lung&Nerve_Tibial&Skin_Sun_Exposed_Lower_leg&Adipose_Visceral_Omentum&Spleen&Esophagus_Mucosa
rs113020870-<b>?</b>,4e-08,late-onset alzheimers disease,AGRN,1:1049997,-1.0,
rs569214-<b>?</b>,4e-08,alzheimer disease,CLU,8:27630273,-1.0,Nerve_Tibial&Thyroid&Whole_Blood&Testis
rs569214-<b>?</b>,4e-08,alzheimer disease,SCARA3,8:27630273,-1.0,Nerve_Tibial&Thyroid&Whole_Blood&Testis
rs3865444-<b>A</b>,4e-08,alzheimer disease,SIGLEC22P,19:51224706,0.3023239159236581,
rs3865444-<b>A</b>,4e-08,alzheimer disease,CD33,19:51224706,0.3023239159236581,
rs112404845-<b>A</b>,4e-08,late-onset alzheimers disease,ROBO2P1,7:51510325,1.0,
rs4676049-<b>A</b>,4e-08,alzheimer disease,EDAR,2:109018801,-1.0,
rs2632516-<b>G</b>,4e-08,alzheimer disease,TSPOAP1-AS1,17:58331728,0.6547216788191357,
rs449647-<b>T</b>,4e-08,alzheimer disease,APOE,19:44905307,0.2015331086223769,
rs449647-<b>T</b>,4e-08,alzheimer disease,TOMM40,19:44905307,0.2015331086223769,
rs61144803-<b>?</b>,5e-08,alzheimer disease,CRADD,12:93841389,-1.0,
rs1060743-<b>?</b>,5e-08,late-onset alzheimers disease,BIN1,2:127068957,-1.0,Thyroid&Whole_Blood&Artery_Aorta&Brain_Spinal_cord_cervical_c-1
rs75002042-<b>T</b>,5e-08,alzheimer disease,FBXL7,5:15669858,0.9886645612452064,
rs8093731-<b>T</b>,5e-08,alzheimer disease,DSG2,18:31508995,0.02810663971192116,
rs16961023-<b>C</b>,5e-08,late-onset alzheimers disease,SLC10A2,13:103011595,0.9953414505029116,
rs78986976-<b>G</b>,5e-08,alzheimer disease,NECTIN2,19:44826181,0.9524616199047116,
rs78986976-<b>G</b>,5e-08,alzheimer disease,BCAM,19:44826181,0.9524616199047116,
rs145848414-<b>A</b>,7e-08,alzheimer disease,HIGD1AP3,5:174587111,0.008321775312066574,
rs145848414-<b>A</b>,7e-08,alzheimer disease,SUMO2P6,5:174587111,0.008321775312066574,
rs1892676-<b>C</b>,7e-08,alzheimer disease,APP-DT,21:26221221,0.2952432599938023,
rs143258881-<b>?</b>,7e-08,alzheimer disease,GPC6,13:93293605,-1.0,
rs12091371-<b>?</b>,7e-08,alzheimer disease,FMN2,1:240441752,-1.0,
rs6448799-<b>T</b>,7e-08,alzheimer disease,UNKNOWN,4:11628425,0.30395158318451115,Heart_Left_Ventricle
rs7818382-<b>T</b>,8e-08,alzheimer disease,NDUFAF6,8:95041772,0.43379803524992777,Skin_Not_Sun_Exposed_Suprapubic&Ovary&Heart_Atrial_Appendage&Whole_Blood&Adipose_Subcutaneous&Lung&Testis&Heart_Left_Ventricle&Brain_Putamen_basal_ganglia&Spleen&Esophagus_Muscularis&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Skin_Sun_Exposed_Lower_leg&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Brain_Cerebellum&Muscle_Skeletal
rs4794202-<b>?</b>,8e-08,alzheimer disease,SP6,17:47853173,-1.0,
rs4735340-<b>T</b>,9e-08,late-onset alzheimers disease,NDUFAF6,8:94964023,0.5012705134992059,Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Breast_Mammary_Tissue&Whole_Blood&Brain_Cerebellum&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Muscle_Skeletal&Spleen&Esophagus_Mucosa&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Nerve_Tibial&Pancreas&Brain_Hypothalamus
rs7195572-<b>?</b>,9e-08,alzheimer disease,MTSS2,16:70667508,-1.0,
rs569584007-<b>?</b>,9e-08,alzheimer disease,HNRNPKP3,11:43145292,-1.0,
rs6014724-<b>G</b>,9e-08,alzheimer disease,CASS4,20:56423488,0.10372261641111,
rs17645935-<b>A</b>,9e-08,alzheimer disease,SPPL2A,15:50699812,0.8848114169215087,
rs17645935-<b>A</b>,9e-08,alzheimer disease,RN7SL354P,15:50699812,0.8848114169215087,
rs2732703-<b>?</b>,1e-07,alzheimer disease,ARL17B,17:46275856,-1.0,
rs639012-<b>G</b>,1e-07,alzheimer disease,PICALM,11:85970540,0.7077289571201694,
rs148619105-<b>?</b>,1e-07,late-onset alzheimers disease,TECTA,11:121146015,-1.0,
