variant_and_allele,p_value,trait,gene,location,af,tissues
rs55661361-<b>G</b>,4e-13,schizophrenia,NRGN,11:124744061,0.7045886730053741,
rs1518395-<b>A</b>,4e-13,schizophrenia,VRK2,2:57980939,0.3699078812691914,Brain_Cerebellum
rs9607782-<b>?</b>,4e-13,schizophrenia,EP300-AS1,22:41191552,-1.0,
rs35225048-<b>C</b>,4e-13,schizophrenia,UNKNOWN,15:61564064,0.4635256749602965,
rs9607782-<b>A</b>,4e-13,schizophrenia,EP300-AS1,22:41191552,0.2343005400826009,
rs6434928-<b>?</b>,4e-13,schizophrenia,RNU6-1029P,2:197439853,-1.0,Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Cells_Cultured_fibroblasts&Skin_Not_Sun_Exposed_Suprapubic&Adipose_Subcutaneous&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Whole_Blood&Skin_Sun_Exposed_Lower_leg&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Lung&Testis&Nerve_Tibial&Pancreas&Vagina&Brain_Cerebellum&Small_Intestine_Terminal_Ileum
rs6434928-<b>?</b>,4e-13,schizophrenia,SF3B1,2:197439853,-1.0,Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Cells_Cultured_fibroblasts&Skin_Not_Sun_Exposed_Suprapubic&Adipose_Subcutaneous&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Whole_Blood&Skin_Sun_Exposed_Lower_leg&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Lung&Testis&Nerve_Tibial&Pancreas&Vagina&Brain_Cerebellum&Small_Intestine_Terminal_Ileum
rs4391122-<b>A</b>,5e-13,schizophrenia,LINC02057,5:61302716,0.5047902029935297,Heart_Atrial_Appendage&Whole_Blood&Adipose_Subcutaneous&Testis&Cells_EBV-transformed_lymphocytes&Artery_Tibial&Stomach&Nerve_Tibial&Skin_Sun_Exposed_Lower_leg&Cells_Cultured_fibroblasts&Muscle_Skeletal&Esophagus_Mucosa
rs7893279-<b>?</b>,5e-13,schizophrenia,UNKNOWN,Mapping not available,-1.0,
rs28681284-<b>C</b>,6.000000000000001e-13,schizophrenia,CHRNA3,15:78616223,0.7916666666666666,
rs61041384-<b>C</b>,6.000000000000001e-13,schizophrenia,MPHOSPH9,12:123159496,0.03663313922710429,
rs748455-<b>?</b>,6.000000000000001e-13,schizophrenia,ZSCAN2,15:84606344,-1.0,
rs4702-<b>A</b>,6.000000000000001e-13,schizophrenia,FURIN,15:90883330,0.5620721222735233,
rs2859368-<b>?</b>,6.000000000000001e-13,schizophrenia,UNKNOWN,Mapping not available,-1.0,
rs11646127-<b>?</b>,6.000000000000001e-13,schizophrenia,TMEM219,16:29954956,-1.0,
rs6461049-<b>T</b>,6.000000000000001e-13,schizophrenia,MAD1L1,7:1977810,0.5615040970878425,Brain_Caudate_basal_ganglia&Artery_Tibial&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Brain_Cortex&Adipose_Subcutaneous&Esophagus_Gastroesophageal_Junction&Esophagus_Muscularis&Thyroid&Artery_Aorta&Whole_Blood&Muscle_Skeletal&Esophagus_Mucosa&Heart_Atrial_Appendage&Testis&Nerve_Tibial&Pituitary&Pancreas&Brain_Cerebellum&Small_Intestine_Terminal_Ileum
rs7652637-<b>T</b>,6.999999999999999e-13,schizophrenia,TRANK1,3:36830016,0.6357016769638129,Skin_Not_Sun_Exposed_Suprapubic&Whole_Blood&Brain_Cerebellum&Adipose_Subcutaneous&Testis&Artery_Tibial&Nerve_Tibial&Skin_Sun_Exposed_Lower_leg&Thyroid&Cells_Cultured_fibroblasts&Pancreas&Adipose_Visceral_Omentum&Breast_Mammary_Tissue&Artery_Aorta&Muscle_Skeletal&Esophagus_Mucosa
rs1892252-<b>C</b>,6.999999999999999e-13,schizophrenia,SLC17A4,6:25772411,0.7777130757014293,Artery_Coronary&Artery_Tibial&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Adipose_Subcutaneous&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Whole_Blood&Brain_Anterior_cingulate_cortex_BA24&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Nerve_Tibial&Pituitary&Pancreas&Brain_Cerebellum
rs4129585-<b>?</b>,6.999999999999999e-13,schizophrenia,UNKNOWN,Mapping not available,-1.0,
rs10750450-<b>?</b>,6.999999999999999e-13,schizophrenia,LINC02551,11:130849166,-1.0,
rs2710323-<b>?</b>,6.999999999999999e-13,schizophrenia,UNKNOWN,Mapping not available,-1.0,
rs72934570-<b>C</b>,6.999999999999999e-13,schizophrenia,LINC01416,18:55865958,0.9319216516675488,
rs72934570-<b>C</b>,6.999999999999999e-13,schizophrenia,LINC01415,18:55865958,0.9319216516675488,
rs214467-<b>A</b>,8e-13,schizophrenia,IMMP2L,7:111218212,0.6422965716646014,Artery_Tibial&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Adipose_Subcutaneous&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Adrenal_Gland&Breast_Mammary_Tissue&Whole_Blood&Skin_Sun_Exposed_Lower_leg&Muscle_Skeletal&Esophagus_Mucosa&Lung&Testis&Heart_Left_Ventricle&Nerve_Tibial
rs3814881-<b>G</b>,8e-13,schizophrenia,TAOK2,16:29989580,0.6196759368929738,
rs75059851-<b>A</b>,9.000000000000001e-13,schizophrenia,IGSF9B,11:133952674,0.8104028392330384,
rs13135092-<b>A</b>,9.000000000000001e-13,schizophrenia,SLC39A8,4:102276925,0.935627316040233,Artery_Aorta
rs6874127-<b>?</b>,9.000000000000001e-13,schizophrenia,HCN1,5:45305513,-1.0,Nerve_Tibial&Thyroid&Esophagus_Muscularis&Lung
rs62606711-<b>?</b>,1e-12,schizophrenia,PJA1,X:69157361,-1.0,
rs112537273-<b>T</b>,1e-12,schizophrenia,LETM2,8:38390788,0.8095540726617944,Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Adrenal_Gland&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Anterior_cingulate_cortex_BA24&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Brain_Cerebellum&Small_Intestine_Terminal_Ileum
rs9636107-<b>?</b>,1e-12,schizophrenia,UNKNOWN,Mapping not available,-1.0,
rs6932590-<b>T</b>,1e-12,schizophrenia,POM121L2,6:27281152,0.7551035666648722,
rs6932590-<b>T</b>,1e-12,schizophrenia,PRSS16,6:27281152,0.7551035666648722,
rs28681284-<b>T</b>,1e-12,schizophrenia,CHRNA3,15:78616223,0.2083333333333333,
rs3743078-<b>?</b>,1e-12,schizophrenia,CHRNA3,15:78602417,-1.0,
rs58120505-<b>T</b>,1e-12,schizophrenia,UNKNOWN,Mapping not available,0.610109383011451,
rs2970610-<b>T</b>,1e-12,schizophrenia,UNKNOWN,Mapping not available,0.3732455265083483,
rs11682175-<b>C</b>,1e-12,schizophrenia,ACTG1P22,2:57760458,0.44219026754917495,
rs2153960-<b>?</b>,1e-12,schizophrenia,FOXO3,6:108666981,-1.0,Adipose_Subcutaneous&Colon_Transverse&Esophagus_Muscularis&Artery_Tibial&Nerve_Tibial&Skin_Sun_Exposed_Lower_leg&Thyroid&Artery_Aorta&Muscle_Skeletal
rs10791097-<b>T</b>,1e-12,schizophrenia,UNKNOWN,Mapping not available,0.4259120126888722,
rs28735056-<b>?</b>,1e-12,schizophrenia,KCNG2,18:79862879,-1.0,
rs9890128-<b>?</b>,1e-12,schizophrenia,YWHAE,17:1370352,-1.0,
rs1518395-<b>G</b>,1e-12,schizophrenia,VRK2,2:57980939,0.6300921187308086,Brain_Cerebellum
rs217287-<b>?</b>,1e-12,schizophrenia,SNAP91,6:83697747,-1.0,Pituitary&Adrenal_Gland&Stomach&Cells_Cultured_fibroblasts
rs4632296-<b>?</b>,1e-12,schizophrenia,RBKS,2:27802117,-1.0,Skin_Not_Sun_Exposed_Suprapubic&Heart_Atrial_Appendage&Whole_Blood&Adipose_Subcutaneous&Nerve_Tibial&Skin_Sun_Exposed_Lower_leg&Thyroid&Cells_Cultured_fibroblasts&Muscle_Skeletal
rs4632296-<b>?</b>,1e-12,schizophrenia,MRPL33,2:27802117,-1.0,Skin_Not_Sun_Exposed_Suprapubic&Heart_Atrial_Appendage&Whole_Blood&Adipose_Subcutaneous&Nerve_Tibial&Skin_Sun_Exposed_Lower_leg&Thyroid&Cells_Cultured_fibroblasts&Muscle_Skeletal
rs2190864-<b>?</b>,1e-12,schizophrenia,RGS6,14:71949502,-1.0,
rs10791098-<b>T</b>,2e-12,schizophrenia,LINC02551,11:130848816,0.4492933730239009,
rs73219805-<b>A</b>,2e-12,schizophrenia,BNIP3L,8:26415252,0.1608940361510986,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Minor_Salivary_Gland&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Adipose_Subcutaneous&Cells_EBV-transformed_lymphocytes&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Uterus&Whole_Blood&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Nerve_Tibial&Pituitary&Pancreas&Vagina&Brain_Cerebellum&Small_Intestine_Terminal_Ileum
rs2514218-<b>?</b>,2e-12,schizophrenia,DRD2,11:113522272,-1.0,
rs12129573-<b>A</b>,2e-12,schizophrenia,RN7SKP19,1:73302683,0.3363155108523028,Testis
rs12129573-<b>A</b>,2e-12,schizophrenia,LINC01360,1:73302683,0.3363155108523028,Testis
rs5757730-<b>?</b>,2e-12,schizophrenia,CACNA1I,22:39571425,-1.0,
rs13218591-<b>?</b>,2e-12,schizophrenia,BTN3A2,6:26376604,-1.0,Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Whole_Blood&Brain_Cerebellum&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Muscle_Skeletal&Spleen&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Nerve_Tibial&Pituitary&Pancreas&Vagina&Brain_Hypothalamus
rs12826178-<b>G</b>,2e-12,schizophrenia,NXPH4,12:57228588,0.9384330333509794,
rs12826178-<b>G</b>,2e-12,schizophrenia,SHMT2,12:57228588,0.9384330333509794,
rs35346733-<b>?</b>,2e-12,schizophrenia,CNTN4,3:2479638,-1.0,Thyroid
rs72799198-<b>?</b>,2e-12,schizophrenia,LINC01470,5:152811145,-1.0,Nerve_Tibial&Thyroid&Stomach&Brain_Caudate_basal_ganglia
rs2057884-<b>T</b>,2e-12,schizophrenia,SRPK2,7:105289803,0.36019687885359525,Heart_Atrial_Appendage&Whole_Blood&Adipose_Subcutaneous&Lung&Testis&Nerve_Tibial&Skin_Sun_Exposed_Lower_leg&Colon_Sigmoid&Pancreas&Muscle_Skeletal
rs7926389-<b>?</b>,2e-12,schizophrenia,ARHGAP1,11:46690304,-1.0,
rs13107325-<b>T</b>,2e-12,schizophrenia,SLC39A8,4:102267552,0.07176104676104676,Artery_Aorta
rs13240464-<b>?</b>,2e-12,schizophrenia,IMMP2L,7:111258859,-1.0,Artery_Tibial&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Adipose_Subcutaneous&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Adrenal_Gland&Breast_Mammary_Tissue&Whole_Blood&Skin_Sun_Exposed_Lower_leg&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Lung&Testis&Heart_Left_Ventricle&Nerve_Tibial&Small_Intestine_Terminal_Ileum
rs301797-<b>?</b>,2e-12,schizophrenia,RERE-AS1,1:8427263,-1.0,Brain_Caudate_basal_ganglia&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Esophagus_Muscularis&Thyroid&Breast_Mammary_Tissue&Whole_Blood&Brain_Anterior_cingulate_cortex_BA24&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Lung&Heart_Left_Ventricle&Nerve_Tibial&Pancreas
rs301797-<b>?</b>,2e-12,schizophrenia,RERE,1:8427263,-1.0,Brain_Caudate_basal_ganglia&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Esophagus_Muscularis&Thyroid&Breast_Mammary_Tissue&Whole_Blood&Brain_Anterior_cingulate_cortex_BA24&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Lung&Heart_Left_Ventricle&Nerve_Tibial&Pancreas
rs2021722-<b>C</b>,2e-12,schizophrenia,TRIM26,6:30206354,0.7903530756716353,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Cells_EBV-transformed_lymphocytes&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Uterus&Brain_Amygdala&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Cerebellum&Brain_Anterior_cingulate_cortex_BA24&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Muscle_Skeletal&Spleen&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Brain_Hypothalamus&Small_Intestine_Terminal_Ileum
rs6704768-<b>G</b>,2e-12,schizophrenia,GIGYF2,2:232727791,0.4504954239467514,Skin_Not_Sun_Exposed_Suprapubic&Heart_Atrial_Appendage&Brain_Cortex&Adipose_Subcutaneous&Brain_Cerebellum&Brain_Hippocampus&Testis&Heart_Left_Ventricle&Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Frontal_Cortex_BA9&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Thyroid&Artery_Aorta&Brain_Nucleus_accumbens_basal_ganglia&Brain_Hypothalamus&Small_Intestine_Terminal_Ileum&Esophagus_Mucosa
rs4481150-<b>?</b>,2e-12,schizophrenia,ITIH3,3:52803777,-1.0,Artery_Coronary&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Brain_Cortex&Adipose_Subcutaneous&Cells_EBV-transformed_lymphocytes&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Whole_Blood&Brain_Cerebellum&Brain_Anterior_cingulate_cortex_BA24&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Muscle_Skeletal&Spleen&Esophagus_Mucosa&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Brain_Hypothalamus&Small_Intestine_Terminal_Ileum
rs11693094-<b>C</b>,2e-12,schizophrenia,ZNF804A,2:184736693,0.729631959735766,Thyroid
rs1198588-<b>T</b>,2e-12,schizophrenia,NFU1P2,1:98087276,0.7994472910143278,Skin_Not_Sun_Exposed_Suprapubic
rs1378559-<b>T</b>,2e-12,schizophrenia,CNKSR2,X:21362148,0.8667296786389413,
rs3802924-<b>?</b>,2e-12,schizophrenia,IGSF9B,11:133957838,-1.0,
rs3802924-<b>?</b>,2e-12,schizophrenia,LINC02730,11:133957838,-1.0,
rs17630293-<b>T</b>,2.9999999999999997e-12,schizophrenia,SPATS2L,2:200282053,0.9363200980119174,Testis&Adipose_Subcutaneous
rs79249301-<b>?</b>,2.9999999999999997e-12,schizophrenia,UNKNOWN,Mapping not available,-1.0,
rs17514846-<b>?</b>,2.9999999999999997e-12,schizophrenia,FURIN,15:90873320,-1.0,
rs17687067-<b>C</b>,2.9999999999999997e-12,schizophrenia,ZDHHC2,8:17178692,0.189255557470274,Whole_Blood&Adipose_Subcutaneous&Lung&Liver&Breast_Mammary_Tissue&Adipose_Visceral_Omentum&Muscle_Skeletal&Esophagus_Mucosa
rs1150754-<b>C</b>,2.9999999999999997e-12,schizophrenia,TNXB,6:32082981,0.8781870085781821,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Cells_EBV-transformed_lymphocytes&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Uterus&Brain_Substantia_nigra&Kidney_Cortex&Brain_Amygdala&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Cerebellum&Brain_Anterior_cingulate_cortex_BA24&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Muscle_Skeletal&Spleen&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Vagina&Brain_Hypothalamus&Small_Intestine_Terminal_Ileum
rs72934570-<b>?</b>,2.9999999999999997e-12,schizophrenia,LINC01416,18:55865958,-1.0,
rs72934570-<b>?</b>,2.9999999999999997e-12,schizophrenia,LINC01415,18:55865958,-1.0,
rs215011-<b>?</b>,2.9999999999999997e-12,schizophrenia,CMAHP,6:25384133,-1.0,Artery_Coronary&Artery_Tibial&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Adipose_Subcutaneous&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Whole_Blood&Skin_Sun_Exposed_Lower_leg&Muscle_Skeletal&Esophagus_Mucosa&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Nerve_Tibial&Pituitary&Pancreas&Vagina
rs215011-<b>?</b>,2.9999999999999997e-12,schizophrenia,CARMIL1,6:25384133,-1.0,Artery_Coronary&Artery_Tibial&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Adipose_Subcutaneous&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Whole_Blood&Skin_Sun_Exposed_Lower_leg&Muscle_Skeletal&Esophagus_Mucosa&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Nerve_Tibial&Pituitary&Pancreas&Vagina
rs8043009-<b>?</b>,2.9999999999999997e-12,schizophrenia,CHRNA3,15:78615812,-1.0,
rs34796896-<b>?</b>,2.9999999999999997e-12,schizophrenia,FXR1,3:180905467,-1.0,Testis&Adipose_Visceral_Omentum
rs6449529-<b>?</b>,2.9999999999999997e-12,schizophrenia,UNKNOWN,Mapping not available,-1.0,
rs28681284-<b>?</b>,2.9999999999999997e-12,schizophrenia,CHRNA3,15:78616223,-1.0,
rs61637848-<b>?</b>,2.9999999999999997e-12,schizophrenia,KLC1,14:103629694,-1.0,
rs3735025-<b>T</b>,4e-12,schizophrenia,DGKI,7:137390098,0.6638171312032631,Testis&Nerve_Tibial&Pituitary&Thyroid&Artery_Aorta&Esophagus_Mucosa
rs111312615-<b>T</b>,4e-12,schizophrenia,HLA-A,6:29955302,-1.0,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Minor_Salivary_Gland&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Cells_EBV-transformed_lymphocytes&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Uterus&Brain_Substantia_nigra&Brain_Amygdala&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Cerebellum&Brain_Anterior_cingulate_cortex_BA24&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Muscle_Skeletal&Spleen&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Vagina&Brain_Hypothalamus&Small_Intestine_Terminal_Ileum
rs111312615-<b>T</b>,4e-12,schizophrenia,HLA-W,6:29955302,-1.0,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Minor_Salivary_Gland&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Cells_EBV-transformed_lymphocytes&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Uterus&Brain_Substantia_nigra&Brain_Amygdala&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Cerebellum&Brain_Anterior_cingulate_cortex_BA24&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Muscle_Skeletal&Spleen&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Vagina&Brain_Hypothalamus&Small_Intestine_Terminal_Ileum
rs11682175-<b>T</b>,4e-12,schizophrenia,ACTG1P22,2:57760458,0.557809732450825,
rs114377514-<b>C</b>,4e-12,schizophrenia,HLA-DOB,6:32793729,-1.0,Brain_Caudate_basal_ganglia&Artery_Tibial&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Adipose_Subcutaneous&Cells_EBV-transformed_lymphocytes&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Whole_Blood&Skin_Sun_Exposed_Lower_leg&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Brain_Cerebellum
rs114377514-<b>C</b>,4e-12,schizophrenia,HLA-DQB2,6:32793729,-1.0,Brain_Caudate_basal_ganglia&Artery_Tibial&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Adipose_Subcutaneous&Cells_EBV-transformed_lymphocytes&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Whole_Blood&Skin_Sun_Exposed_Lower_leg&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Brain_Cerebellum
rs11682175-<b>?</b>,4e-12,schizophrenia,ACTG1P22,2:57760458,-1.0,
rs55661361-<b>?</b>,4e-12,schizophrenia,NRGN,11:124744061,-1.0,
rs36043959-<b>?</b>,4e-12,schizophrenia,SGCZ,8:110459785,-1.0,
rs9461856-<b>A</b>,4e-12,schizophrenia,SYNGAP1,6:33427422,0.4631548647092689,Artery_Coronary&Artery_Tibial&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Adipose_Subcutaneous&Esophagus_Muscularis&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Whole_Blood&Skin_Sun_Exposed_Lower_leg&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Lung&Testis&Heart_Left_Ventricle&Pancreas&Brain_Cerebellum
