variant_and_allele,p_value,trait,gene,location,af,tissues
rs13006863-<b>?</b>,3e-06,post-traumatic stress disorder,SLC4A5,2:74236439,-1.0,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Minor_Salivary_Gland&Skin_Not_Sun_Exposed_Suprapubic&Brain_Cortex&Adipose_Subcutaneous&Colon_Transverse&Esophagus_Muscularis&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Muscle_Skeletal&Heart_Atrial_Appendage&Lung&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pancreas&Brain_Cerebellum
rs2312236-<b>T</b>,3e-06,post-traumatic stress disorder,POGK,1:166824980,0.09402734004911156,Nerve_Tibial&Brain_Nucleus_accumbens_basal_ganglia
rs2312236-<b>T</b>,3e-06,post-traumatic stress disorder,CNN2P10,1:166824980,0.09402734004911156,Nerve_Tibial&Brain_Nucleus_accumbens_basal_ganglia
rs12120353-<b>A</b>,3e-06,anxiety disorder,LINC01646,1:4560936,0.21426799263960966,
rs2272651-<b>?</b>,3e-06,post-traumatic stress disorder,NDRG1,8:133258305,-1.0,
rs41280169-<b>T</b>,3e-06,panic disorder,PTBP3,9:112220657,0.048137147284819534,Esophagus_Mucosa
rs2554444-<b>T</b>,3e-06,panic disorder,SNHG14,15:25012438,0.13335097935415566,
rs13110899-<b>?</b>,3e-06,obsessive-compulsive disorder,GRID2,4:92380531,-1.0,
rs2616978-<b>T</b>,3e-06,post-traumatic stress disorder,CSMD1,8:4620822,0.6103643901374646,Thyroid
rs118110667-<b>?</b>,3e-06,obsessive-compulsive disorder,HCAR3,12:122703817,-1.0,
rs118110667-<b>?</b>,3e-06,obsessive-compulsive disorder,HCAR2,12:122703817,-1.0,
rs73001203-<b>?</b>,3e-06,obsessive-compulsive disorder,Y_RNA,18:78450570,-1.0,
rs9499708-<b>?</b>,3e-06,obsessive-compulsive disorder,R3HDM2P2,6:103997492,-1.0,
rs1541227-<b>G</b>,3e-06,post-traumatic stress disorder,LINC02520,6:37534090,0.1795696558262371,
rs571848662-<b>TATAC</b>,3e-06,post-traumatic stress disorder,ZNF813,19:53485588,-1.0,
rs11502414-<b>?</b>,3e-06,obsessive-compulsive disorder,SLCO1B3,12:20773248,-1.0,
rs11502414-<b>?</b>,3e-06,obsessive-compulsive disorder,SLCO1C1,12:20773248,-1.0,
rs1419748-<b>?</b>,3e-06,post-traumatic stress disorder,DOCK4,7:111734005,-1.0,Whole_Blood&Colon_Transverse&Artery_Tibial&Nerve_Tibial&Skin_Sun_Exposed_Lower_leg&Adrenal_Gland
rs2927709-<b>?</b>,3e-06,obsessive-compulsive disorder,CD320,19:8304859,-1.0,
rs7183340-<b>?</b>,3e-06,obsessive-compulsive disorder,TUBGCP5,15:22987562,-1.0,
rs3810265-<b>?</b>,4e-06,panic disorder,TSKS,19:49720009,-1.0,
rs3810265-<b>?</b>,4e-06,panic disorder,CPT1C,19:49720009,-1.0,
rs2115691-<b>?</b>,4e-06,anxiety disorder,HNRNPA1P55,4:73877974,-1.0,Heart_Left_Ventricle&Whole_Blood&Cells_Cultured_fibroblasts&Small_Intestine_Terminal_Ileum
rs2115691-<b>?</b>,4e-06,anxiety disorder,CXCL1,4:73877974,-1.0,Heart_Left_Ventricle&Whole_Blood&Cells_Cultured_fibroblasts&Small_Intestine_Terminal_Ileum
rs301806-<b>C</b>,4e-06,neurotic disorder,RERE,1:8422018,0.4467950810751986,Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Adipose_Subcutaneous&Brain_Hippocampus&Cells_EBV-transformed_lymphocytes&Stomach&Esophagus_Muscularis&Thyroid&Breast_Mammary_Tissue&Whole_Blood&Skin_Sun_Exposed_Lower_leg&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Prostate&Lung&Heart_Left_Ventricle&Nerve_Tibial&Pancreas&Small_Intestine_Terminal_Ileum
rs30266-<b>A</b>,4e-06,neurotic disorder,RNU6-334P,5:104636656,0.27509176717357103,Testis
rs30266-<b>A</b>,4e-06,neurotic disorder,LINC02163,5:104636656,0.27509176717357103,Testis
rs352766-<b>?</b>,4e-06,obsessive-compulsive disorder,PPM1AP1,8:15787050,-1.0,
rs352766-<b>?</b>,4e-06,obsessive-compulsive disorder,TUSC3,8:15787050,-1.0,
rs6791269-<b>?</b>,4e-06,post-traumatic stress disorder,IFT80,3:160236844,-1.0,Thyroid&Artery_Tibial&Artery_Aorta&Esophagus_Mucosa
rs6791269-<b>?</b>,4e-06,post-traumatic stress disorder,C3orf80,3:160236844,-1.0,Thyroid&Artery_Tibial&Artery_Aorta&Esophagus_Mucosa
rs77963519-<b>?</b>,4e-06,post-traumatic stress disorder,UNKNOWN,15:81901505,-1.0,
rs4491792-<b>?</b>,4e-06,post-traumatic stress disorder,OTOR,20:16760180,-1.0,
rs6450514-<b>?</b>,4e-06,obsessive-compulsive disorder,PDE4D,5:59254713,-1.0,
rs11768490-<b>?</b>,4e-06,obsessive-compulsive disorder,SEC61G,7:54719568,-1.0,Testis&Muscle_Skeletal&Thyroid&Brain_Nucleus_accumbens_basal_ganglia
rs11768490-<b>?</b>,4e-06,obsessive-compulsive disorder,RPL31P35,7:54719568,-1.0,Testis&Muscle_Skeletal&Thyroid&Brain_Nucleus_accumbens_basal_ganglia
rs2731006-<b>?</b>,4e-06,panic disorder,LINC02450,12:42767023,-1.0,
rs71534169-<b>?</b>,4e-06,post-traumatic stress disorder,DPP6,7:154801156,-1.0,
rs1017722-<b>?</b>,5e-06,obsessive-compulsive disorder,UNKNOWN,12:84644357,-1.0,
rs1260555-<b>?</b>,5e-06,obsessive-compulsive disorder,LSM14A,19:34149686,-1.0,
rs1260555-<b>?</b>,5e-06,obsessive-compulsive disorder,CHCHD2P3,19:34149686,-1.0,
rs9652236-<b>?</b>,5e-06,obsessive-compulsive disorder,UNKNOWN,13:72114636,-1.0,
rs2103868-<b>?</b>,5e-06,panic disorder,TNFRSF21,6:47262879,-1.0,
rs7207499-<b>?</b>,5e-06,post-traumatic stress disorder,PRKCA,17:66451047,-1.0,
rs6914428-<b>G</b>,5e-06,panic disorder,DHFRP5,6:62520835,0.8474191104858781,Thyroid
rs9297733-<b>G</b>,5e-06,post-traumatic stress disorder,LINC00861,8:126235667,0.4789780728223698,
rs5014463-<b>?</b>,5e-06,post-traumatic stress disorder,RBM17,10:6129672,-1.0,
rs5014463-<b>?</b>,5e-06,post-traumatic stress disorder,PFKFB3,10:6129672,-1.0,
rs2170820-<b>C</b>,5e-06,anxiety disorder,TMEM132D,12:129538158,0.3711484593837535,
rs17504106-<b>?</b>,5e-06,post-traumatic stress disorder,UNKNOWN,5:161042632,-1.0,
rs10768747-<b>?</b>,5e-06,post-traumatic stress disorder,LINC01499,11:41798900,-1.0,
rs2460905-<b>?</b>,5e-06,post-traumatic stress disorder,TRMT9B,8:12977091,-1.0,Lung&Testis&Heart_Left_Ventricle&Artery_Tibial&Skin_Sun_Exposed_Lower_leg&Thyroid&Brain_Cerebellum
rs1116255-<b>?</b>,5e-06,post-traumatic stress disorder,UNKNOWN,13:54914870,-1.0,
rs7076096-<b>?</b>,5e-06,post-traumatic stress disorder,GRID1,10:85848703,-1.0,
rs73419609-<b>?</b>,6e-06,post-traumatic stress disorder,UNC13C,15:54423444,-1.0,
rs3135296-<b>?</b>,6e-06,neurotic disorder,NOP56P1,6:28828079,-1.0,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Minor_Salivary_Gland&Skin_Not_Sun_Exposed_Suprapubic&Brain_Cortex&Adipose_Subcutaneous&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Anterior_cingulate_cortex_BA24&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Vagina&Brain_Cerebellum&Small_Intestine_Terminal_Ileum
rs3135296-<b>?</b>,6e-06,neurotic disorder,LINC01623,6:28828079,-1.0,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Minor_Salivary_Gland&Skin_Not_Sun_Exposed_Suprapubic&Brain_Cortex&Adipose_Subcutaneous&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Anterior_cingulate_cortex_BA24&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Vagina&Brain_Cerebellum&Small_Intestine_Terminal_Ileum
rs7141336-<b>C</b>,6e-06,anxiety disorder,LINC02321,14:90819884,-1.0,
rs7141336-<b>C</b>,6e-06,anxiety disorder,TTC7B,14:90819884,-1.0,
rs1840717-<b>?</b>,6e-06,obsessive-compulsive disorder,GRID2,4:93035284,-1.0,Testis
rs4430311-<b>?</b>,6e-06,post-traumatic stress disorder,LINC02774,1:243852691,-1.0,Cells_Cultured_fibroblasts
rs4430311-<b>?</b>,6e-06,post-traumatic stress disorder,AKT3,1:243852691,-1.0,Cells_Cultured_fibroblasts
rs4702982-<b>?</b>,6e-06,panic disorder,RN7SKP62,5:100655944,-1.0,Skin_Sun_Exposed_Lower_leg&Whole_Blood
rs4702982-<b>?</b>,6e-06,panic disorder,FAM174A,5:100655944,-1.0,Skin_Sun_Exposed_Lower_leg&Whole_Blood
rs2388436-<b>G</b>,6e-06,obsessive-compulsive disorder,LINC01581,15:94146424,0.4586774039445847,
rs2388436-<b>G</b>,6e-06,obsessive-compulsive disorder,H3P40,15:94146424,0.4586774039445847,
rs10762651-<b>?</b>,6e-06,anxiety disorder,DUSP29,10:75062359,-1.0,
rs2437772-<b>?</b>,6e-06,post-traumatic stress disorder,SDC2,8:96500749,-1.0,Artery_Aorta
rs16989303-<b>?</b>,6e-06,panic disorder,LINC01433,20:4188432,-1.0,
rs16989303-<b>?</b>,6e-06,panic disorder,SMOX,20:4188432,-1.0,
rs2705293-<b>?</b>,6e-06,neurotic disorder,UNKNOWN,8:137906702,-1.0,
rs4901869-<b>?</b>,6e-06,panic disorder,LINC01500,14:58867410,-1.0,
rs12703441-<b>C</b>,7.000000000000001e-06,anxiety disorder,MGAM2,7:142192907,-1.0,Whole_Blood
rs17105932-<b>?</b>,7.000000000000001e-06,anxiety disorder,GUCY1A2,11:106672739,-1.0,
rs1551277-<b>A</b>,7.000000000000001e-06,anxiety disorder,PKD1L1,7:47789719,-1.0,
rs1425392-<b>?</b>,7.000000000000001e-06,post-traumatic stress disorder,MTCO3P27,4:64526494,-1.0,
rs1425392-<b>?</b>,7.000000000000001e-06,post-traumatic stress disorder,DPP3P1,4:64526494,-1.0,
rs7299940-<b>?</b>,7.000000000000001e-06,panic disorder,Y_RNA,12:130906209,-1.0,
rs7299940-<b>?</b>,7.000000000000001e-06,panic disorder,RAN,12:130906209,-1.0,
rs4663116-<b>?</b>,7.000000000000001e-06,post-traumatic stress disorder,RPS20P12,2:234236143,-1.0,
rs834811-<b>?</b>,7.000000000000001e-06,post-traumatic stress disorder,Y_RNA,7:136199823,-1.0,
rs2349775-<b>?</b>,7.000000000000001e-06,neurotic disorder,NXPH1,7:8678450,-1.0,
rs9725031-<b>?</b>,8e-06,post-traumatic stress disorder,RN7SL299P,1:232308709,-1.0,
rs9725031-<b>?</b>,8e-06,post-traumatic stress disorder,SIPA1L2,1:232308709,-1.0,
rs6799682-<b>A</b>,8e-06,anxiety disorder,LINC00578,3:177458728,0.228727621483376,
rs1915919-<b>?</b>,8e-06,post-traumatic stress disorder,KAT2B,3:20042389,-1.0,Skin_Not_Sun_Exposed_Suprapubic&Testis&Lung
rs16907840-<b>?</b>,8e-06,post-traumatic stress disorder,UNKNOWN,10:55789536,-1.0,
rs4806846-<b>A</b>,8e-06,neurotic disorder,TMPRSS9,19:2410486,0.13425437671377347,
rs4543289-<b>?</b>,9e-06,neurotic disorder,UNKNOWN,5:165057942,-1.0,
rs17548918-<b>C</b>,9e-06,anxiety disorder,VENTXP7,3:21338599,0.0833258020786263,
rs241257-<b>A</b>,9e-06,anxiety disorder,LINC01646,1:4554762,-1.0,
rs61793204-<b>?</b>,9e-06,post-traumatic stress disorder,LINC02497,4:31288660,-1.0,
rs4736192-<b>A</b>,9e-06,anxiety disorder,COL22A1,8:138967582,0.8928043039677203,
rs2823455-<b>?</b>,9e-06,panic disorder,USP25,21:15696847,-1.0,
rs2823455-<b>?</b>,9e-06,panic disorder,RAD23BP3,21:15696847,-1.0,
