,variant_and_allele,p_value,trait,gene,location
640,rs3814883-<b>T</b>,7e-12,schizophrenia,TAOK2,16:29983601
67,rs61882743-<b>G</b>,7e-12,schizophrenia,AMBRA1,11:46527204
1883,rs1635-<b>?</b>,7e-12,schizophrenia,NKAPL,6:28259826
2144,rs2905432-<b>?</b>,7e-12,schizophrenia,MAU2,19:19373486
2144,rs2905432-<b>?</b>,7e-12,schizophrenia,GATAD2A,19:19373486
2121,rs11783093-<b>?</b>,8e-12,schizophrenia,GULOP,8:27567832
691,rs4380187-<b>A</b>,8e-12,schizophrenia,UNKNOWN,Mapping not available
692,rs4685-<b>T</b>,8e-12,schizophrenia,SF3B1,2:197393071
2052,rs169738-<b>?</b>,8e-12,schizophrenia,GGNBP1,6:33569769
2147,rs111294930-<b>?</b>,9e-12,schizophrenia,LINC01470,5:152797561
427,rs2057884-<b>?</b>,1e-11,schizophrenia,SRPK2,7:105289803
992,rs6434928-<b>G</b>,1e-11,schizophrenia,RNU6-1029P,2:197439853
992,rs6434928-<b>G</b>,1e-11,schizophrenia,SF3B1,2:197439853
557,rs6633421-<b>?</b>,1e-11,schizophrenia,CNKSR2,X:21551802
1074,rs6065094-<b>G</b>,1e-11,schizophrenia,UNKNOWN,Mapping not available
654,rs2514218-<b>T</b>,1e-11,schizophrenia,DRD2,11:113522272
1884,rs11038167-<b>?</b>,1e-11,schizophrenia,TSPAN18,11:44821583
1259,rs17194490-<b>T</b>,1e-11,schizophrenia,CNTN4,3:2506102
2123,rs62334820-<b>?</b>,1e-11,schizophrenia,GPM6A,4:175934070
2150,rs2970610-<b>?</b>,1e-11,schizophrenia,UNKNOWN,Mapping not available
2149,rs56807175-<b>?</b>,1e-11,schizophrenia,UNKNOWN,2:145678655
2211,rs3617-<b>?</b>,1e-11,schizophrenia,ITIH3,3:52799789
2084,rs760648-<b>?</b>,1e-11,schizophrenia,TCF20,22:42175022
424,rs13230421-<b>?</b>,2e-11,schizophrenia,GRM3,7:86790810
424,rs13230421-<b>?</b>,2e-11,schizophrenia,GRM3-AS1,7:86790810
2025,rs17194490-<b>?</b>,2e-11,schizophrenia,CNTN4,3:2506102
277,rs2565164-<b>?</b>,2e-11,schizophrenia,COQ10B,2:197472796
275,rs7427564-<b>?</b>,2e-11,schizophrenia,STAG1,3:136555593
1909,rs1625579-<b>T</b>,2e-11,schizophrenia,MIR137HG,1:98037378
747,rs7597593-<b>T</b>,2e-11,schizophrenia,ZNF804A,2:184668853
2359,rs57016637-<b>G</b>,2e-11,schizophrenia,PES1,22:30596938
706,rs9398171-<b>C</b>,2e-11,schizophrenia,FOXO3,6:108662324
2087,rs10946817-<b>?</b>,2e-11,schizophrenia,BTN3A2,6:26363828
2087,rs10946817-<b>?</b>,2e-11,schizophrenia,H3C9P,6:26363828
1658,rs3788567-<b>T</b>,2e-11,schizophrenia,CACNA1I,22:39610030
2539,rs4685-<b>?</b>,2e-11,schizophrenia,SF3B1,2:197393071
280,rs926231-<b>?</b>,2e-11,schizophrenia,CACNA1I,22:39610981
1951,rs72936314-<b>?</b>,2e-11,schizophrenia,LINC01416,18:55913446
2152,rs35774874-<b>?</b>,2e-11,schizophrenia,SNX19,11:130941461
2152,rs35774874-<b>?</b>,2e-11,schizophrenia,RN7SL167P,11:130941461
2151,rs16867576-<b>?</b>,2e-11,schizophrenia,MEF2C-AS1,5:89450514
1774,rs2535627-<b>T</b>,2e-11,schizophrenia,ITIH3,3:52811089
1774,rs2535627-<b>T</b>,2e-11,schizophrenia,ITIH4,3:52811089
105,rs302321-<b>C</b>,2e-11,schizophrenia,TMTC1,12:29775455
2544,rs66610175-<b>?</b>,2e-11,schizophrenia,UNKNOWN,Mapping not available
824,rs7907645-<b>T</b>,2e-11,schizophrenia,TRIM8,10:102664043
824,rs7907645-<b>T</b>,2e-11,schizophrenia,ARL3,10:102664043
1816,rs17693963-<b>?</b>,3e-11,schizophrenia,GPR89P,6:27742386
1816,rs17693963-<b>?</b>,3e-11,schizophrenia,RSL24D1P1,6:27742386
825,rs5995756-<b>T</b>,3e-11,schizophrenia,UNKNOWN,Mapping not available
543,rs1792709-<b>?</b>,3e-11,schizophrenia,LINC01905,18:56101744
543,rs1792709-<b>?</b>,3e-11,schizophrenia,LINC01539,18:56101744
2128,rs1473594-<b>?</b>,3e-11,schizophrenia,UNKNOWN,8:59783967
1040,rs2514218-<b>C</b>,3e-11,schizophrenia,DRD2,11:113522272
1999,rs210155-<b>?</b>,3e-11,schizophrenia,GGNBP1,6:33549254
1032,rs36068923-<b>G</b>,3e-11,schizophrenia,SINHCAFP3,8:110473532
508,rs3732386-<b>?</b>,3e-11,schizophrenia,TRANK1,3:36830502
503,rs11685299-<b>?</b>,3e-11,schizophrenia,CUL3,2:224526579
18,rs3732386-<b>T</b>,3e-11,schizophrenia,TRANK1,3:36830502
281,rs11693094-<b>?</b>,3e-11,schizophrenia,ZNF804A,2:184736693
1247,rs13096210-<b>C</b>,4e-11,schizophrenia,FXR1,3:180881530
696,rs17194476-<b>T</b>,4e-11,schizophrenia,CNTN4,3:2496232
2467,rs592927-<b>A</b>,4e-11,schizophrenia,RALGPS1,9:126910947
2467,rs592927-<b>A</b>,4e-11,schizophrenia,ZBTB34,9:126910947
88,rs9292918-<b>G</b>,4e-11,schizophrenia,HCN1,5:45300933
476,rs55642704-<b>?</b>,4e-11,schizophrenia,SLC66A2,18:79928124
511,rs374528934-<b>?</b>,4e-11,schizophrenia,HYAL2,3:50312945
511,rs374528934-<b>?</b>,4e-11,schizophrenia,HYAL1,3:50312945
727,rs6670165-<b>T</b>,4e-11,schizophrenia,BRINP2,1:177310985
727,rs6670165-<b>T</b>,4e-11,schizophrenia,LINC01645,1:177310985
2155,rs7508148-<b>?</b>,4e-11,schizophrenia,SCAF1,19:49648885
1515,rs7951870-<b>C</b>,4e-11,schizophrenia,UNKNOWN,Mapping not available
1455,rs62402013-<b>G</b>,4e-11,schizophrenia,GUSBP2,6:26947221
2070,rs8055219-<b>?</b>,4.9999999999999995e-11,schizophrenia,MIR4719,16:13659527
2520,rs4309187-<b>?</b>,4.9999999999999995e-11,schizophrenia,TMPRSS5,11:113541721
2520,rs4309187-<b>?</b>,4.9999999999999995e-11,schizophrenia,DRD2,11:113541721
84,rs172531-<b>G</b>,4.9999999999999995e-11,schizophrenia,RERE,1:8435530
2531,rs2319280-<b>?</b>,4.9999999999999995e-11,schizophrenia,UNKNOWN,Mapping not available
282,rs66486766-<b>?</b>,4.9999999999999995e-11,schizophrenia,EFL1P1,15:84137308
282,rs66486766-<b>?</b>,4.9999999999999995e-11,schizophrenia,DNM1P41,15:84137308
2130,rs12705761-<b>?</b>,4.9999999999999995e-11,schizophrenia,IMMP2L,7:111336208
639,rs7499750-<b>A</b>,4.9999999999999995e-11,schizophrenia,UNKNOWN,16:13655408
2488,rs8039305-<b>?</b>,4.9999999999999995e-11,schizophrenia,FURIN,15:90879313
24,rs35607894-<b>A</b>,4.9999999999999995e-11,schizophrenia,RGS6,14:71941921
1064,rs12691307-<b>A</b>,4.9999999999999995e-11,schizophrenia,TMEM219,16:29928556
1064,rs12691307-<b>A</b>,4.9999999999999995e-11,schizophrenia,KCTD13,16:29928556
395,rs6995307-<b>?</b>,4.9999999999999995e-11,schizophrenia,UNKNOWN,8:110494336
593,rs4949526-<b>T</b>,6e-11,schizophrenia,LINC01648,1:29959372
1588,rs11874716-<b>T</b>,6e-11,schizophrenia,LINC01929,18:55083457
487,rs57346805-<b>?</b>,6e-11,schizophrenia,NEK1,4:169382833
2549,rs13135092-<b>?</b>,6e-11,schizophrenia,SLC39A8,4:102276925
2157,rs16902086-<b>?</b>,6e-11,schizophrenia,HCN1,5:45285650
435,rs12031518-<b>?</b>,6e-11,schizophrenia,PTBP2,1:96708350
435,rs12031518-<b>?</b>,6e-11,schizophrenia,RN7SKP270,1:96708350
1966,rs281768-<b>?</b>,6e-11,schizophrenia,MAIP1,2:199960517
674,rs9922678-<b>A</b>,6e-11,schizophrenia,GRIN2A,16:9852462
930,rs2103655-<b>A</b>,6e-11,schizophrenia,PPP1R16B,20:38797315
930,rs2103655-<b>A</b>,6e-11,schizophrenia,ACTR5,20:38797315
1936,rs12826178-<b>?</b>,6e-11,schizophrenia,NXPH4,12:57228588
1936,rs12826178-<b>?</b>,6e-11,schizophrenia,SHMT2,12:57228588
826,rs17514846-<b>C</b>,6e-11,schizophrenia,FURIN,15:90873320
679,rs10890030-<b>T</b>,6e-11,schizophrenia,RN7SKP19,1:73290100
679,rs10890030-<b>T</b>,6e-11,schizophrenia,LINC01360,1:73290100
2529,rs10890032-<b>?</b>,6e-11,schizophrenia,LINC01360,1:73323641
53,rs7438-<b>A</b>,6.999999999999999e-11,schizophrenia,CLCN3,4:169721095
2159,rs3735025-<b>?</b>,6.999999999999999e-11,schizophrenia,DGKI,7:137390098
75,rs11708578-<b>G</b>,6.999999999999999e-11,schizophrenia,CNTN4,3:2474210
2078,rs4812322-<b>?</b>,6.999999999999999e-11,schizophrenia,PPP1R16B,20:38854787
2559,rs6922815-<b>?</b>,6.999999999999999e-11,schizophrenia,UNKNOWN,Mapping not available
1102,rs7432375-<b>G</b>,6.999999999999999e-11,schizophrenia,STAG1,3:136569563
1753,rs10890032-<b>T</b>,6.999999999999999e-11,schizophrenia,LINC01360,1:73323641
284,rs17691888-<b>?</b>,6.999999999999999e-11,schizophrenia,CACNB2,10:18445599
2498,rs5995756-<b>?</b>,6.999999999999999e-11,schizophrenia,UNKNOWN,Mapping not available
1579,rs12704290-<b>G</b>,6.999999999999999e-11,schizophrenia,GRM3-AS1,7:86798310
1579,rs12704290-<b>G</b>,6.999999999999999e-11,schizophrenia,GRM3,7:86798310
2132,rs7789569-<b>?</b>,6.999999999999999e-11,schizophrenia,UNKNOWN,Mapping not available
1684,rs4642619-<b>A</b>,8e-11,schizophrenia,UNKNOWN,8:110475239
489,rs8188203-<b>?</b>,8e-11,schizophrenia,UNKNOWN,5:50161448
627,rs12704290-<b>A</b>,8e-11,schizophrenia,GRM3-AS1,7:86798310
627,rs12704290-<b>A</b>,8e-11,schizophrenia,GRM3,7:86798310
1649,rs35998080-<b>T</b>,8e-11,schizophrenia,LINC02797,1:72812932
286,rs2535627-<b>?</b>,8e-11,schizophrenia,ITIH3,3:52811089
286,rs2535627-<b>?</b>,8e-11,schizophrenia,ITIH4,3:52811089
2134,rs1319017-<b>?</b>,8e-11,schizophrenia,DDX10P2,9:82121388
285,rs4642619-<b>?</b>,8e-11,schizophrenia,UNKNOWN,8:110475239
2543,rs73102769-<b>?</b>,9e-11,schizophrenia,UNKNOWN,Mapping not available
2076,rs144158419-<b>?</b>,9e-11,schizophrenia,LINC01416,18:55887502
655,rs55661361-<b>A</b>,9e-11,schizophrenia,NRGN,11:124744061
900,rs2163548-<b>G</b>,9e-11,schizophrenia,SPATS2L,2:200362139
924,rs17598729-<b>C</b>,9e-11,schizophrenia,TCF4,18:55584331
493,rs7733403-<b>?</b>,9e-11,schizophrenia,PCDHA1,5:140774630
493,rs7733403-<b>?</b>,9e-11,schizophrenia,VTRNA1-3,5:140774630
444,rs13376709-<b>?</b>,9e-11,schizophrenia,AKT3,1:243527189
827,rs12902973-<b>G</b>,9e-11,schizophrenia,UBE2Q2P1,15:84562751
1127,rs1051061-<b>?</b>,1e-10,schizophrenia,VRK2,2:58089679
376,rs41356645-<b>?</b>,1e-10,schizophrenia,GRIN2A,16:9852062
828,rs28758902-<b>T</b>,1e-10,schizophrenia,LINC01415,18:55740956
828,rs28758902-<b>T</b>,1e-10,schizophrenia,TCF4,18:55740956
641,rs4801131-<b>T</b>,1e-10,schizophrenia,LINC01929,18:55085469
542,rs11663602-<b>?</b>,1e-10,schizophrenia,KCNG2,18:79818191
542,rs11663602-<b>?</b>,1e-10,schizophrenia,CTDP1,18:79818191
2398,rs143363269-<b>T</b>,1e-10,schizophrenia,MOG,6:29660317
657,rs4936216-<b>T</b>,1e-10,schizophrenia,IGSF9B,11:133983113
657,rs4936216-<b>T</b>,1e-10,schizophrenia,LINC02730,11:133983113
798,rs2767713-<b>C</b>,1e-10,schizophrenia,DDX10P2,9:82184622
377,rs7499362-<b>?</b>,1e-10,schizophrenia,UNKNOWN,16:13655059
832,rs3617-<b>C</b>,1e-10,schizophrenia,ITIH3,3:52799789
2162,rs704373-<b>?</b>,1e-10,schizophrenia,ATXN7,3:63881679
831,rs760648-<b>A</b>,1e-10,schizophrenia,TCF20,22:42175022
1848,rs16887244-<b>?</b>,1e-10,schizophrenia,LSM1,8:38173827
1859,rs17691888-<b>G</b>,1e-10,schizophrenia,CACNB2,10:18445599
2505,rs12532143-<b>?</b>,1e-10,schizophrenia,UNKNOWN,Mapping not available
2522,rs10791097-<b>?</b>,1e-10,schizophrenia,UNKNOWN,Mapping not available
1092,rs111294930-<b>A</b>,1e-10,schizophrenia,LINC01470,5:152797561
2010,rs140505938-<b>?</b>,1e-10,schizophrenia,OTUD7B,1:150059494
2010,rs140505938-<b>?</b>,1e-10,schizophrenia,VPS45,1:150059494
766,rs77502336-<b>C</b>,1e-10,schizophrenia,GRAMD1B,11:123523928
1473,rs7405404-<b>T</b>,1e-10,schizophrenia,UNKNOWN,Mapping not available
288,rs3798869-<b>?</b>,1e-10,schizophrenia,SNAP91,6:83618941
531,rs58146172-<b>?</b>,1e-10,schizophrenia,SMG6,17:2210774
1996,rs145501595-<b>?</b>,1e-10,schizophrenia,OR11A1,6:29445191
793,rs16880831-<b>G</b>,2e-10,schizophrenia,STAU2,8:110549276
90,rs5757730-<b>G</b>,2e-10,schizophrenia,CACNA1I,22:39571425
703,rs6449528-<b>A</b>,2e-10,schizophrenia,ZSWIM6,5:61346520
1836,rs3131296-<b>G</b>,2e-10,schizophrenia,NOTCH4,6:32205216
74,rs999494-<b>C</b>,2e-10,schizophrenia,EMX1,2:72930266
601,rs13164092-<b>G</b>,2e-10,schizophrenia,ETF1,5:138505171
601,rs13164092-<b>G</b>,2e-10,schizophrenia,RPL7P19,5:138505171
775,rs35978510-<b>C</b>,2e-10,schizophrenia,AKT3,1:243612815
1693,rs4766428-<b>T</b>,2e-10,schizophrenia,ATP2A2,12:110285440
86,rs3825845-<b>C</b>,2e-10,schizophrenia,CHRNA3,15:78617916
1943,rs4906364-<b>?</b>,2e-10,schizophrenia,PPP1R13B,14:103748005
2001,rs111611027-<b>?</b>,2e-10,schizophrenia,MAD1L1,7:2105994
466,rs4479913-<b>?</b>,2e-10,schizophrenia,UNKNOWN,6:164654177
462,rs4856763-<b>?</b>,2e-10,schizophrenia,UNKNOWN,3:162113887
350,rs10861879-<b>?</b>,2e-10,schizophrenia,WSCD2,12:108215857
2085,rs80256351-<b>?</b>,2e-10,schizophrenia,ACTG1P22,2:57844458
2085,rs80256351-<b>?</b>,2e-10,schizophrenia,VRK2,2:57844458
434,rs2801578-<b>?</b>,2e-10,schizophrenia,PDE4B,1:65866972
1080,rs5937157-<b>G</b>,2e-10,schizophrenia,PJA1,X:69157283
2163,rs2332700-<b>?</b>,2e-10,schizophrenia,RGS6,14:71950609
2164,rs14403-<b>?</b>,2e-10,schizophrenia,AKT3,1:243500591
2165,rs12009217-<b>?</b>,2e-10,schizophrenia,NLGN4X,X:6002841
2166,rs42945-<b>?</b>,2e-10,schizophrenia,NDRG4,16:58511522
2213,rs2053079-<b>?</b>,2e-10,schizophrenia,ZNF536,19:30496516
2491,rs4788196-<b>?</b>,2e-10,schizophrenia,UNKNOWN,Mapping not available
904,rs35324223-<b>G</b>,2e-10,schizophrenia,MDK,11:46381302
1981,rs6868457-<b>?</b>,2e-10,schizophrenia,LINC02057,5:61254214
903,rs7427564-<b>G</b>,2e-10,schizophrenia,STAG1,3:136555593
528,rs2333321-<b>?</b>,2e-10,schizophrenia,GPM6A,4:175938841
833,rs2414718-<b>A</b>,2e-10,schizophrenia,UNKNOWN,15:61570934
527,rs13142920-<b>?</b>,2e-10,schizophrenia,GPM6A,4:175807463
834,rs28437878-<b>C</b>,2e-10,schizophrenia,HYKK,15:78515530
450,rs999494-<b>?</b>,3e-10,schizophrenia,EMX1,2:72930266
290,rs59979824-<b>?</b>,3e-10,schizophrenia,UNKNOWN,2:192983614
837,rs4271249-<b>T</b>,3e-10,schizophrenia,DPYD,1:97933063
2489,rs7191999-<b>?</b>,3e-10,schizophrenia,UNKNOWN,Mapping not available
1057,rs12903146-<b>A</b>,3e-10,schizophrenia,UNKNOWN,15:61562464
442,rs11587347-<b>?</b>,3e-10,schizophrenia,UNKNOWN,1:239035659
415,rs160593-<b>?</b>,3e-10,schizophrenia,LIN28B,6:105018457
1788,rs1261117-<b>T</b>,3e-10,schizophrenia,TCF4,18:55282426
1067,rs4523957-<b>T</b>,3e-10,schizophrenia,SRR,17:2305605
1084,rs11210892-<b>A</b>,3e-10,schizophrenia,PTPRF,1:43634413
1084,rs11210892-<b>A</b>,3e-10,schizophrenia,KDM4A,1:43634413
1947,rs7185124-<b>?</b>,3e-10,schizophrenia,UNKNOWN,16:13656837
175,rs78681500-<b>T</b>,3e-10,schizophrenia,SPATS2L,2:200322593
486,rs7676765-<b>?</b>,3e-10,schizophrenia,SLC9B1,4:103016776
2534,rs12474906-<b>?</b>,3e-10,schizophrenia,UNKNOWN,Mapping not available
751,rs895526-<b>C</b>,3e-10,schizophrenia,SATB2,2:199297702
559,rs7067170-<b>?</b>,3e-10,schizophrenia,PJA1,X:69162993
629,rs10260040-<b>A</b>,3e-10,schizophrenia,IMMP2L,7:111281263
2406,rs3145-<b>A</b>,4e-10,schizophrenia,SLTM,15:58919912
2406,rs3145-<b>A</b>,4e-10,schizophrenia,RNF111,15:58919912
2168,rs1191551-<b>?</b>,4e-10,schizophrenia,RNU11-5P,14:29531199
2168,rs1191551-<b>?</b>,4e-10,schizophrenia,PRKD1,14:29531199
2169,rs7499750-<b>?</b>,4e-10,schizophrenia,UNKNOWN,16:13655408
1945,rs12902973-<b>?</b>,4e-10,schizophrenia,UBE2Q2P1,15:84562751
1931,rs75059851-<b>?</b>,4e-10,schizophrenia,IGSF9B,11:133952674
681,rs2319280-<b>A</b>,4e-10,schizophrenia,UNKNOWN,Mapping not available
838,rs6918354-<b>T</b>,4e-10,schizophrenia,CARMIL1,6:25444386
838,rs6918354-<b>T</b>,4e-10,schizophrenia,CMAHP,6:25444386
1377,rs140505938-<b>C</b>,4e-10,schizophrenia,OTUD7B,1:150059494
1377,rs140505938-<b>C</b>,4e-10,schizophrenia,VPS45,1:150059494
1010,rs140505938-<b>T</b>,4e-10,schizophrenia,OTUD7B,1:150059494
1010,rs140505938-<b>T</b>,4e-10,schizophrenia,VPS45,1:150059494
1861,rs10789369-<b>A</b>,4e-10,schizophrenia,LINC01360,1:73359226
2061,rs12668724-<b>?</b>,4e-10,schizophrenia,IMMP2L,7:111494001
2034,rs62366215-<b>?</b>,4e-10,schizophrenia,LINC02057,5:61253693
907,rs66492629-<b>A</b>,4e-10,schizophrenia,CNTN4,3:2496596
1071,rs2905426-<b>G</b>,4e-10,schizophrenia,MAU2,19:19367213
1071,rs2905426-<b>G</b>,4e-10,schizophrenia,GATAD2A,19:19367213
2167,rs1339227-<b>?</b>,4e-10,schizophrenia,RIMS1,6:72445999
392,rs148415900-<b>?</b>,4e-10,schizophrenia,MIR124-2HG,8:64405112
453,rs2381760-<b>?</b>,4e-10,schizophrenia,UNKNOWN,2:145683104
560,rs10204933-<b>G</b>,4e-10,schizophrenia,SPHKAP,2:228206898
637,rs10883761-<b>A</b>,4e-10,schizophrenia,TRIM8,10:102660261
637,rs10883761-<b>A</b>,4e-10,schizophrenia,ARL3,10:102660261
644,rs6065094-<b>A</b>,4e-10,schizophrenia,UNKNOWN,Mapping not available
407,rs2927176-<b>?</b>,4e-10,schizophrenia,LINC01470,5:153222354
393,rs6994019-<b>?</b>,4e-10,schizophrenia,MMP16,8:88256314
291,rs12691307-<b>?</b>,4e-10,schizophrenia,TMEM219,16:29928556
291,rs12691307-<b>?</b>,4e-10,schizophrenia,KCTD13,16:29928556
114,rs28735056-<b>G</b>,5e-10,schizophrenia,KCNG2,18:79862879
363,rs2189806-<b>?</b>,5e-10,schizophrenia,PCNX1,14:70921681
1969,rs17620999-<b>?</b>,5e-10,schizophrenia,CNTN4,3:2519872
530,rs13355485-<b>?</b>,5e-10,schizophrenia,UNKNOWN,5:45904032
742,rs6430491-<b>G</b>,5e-10,schizophrenia,MGAT5,2:134083396
2490,rs7405404-<b>?</b>,5e-10,schizophrenia,UNKNOWN,Mapping not available
1239,rs12908161-<b>A</b>,5e-10,schizophrenia,SEC11A,15:84664594
1239,rs12908161-<b>A</b>,5e-10,schizophrenia,NMB,15:84664594
2170,rs7216638-<b>?</b>,5e-10,schizophrenia,SMG6,17:2253159
2478,rs11057189-<b>?</b>,5e-10,schizophrenia,UNKNOWN,Mapping not available
2098,rs73022874-<b>?</b>,5e-10,schizophrenia,LINC02551,11:130861542
414,rs117074560-<b>?</b>,5e-10,schizophrenia,FUT9,6:96011775
414,rs117074560-<b>?</b>,5e-10,schizophrenia,KRT18P50,6:96011775
1129,rs115070292-<b>?</b>,5e-10,schizophrenia,GABBR1,6:29563197
533,rs72639203-<b>?</b>,5e-10,schizophrenia,SNORD3A,17:19188139
332,rs12363019-<b>?</b>,5e-10,schizophrenia,LINC02686,11:24352999
481,rs9841616-<b>?</b>,5e-10,schizophrenia,SOX2-OT,3:181449797
375,rs13335685-<b>?</b>,6e-10,schizophrenia,CORO7-PAM16,16:4419283
375,rs13335685-<b>?</b>,6e-10,schizophrenia,CORO7,16:4419283
1431,rs6002655-<b>T</b>,6e-10,schizophrenia,TCF20,22:42207808
695,rs6704768-<b>A</b>,6e-10,schizophrenia,GIGYF2,2:232727791
460,rs76442143-<b>?</b>,6e-10,schizophrenia,DOCK3,3:51006168
452,rs6721549-<b>?</b>,6e-10,schizophrenia,MGAT5,2:134084736
2499,rs133047-<b>?</b>,6e-10,schizophrenia,UNKNOWN,Mapping not available
1133,rs6918586-<b>T</b>,6e-10,schizophrenia,HFE,6:26097156
382,rs6986895-<b>?</b>,6e-10,schizophrenia,CSMD1,8:4959350
1424,rs5757717-<b>C</b>,6e-10,schizophrenia,CACNA1I,22:39546229
1424,rs5757717-<b>C</b>,6e-10,schizophrenia,RPS19BP1,22:39546229
561,rs12928842-<b>C</b>,6e-10,schizophrenia,SLC38A8,16:84044382
561,rs12928842-<b>C</b>,6e-10,schizophrenia,MBTPS1,16:84044382
859,rs12148337-<b>T</b>,6e-10,schizophrenia,UNKNOWN,15:70296933
340,rs77502336-<b>?</b>,6e-10,schizophrenia,GRAMD1B,11:123523928
874,rs832190-<b>C</b>,6e-10,schizophrenia,THOC7,3:63856953
8,rs215411-<b>A</b>,6e-10,schizophrenia,RFPL4AP3,4:23421980
358,rs71428218-<b>?</b>,6e-10,schizophrenia,UNKNOWN,13:56374126
2172,rs12991836-<b>?</b>,6e-10,schizophrenia,ZEB2,2:144383974
2171,rs10156310-<b>?</b>,6e-10,schizophrenia,NSD3,8:38351611
1137,rs6984242-<b>G</b>,7.000000000000001e-10,schizophrenia,UNKNOWN,8:59787910
1343,rs1498232-<b>T</b>,7.000000000000001e-10,schizophrenia,LINC01648,1:29961104
2174,rs13169274-<b>?</b>,7.000000000000001e-10,schizophrenia,UNKNOWN,Mapping not available
648,rs926914-<b>T</b>,7.000000000000001e-10,schizophrenia,RBX1,22:41022150
648,rs926914-<b>T</b>,7.000000000000001e-10,schizophrenia,Y_RNA,22:41022150
1364,rs133047-<b>T</b>,7.000000000000001e-10,schizophrenia,UNKNOWN,Mapping not available
384,rs17687067-<b>?</b>,7.000000000000001e-10,schizophrenia,ZDHHC2,8:17178692
102,rs8082590-<b>G</b>,7.000000000000001e-10,schizophrenia,GID4,17:18055088
357,rs9567393-<b>?</b>,7.000000000000001e-10,schizophrenia,FRY,13:32189620
461,rs10935182-<b>?</b>,7.000000000000001e-10,schizophrenia,STAG1,3:136418580
909,rs2332700-<b>C</b>,7.000000000000001e-10,schizophrenia,RGS6,14:71950609
2492,rs12969453-<b>?</b>,7.000000000000001e-10,schizophrenia,UNKNOWN,Mapping not available
839,rs758117-<b>C</b>,8e-10,schizophrenia,CACNA1C,12:2404143
2082,rs5758265-<b>?</b>,8e-10,schizophrenia,L3MBTL2-AS1,22:41221893
2082,rs5758265-<b>?</b>,8e-10,schizophrenia,L3MBTL2,22:41221893
2555,rs198806-<b>?</b>,8e-10,schizophrenia,UNKNOWN,Mapping not available
125,rs6804239-<b>C</b>,8e-10,schizophrenia,UNKNOWN,3:162062700
373,rs758129-<b>?</b>,8e-10,schizophrenia,POLG-DT,15:89357656
373,rs758129-<b>?</b>,8e-10,schizophrenia,MIR9-3HG,15:89357656
1123,rs10883795-<b>?</b>,8e-10,schizophrenia,AS3MT,10:102894820
1123,rs10883795-<b>?</b>,8e-10,schizophrenia,BORCS7-ASMT,10:102894820
296,rs2905426-<b>?</b>,9e-10,schizophrenia,MAU2,19:19367213
296,rs2905426-<b>?</b>,9e-10,schizophrenia,GATAD2A,19:19367213
2109,rs7143919-<b>?</b>,9e-10,schizophrenia,UNKNOWN,Mapping not available
2110,rs2693698-<b>?</b>,9e-10,schizophrenia,BCL11B,14:99252882
2458,rs11665242-<b>G</b>,9e-10,schizophrenia,DCC,18:53380757
412,rs9342117-<b>?</b>,9e-10,schizophrenia,EYS,6:64081515
1396,rs210152-<b>A</b>,9e-10,schizophrenia,GGNBP1,6:33547743
1082,rs4648845-<b>T</b>,9e-10,schizophrenia,PLCH2,1:2455662
876,rs2577831-<b>A</b>,9e-10,schizophrenia,PBRM1,3:52594040
2175,rs12908161-<b>?</b>,9e-10,schizophrenia,SEC11A,15:84664594
2175,rs12908161-<b>?</b>,9e-10,schizophrenia,NMB,15:84664594
1659,rs3798869-<b>G</b>,9e-10,schizophrenia,SNAP91,6:83618941
881,rs7719676-<b>G</b>,1e-09,schizophrenia,ZSWIM6,5:61441122
880,rs34796896-<b>G</b>,1e-09,schizophrenia,FXR1,3:180905467
403,rs112222723-<b>?</b>,1e-09,schizophrenia,RNU6-543P,10:63102717
2447,rs4615688-<b>G</b>,1e-09,schizophrenia,CDCA4P1,9:14505863
546,rs72986630-<b>?</b>,1e-09,schizophrenia,ZNF823,19:11738921
842,rs4240748-<b>G</b>,1e-09,schizophrenia,LINC02404,12:91853010
878,rs202904-<b>C</b>,1e-09,schizophrenia,ZSCAN16-AS1,6:28050847
849,rs2383377-<b>A</b>,1e-09,schizophrenia,AKAP6,14:32788708
2396,rs793571-<b>A</b>,1e-09,schizophrenia,MINDY2,15:58849507
913,rs13176930-<b>T</b>,1e-09,schizophrenia,LINC01470,5:153285161
912,rs2015244-<b>A</b>,1e-09,schizophrenia,LINC01648,1:29956096
398,rs13284900-<b>?</b>,1e-09,schizophrenia,RALGPS1,9:126943228
914,rs8055219-<b>A</b>,1e-09,schizophrenia,MIR4719,16:13659527
492,rs13164092-<b>?</b>,1e-09,schizophrenia,ETF1,5:138505171
492,rs13164092-<b>?</b>,1e-09,schizophrenia,RPL7P19,5:138505171
381,rs13261217-<b>?</b>,1e-09,schizophrenia,CSMD1,8:4325535
1024,rs6466055-<b>A</b>,1e-09,schizophrenia,SRPK2,7:105288617
451,rs62152284-<b>?</b>,1e-09,schizophrenia,AHCYP3,2:104367929
449,rs12328348-<b>?</b>,1e-09,schizophrenia,RN7SL361P,2:60558802
449,rs12328348-<b>?</b>,1e-09,schizophrenia,BCL11A,2:60558802
1085,rs10520163-<b>T</b>,1e-09,schizophrenia,CLCN3,4:169705401
2177,rs7129727-<b>?</b>,1e-09,schizophrenia,TMX2,11:57717188
298,rs1498232-<b>?</b>,1e-09,schizophrenia,LINC01648,1:29961104
