,variant_and_allele,p_value,trait,gene
1032,rs36068923-<b>G</b>,3e-11,schizophrenia,SINHCAFP3
88,rs9292918-<b>G</b>,4e-11,schizophrenia,HCN1
2467,rs592927-<b>A</b>,4e-11,schizophrenia,RALGPS1
2467,rs592927-<b>A</b>,4e-11,schizophrenia,ZBTB34
476,rs55642704-<b>?</b>,4e-11,schizophrenia,SLC66A2
727,rs6670165-<b>T</b>,4e-11,schizophrenia,BRINP2
727,rs6670165-<b>T</b>,4e-11,schizophrenia,LINC01645
1247,rs13096210-<b>C</b>,4e-11,schizophrenia,FXR1
511,rs374528934-<b>?</b>,4e-11,schizophrenia,HYAL2
511,rs374528934-<b>?</b>,4e-11,schizophrenia,HYAL1
1515,rs7951870-<b>C</b>,4e-11,schizophrenia,UNKNOWN
2155,rs7508148-<b>?</b>,4e-11,schizophrenia,SCAF1
696,rs17194476-<b>T</b>,4e-11,schizophrenia,CNTN4
1455,rs62402013-<b>G</b>,4e-11,schizophrenia,GUSBP2
639,rs7499750-<b>A</b>,4.9999999999999995e-11,schizophrenia,UNKNOWN
1064,rs12691307-<b>A</b>,4.9999999999999995e-11,schizophrenia,TMEM219
1064,rs12691307-<b>A</b>,4.9999999999999995e-11,schizophrenia,KCTD13
2488,rs8039305-<b>?</b>,4.9999999999999995e-11,schizophrenia,FURIN
2070,rs8055219-<b>?</b>,4.9999999999999995e-11,schizophrenia,MIR4719
395,rs6995307-<b>?</b>,4.9999999999999995e-11,schizophrenia,UNKNOWN
2531,rs2319280-<b>?</b>,4.9999999999999995e-11,schizophrenia,UNKNOWN
282,rs66486766-<b>?</b>,4.9999999999999995e-11,schizophrenia,EFL1P1
282,rs66486766-<b>?</b>,4.9999999999999995e-11,schizophrenia,DNM1P41
2130,rs12705761-<b>?</b>,4.9999999999999995e-11,schizophrenia,IMMP2L
84,rs172531-<b>G</b>,4.9999999999999995e-11,schizophrenia,RERE
24,rs35607894-<b>A</b>,4.9999999999999995e-11,schizophrenia,RGS6
2520,rs4309187-<b>?</b>,4.9999999999999995e-11,schizophrenia,TMPRSS5
2520,rs4309187-<b>?</b>,4.9999999999999995e-11,schizophrenia,DRD2
593,rs4949526-<b>T</b>,6e-11,schizophrenia,LINC01648
435,rs12031518-<b>?</b>,6e-11,schizophrenia,PTBP2
435,rs12031518-<b>?</b>,6e-11,schizophrenia,RN7SKP270
2529,rs10890032-<b>?</b>,6e-11,schizophrenia,LINC01360
1966,rs281768-<b>?</b>,6e-11,schizophrenia,MAIP1
1936,rs12826178-<b>?</b>,6e-11,schizophrenia,NXPH4
1936,rs12826178-<b>?</b>,6e-11,schizophrenia,SHMT2
679,rs10890030-<b>T</b>,6e-11,schizophrenia,RN7SKP19
679,rs10890030-<b>T</b>,6e-11,schizophrenia,LINC01360
674,rs9922678-<b>A</b>,6e-11,schizophrenia,GRIN2A
487,rs57346805-<b>?</b>,6e-11,schizophrenia,NEK1
2549,rs13135092-<b>?</b>,6e-11,schizophrenia,SLC39A8
1588,rs11874716-<b>T</b>,6e-11,schizophrenia,LINC01929
826,rs17514846-<b>C</b>,6e-11,schizophrenia,FURIN
930,rs2103655-<b>A</b>,6e-11,schizophrenia,PPP1R16B
930,rs2103655-<b>A</b>,6e-11,schizophrenia,ACTR5
2157,rs16902086-<b>?</b>,6e-11,schizophrenia,HCN1
2078,rs4812322-<b>?</b>,6.999999999999999e-11,schizophrenia,PPP1R16B
1102,rs7432375-<b>G</b>,6.999999999999999e-11,schizophrenia,STAG1
2132,rs7789569-<b>?</b>,6.999999999999999e-11,schizophrenia,UNKNOWN
53,rs7438-<b>A</b>,6.999999999999999e-11,schizophrenia,CLCN3
1753,rs10890032-<b>T</b>,6.999999999999999e-11,schizophrenia,LINC01360
1579,rs12704290-<b>G</b>,6.999999999999999e-11,schizophrenia,GRM3-AS1
1579,rs12704290-<b>G</b>,6.999999999999999e-11,schizophrenia,GRM3
2498,rs5995756-<b>?</b>,6.999999999999999e-11,schizophrenia,UNKNOWN
75,rs11708578-<b>G</b>,6.999999999999999e-11,schizophrenia,CNTN4
2159,rs3735025-<b>?</b>,6.999999999999999e-11,schizophrenia,DGKI
284,rs17691888-<b>?</b>,6.999999999999999e-11,schizophrenia,CACNB2
2559,rs6922815-<b>?</b>,6.999999999999999e-11,schizophrenia,UNKNOWN
627,rs12704290-<b>A</b>,8e-11,schizophrenia,GRM3-AS1
627,rs12704290-<b>A</b>,8e-11,schizophrenia,GRM3
286,rs2535627-<b>?</b>,8e-11,schizophrenia,ITIH3
286,rs2535627-<b>?</b>,8e-11,schizophrenia,ITIH4
1684,rs4642619-<b>A</b>,8e-11,schizophrenia,UNKNOWN
489,rs8188203-<b>?</b>,8e-11,schizophrenia,UNKNOWN
285,rs4642619-<b>?</b>,8e-11,schizophrenia,UNKNOWN
1649,rs35998080-<b>T</b>,8e-11,schizophrenia,LINC02797
2134,rs1319017-<b>?</b>,8e-11,schizophrenia,DDX10P2
900,rs2163548-<b>G</b>,9e-11,schizophrenia,SPATS2L
924,rs17598729-<b>C</b>,9e-11,schizophrenia,TCF4
2076,rs144158419-<b>?</b>,9e-11,schizophrenia,LINC01416
2543,rs73102769-<b>?</b>,9e-11,schizophrenia,UNKNOWN
655,rs55661361-<b>A</b>,9e-11,schizophrenia,NRGN
827,rs12902973-<b>G</b>,9e-11,schizophrenia,UBE2Q2P1
493,rs7733403-<b>?</b>,9e-11,schizophrenia,PCDHA1
493,rs7733403-<b>?</b>,9e-11,schizophrenia,VTRNA1-3
444,rs13376709-<b>?</b>,9e-11,schizophrenia,AKT3
832,rs3617-<b>C</b>,1e-10,schizophrenia,ITIH3
2398,rs143363269-<b>T</b>,1e-10,schizophrenia,MOG
657,rs4936216-<b>T</b>,1e-10,schizophrenia,IGSF9B
657,rs4936216-<b>T</b>,1e-10,schizophrenia,LINC02730
376,rs41356645-<b>?</b>,1e-10,schizophrenia,GRIN2A
2505,rs12532143-<b>?</b>,1e-10,schizophrenia,UNKNOWN
1092,rs111294930-<b>A</b>,1e-10,schizophrenia,LINC01470
766,rs77502336-<b>C</b>,1e-10,schizophrenia,GRAMD1B
2522,rs10791097-<b>?</b>,1e-10,schizophrenia,UNKNOWN
1473,rs7405404-<b>T</b>,1e-10,schizophrenia,UNKNOWN
2162,rs704373-<b>?</b>,1e-10,schizophrenia,ATXN7
377,rs7499362-<b>?</b>,1e-10,schizophrenia,UNKNOWN
2010,rs140505938-<b>?</b>,1e-10,schizophrenia,OTUD7B
2010,rs140505938-<b>?</b>,1e-10,schizophrenia,VPS45
1996,rs145501595-<b>?</b>,1e-10,schizophrenia,OR11A1
542,rs11663602-<b>?</b>,1e-10,schizophrenia,KCNG2
542,rs11663602-<b>?</b>,1e-10,schizophrenia,CTDP1
828,rs28758902-<b>T</b>,1e-10,schizophrenia,LINC01415
828,rs28758902-<b>T</b>,1e-10,schizophrenia,TCF4
531,rs58146172-<b>?</b>,1e-10,schizophrenia,SMG6
1848,rs16887244-<b>?</b>,1e-10,schizophrenia,LSM1
1127,rs1051061-<b>?</b>,1e-10,schizophrenia,VRK2
831,rs760648-<b>A</b>,1e-10,schizophrenia,TCF20
1859,rs17691888-<b>G</b>,1e-10,schizophrenia,CACNB2
288,rs3798869-<b>?</b>,1e-10,schizophrenia,SNAP91
798,rs2767713-<b>C</b>,1e-10,schizophrenia,DDX10P2
641,rs4801131-<b>T</b>,1e-10,schizophrenia,LINC01929
2166,rs42945-<b>?</b>,2e-10,schizophrenia,NDRG4
2165,rs12009217-<b>?</b>,2e-10,schizophrenia,NLGN4X
2491,rs4788196-<b>?</b>,2e-10,schizophrenia,UNKNOWN
350,rs10861879-<b>?</b>,2e-10,schizophrenia,WSCD2
1080,rs5937157-<b>G</b>,2e-10,schizophrenia,PJA1
601,rs13164092-<b>G</b>,2e-10,schizophrenia,ETF1
601,rs13164092-<b>G</b>,2e-10,schizophrenia,RPL7P19
2055,rs111611027-<b>?</b>,2e-10,schizophrenia,MAD1L1
90,rs5757730-<b>G</b>,2e-10,schizophrenia,CACNA1I
86,rs3825845-<b>C</b>,2e-10,schizophrenia,CHRNA3
1943,rs4906364-<b>?</b>,2e-10,schizophrenia,PPP1R13B
703,rs6449528-<b>A</b>,2e-10,schizophrenia,ZSWIM6
2085,rs80256351-<b>?</b>,2e-10,schizophrenia,ACTG1P22
2085,rs80256351-<b>?</b>,2e-10,schizophrenia,VRK2
2213,rs2053079-<b>?</b>,2e-10,schizophrenia,ZNF536
74,rs999494-<b>C</b>,2e-10,schizophrenia,EMX1
775,rs35978510-<b>C</b>,2e-10,schizophrenia,AKT3
2164,rs14403-<b>?</b>,2e-10,schizophrenia,AKT3
834,rs28437878-<b>C</b>,2e-10,schizophrenia,HYKK
833,rs2414718-<b>A</b>,2e-10,schizophrenia,UNKNOWN
434,rs2801578-<b>?</b>,2e-10,schizophrenia,PDE4B
1693,rs4766428-<b>T</b>,2e-10,schizophrenia,ATP2A2
1836,rs3131296-<b>G</b>,2e-10,schizophrenia,NOTCH4
2163,rs2332700-<b>?</b>,2e-10,schizophrenia,RGS6
528,rs2333321-<b>?</b>,2e-10,schizophrenia,GPM6A
527,rs13142920-<b>?</b>,2e-10,schizophrenia,GPM6A
1981,rs6868457-<b>?</b>,2e-10,schizophrenia,LINC02057
793,rs16880831-<b>G</b>,2e-10,schizophrenia,STAU2
904,rs35324223-<b>G</b>,2e-10,schizophrenia,MDK
466,rs4479913-<b>?</b>,2e-10,schizophrenia,UNKNOWN
462,rs4856763-<b>?</b>,2e-10,schizophrenia,UNKNOWN
903,rs7427564-<b>G</b>,2e-10,schizophrenia,STAG1
2534,rs12474906-<b>?</b>,3e-10,schizophrenia,UNKNOWN
1067,rs4523957-<b>T</b>,3e-10,schizophrenia,SRR
175,rs78681500-<b>T</b>,3e-10,schizophrenia,SPATS2L
415,rs160593-<b>?</b>,3e-10,schizophrenia,LIN28B
290,rs59979824-<b>?</b>,3e-10,schizophrenia,UNKNOWN
1057,rs12903146-<b>A</b>,3e-10,schizophrenia,UNKNOWN
1084,rs11210892-<b>A</b>,3e-10,schizophrenia,PTPRF
1084,rs11210892-<b>A</b>,3e-10,schizophrenia,KDM4A
450,rs999494-<b>?</b>,3e-10,schizophrenia,EMX1
1947,rs7185124-<b>?</b>,3e-10,schizophrenia,UNKNOWN
486,rs7676765-<b>?</b>,3e-10,schizophrenia,SLC9B1
629,rs10260040-<b>A</b>,3e-10,schizophrenia,IMMP2L
442,rs11587347-<b>?</b>,3e-10,schizophrenia,UNKNOWN
837,rs4271249-<b>T</b>,3e-10,schizophrenia,DPYD
2489,rs7191999-<b>?</b>,3e-10,schizophrenia,UNKNOWN
1788,rs1261117-<b>T</b>,3e-10,schizophrenia,TCF4
559,rs7067170-<b>?</b>,3e-10,schizophrenia,PJA1
751,rs895526-<b>C</b>,3e-10,schizophrenia,SATB2
393,rs6994019-<b>?</b>,4e-10,schizophrenia,MMP16
644,rs6065094-<b>A</b>,4e-10,schizophrenia,UNKNOWN
2167,rs1339227-<b>?</b>,4e-10,schizophrenia,RIMS1
907,rs66492629-<b>A</b>,4e-10,schizophrenia,CNTN4
392,rs148415900-<b>?</b>,4e-10,schizophrenia,MIR124-2HG
2034,rs62366215-<b>?</b>,4e-10,schizophrenia,LINC02057
1861,rs10789369-<b>A</b>,4e-10,schizophrenia,LINC01360
2061,rs12668724-<b>?</b>,4e-10,schizophrenia,IMMP2L
1377,rs140505938-<b>C</b>,4e-10,schizophrenia,OTUD7B
1377,rs140505938-<b>C</b>,4e-10,schizophrenia,VPS45
2168,rs1191551-<b>?</b>,4e-10,schizophrenia,RNU11-5P
2168,rs1191551-<b>?</b>,4e-10,schizophrenia,PRKD1
2169,rs7499750-<b>?</b>,4e-10,schizophrenia,UNKNOWN
291,rs12691307-<b>?</b>,4e-10,schizophrenia,TMEM219
291,rs12691307-<b>?</b>,4e-10,schizophrenia,KCTD13
838,rs6918354-<b>T</b>,4e-10,schizophrenia,CARMIL1
838,rs6918354-<b>T</b>,4e-10,schizophrenia,CMAHP
1071,rs2905426-<b>G</b>,4e-10,schizophrenia,MAU2
1071,rs2905426-<b>G</b>,4e-10,schizophrenia,GATAD2A
407,rs2927176-<b>?</b>,4e-10,schizophrenia,LINC01470
681,rs2319280-<b>A</b>,4e-10,schizophrenia,UNKNOWN
1931,rs75059851-<b>?</b>,4e-10,schizophrenia,IGSF9B
1010,rs140505938-<b>T</b>,4e-10,schizophrenia,OTUD7B
1010,rs140505938-<b>T</b>,4e-10,schizophrenia,VPS45
453,rs2381760-<b>?</b>,4e-10,schizophrenia,UNKNOWN
2406,rs3145-<b>A</b>,4e-10,schizophrenia,SLTM
2406,rs3145-<b>A</b>,4e-10,schizophrenia,RNF111
1945,rs12902973-<b>?</b>,4e-10,schizophrenia,UBE2Q2P1
637,rs10883761-<b>A</b>,4e-10,schizophrenia,TRIM8
637,rs10883761-<b>A</b>,4e-10,schizophrenia,ARL3
560,rs10204933-<b>G</b>,4e-10,schizophrenia,SPHKAP
363,rs2189806-<b>?</b>,5e-10,schizophrenia,PCNX1
481,rs9841616-<b>?</b>,5e-10,schizophrenia,SOX2-OT
742,rs6430491-<b>G</b>,5e-10,schizophrenia,MGAT5
332,rs12363019-<b>?</b>,5e-10,schizophrenia,LINC02686
2490,rs7405404-<b>?</b>,5e-10,schizophrenia,UNKNOWN
2098,rs73022874-<b>?</b>,5e-10,schizophrenia,LINC02551
1239,rs12908161-<b>A</b>,5e-10,schizophrenia,SEC11A
1239,rs12908161-<b>A</b>,5e-10,schizophrenia,NMB
2478,rs11057189-<b>?</b>,5e-10,schizophrenia,UNKNOWN
114,rs28735056-<b>G</b>,5e-10,schizophrenia,KCNG2
414,rs117074560-<b>?</b>,5e-10,schizophrenia,FUT9
414,rs117074560-<b>?</b>,5e-10,schizophrenia,KRT18P50
533,rs72639203-<b>?</b>,5e-10,schizophrenia,SNORD3A
530,rs13355485-<b>?</b>,5e-10,schizophrenia,UNKNOWN
1129,rs115070292-<b>?</b>,5e-10,schizophrenia,GABBR1
1969,rs17620999-<b>?</b>,5e-10,schizophrenia,CNTN4
2170,rs7216638-<b>?</b>,5e-10,schizophrenia,SMG6
695,rs6704768-<b>A</b>,6e-10,schizophrenia,GIGYF2
8,rs215411-<b>A</b>,6e-10,schizophrenia,RFPL4AP3
874,rs832190-<b>C</b>,6e-10,schizophrenia,THOC7
859,rs12148337-<b>T</b>,6e-10,schizophrenia,UNKNOWN
2172,rs12991836-<b>?</b>,6e-10,schizophrenia,ZEB2
2171,rs10156310-<b>?</b>,6e-10,schizophrenia,NSD3
2499,rs133047-<b>?</b>,6e-10,schizophrenia,UNKNOWN
1133,rs6918586-<b>T</b>,6e-10,schizophrenia,HFE
460,rs76442143-<b>?</b>,6e-10,schizophrenia,DOCK3
340,rs77502336-<b>?</b>,6e-10,schizophrenia,GRAMD1B
358,rs71428218-<b>?</b>,6e-10,schizophrenia,UNKNOWN
1424,rs5757717-<b>C</b>,6e-10,schizophrenia,CACNA1I
1424,rs5757717-<b>C</b>,6e-10,schizophrenia,RPS19BP1
1431,rs6002655-<b>T</b>,6e-10,schizophrenia,TCF20
375,rs13335685-<b>?</b>,6e-10,schizophrenia,CORO7-PAM16
375,rs13335685-<b>?</b>,6e-10,schizophrenia,CORO7
382,rs6986895-<b>?</b>,6e-10,schizophrenia,CSMD1
561,rs12928842-<b>C</b>,6e-10,schizophrenia,SLC38A8
561,rs12928842-<b>C</b>,6e-10,schizophrenia,MBTPS1
452,rs6721549-<b>?</b>,6e-10,schizophrenia,MGAT5
1364,rs133047-<b>T</b>,7.000000000000001e-10,schizophrenia,UNKNOWN
1137,rs6984242-<b>G</b>,7.000000000000001e-10,schizophrenia,UNKNOWN
102,rs8082590-<b>G</b>,7.000000000000001e-10,schizophrenia,GID4
357,rs9567393-<b>?</b>,7.000000000000001e-10,schizophrenia,FRY
2492,rs12969453-<b>?</b>,7.000000000000001e-10,schizophrenia,UNKNOWN
909,rs2332700-<b>C</b>,7.000000000000001e-10,schizophrenia,RGS6
384,rs17687067-<b>?</b>,7.000000000000001e-10,schizophrenia,ZDHHC2
2174,rs13169274-<b>?</b>,7.000000000000001e-10,schizophrenia,UNKNOWN
648,rs926914-<b>T</b>,7.000000000000001e-10,schizophrenia,RBX1
648,rs926914-<b>T</b>,7.000000000000001e-10,schizophrenia,Y_RNA
1343,rs1498232-<b>T</b>,7.000000000000001e-10,schizophrenia,LINC01648
461,rs10935182-<b>?</b>,7.000000000000001e-10,schizophrenia,STAG1
125,rs6804239-<b>C</b>,8e-10,schizophrenia,UNKNOWN
2082,rs5758265-<b>?</b>,8e-10,schizophrenia,L3MBTL2-AS1
2082,rs5758265-<b>?</b>,8e-10,schizophrenia,L3MBTL2
373,rs758129-<b>?</b>,8e-10,schizophrenia,POLG-DT
373,rs758129-<b>?</b>,8e-10,schizophrenia,MIR9-3HG
1123,rs10883795-<b>?</b>,8e-10,schizophrenia,AS3MT
1123,rs10883795-<b>?</b>,8e-10,schizophrenia,BORCS7-ASMT
2555,rs198806-<b>?</b>,8e-10,schizophrenia,UNKNOWN
839,rs758117-<b>C</b>,8e-10,schizophrenia,CACNA1C
1396,rs210152-<b>A</b>,9e-10,schizophrenia,GGNBP1
1659,rs3798869-<b>G</b>,9e-10,schizophrenia,SNAP91
876,rs2577831-<b>A</b>,9e-10,schizophrenia,PBRM1
2109,rs7143919-<b>?</b>,9e-10,schizophrenia,UNKNOWN
2110,rs2693698-<b>?</b>,9e-10,schizophrenia,BCL11B
412,rs9342117-<b>?</b>,9e-10,schizophrenia,EYS
296,rs2905426-<b>?</b>,9e-10,schizophrenia,MAU2
296,rs2905426-<b>?</b>,9e-10,schizophrenia,GATAD2A
2458,rs11665242-<b>G</b>,9e-10,schizophrenia,DCC
1082,rs4648845-<b>T</b>,9e-10,schizophrenia,PLCH2
2175,rs12908161-<b>?</b>,9e-10,schizophrenia,SEC11A
2175,rs12908161-<b>?</b>,9e-10,schizophrenia,NMB
381,rs13261217-<b>?</b>,1e-09,schizophrenia,CSMD1
849,rs2383377-<b>A</b>,1e-09,schizophrenia,AKAP6
1982,rs35017470-<b>?</b>,1e-09,schizophrenia,LINC02060
1982,rs35017470-<b>?</b>,1e-09,schizophrenia,TMEM161B-AS1
2177,rs7129727-<b>?</b>,1e-09,schizophrenia,TMX2
1630,rs3132565-<b>A</b>,1e-09,schizophrenia,PSORS1C1
1624,rs2973155-<b>C</b>,1e-09,schizophrenia,LINC01470
2176,rs1899543-<b>?</b>,1e-09,schizophrenia,Y_RNA
546,rs72986630-<b>?</b>,1e-09,schizophrenia,ZNF823
2525,rs2239063-<b>?</b>,1e-09,schizophrenia,UNKNOWN
1085,rs10520163-<b>T</b>,1e-09,schizophrenia,CLCN3
2533,rs1509378-<b>?</b>,1e-09,schizophrenia,UNKNOWN
403,rs112222723-<b>?</b>,1e-09,schizophrenia,RNU6-543P
688,rs12474906-<b>A</b>,1e-09,schizophrenia,UNKNOWN
398,rs13284900-<b>?</b>,1e-09,schizophrenia,RALGPS1
535,rs4793885-<b>?</b>,1e-09,schizophrenia,MSI2
878,rs202904-<b>C</b>,1e-09,schizophrenia,ZSCAN16-AS1
912,rs2015244-<b>A</b>,1e-09,schizophrenia,LINC01648
880,rs34796896-<b>G</b>,1e-09,schizophrenia,FXR1
881,rs7719676-<b>G</b>,1e-09,schizophrenia,ZSWIM6
254,rs4873803-<b>?</b>,1e-09,schizophrenia,MROH6
2556,rs12214031-<b>?</b>,1e-09,schizophrenia,UNKNOWN
693,rs35657897-<b>A</b>,1e-09,schizophrenia,PLCL1
913,rs13176930-<b>T</b>,1e-09,schizophrenia,LINC01470
1930,rs35274053-<b>?</b>,1e-09,schizophrenia,LINC02551
1285,rs6466055-<b>A</b>,1e-09,schizophrenia,SRPK2
2094,rs61882743-<b>?</b>,1e-09,schizophrenia,AMBRA1
1925,rs11027827-<b>?</b>,1e-09,schizophrenia,LINC02686
2099,rs11223656-<b>?</b>,1e-09,schizophrenia,IGSF9B
2099,rs11223656-<b>?</b>,1e-09,schizophrenia,LINC02730
122,rs2910032-<b>C</b>,1e-09,schizophrenia,LINC01470
2447,rs4615688-<b>G</b>,1e-09,schizophrenia,CDCA4P1
300,rs6466055-<b>?</b>,1e-09,schizophrenia,SRPK2
2484,rs17270962-<b>?</b>,1e-09,schizophrenia,UNKNOWN
298,rs1498232-<b>?</b>,1e-09,schizophrenia,LINC01648
297,rs6984242-<b>?</b>,1e-09,schizophrenia,UNKNOWN
914,rs8055219-<b>A</b>,1e-09,schizophrenia,MIR4719
36,rs56007784-<b>C</b>,1e-09,schizophrenia,YWHAE
2086,rs10491964-<b>?</b>,1e-09,schizophrenia,CACNA1C
677,rs6694545-<b>A</b>,1e-09,schizophrenia,UNKNOWN
2396,rs793571-<b>A</b>,1e-09,schizophrenia,MINDY2
5,rs6846161-<b>A</b>,1e-09,schizophrenia,GPM6A
842,rs4240748-<b>G</b>,1e-09,schizophrenia,LINC02404
1954,rs8139773-<b>?</b>,1e-09,schizophrenia,CACNA1I
2509,rs75836205-<b>?</b>,1e-09,schizophrenia,UNKNOWN
449,rs12328348-<b>?</b>,1e-09,schizophrenia,RN7SL361P
449,rs12328348-<b>?</b>,1e-09,schizophrenia,BCL11A
451,rs62152284-<b>?</b>,1e-09,schizophrenia,AHCYP3
492,rs13164092-<b>?</b>,1e-09,schizophrenia,ETF1
492,rs13164092-<b>?</b>,1e-09,schizophrenia,RPL7P19
2564,rs217320-<b>?</b>,2e-09,schizophrenia,UNKNOWN
1862,rs7940866-<b>T</b>,2e-09,schizophrenia,SNX19
1862,rs7940866-<b>T</b>,2e-09,schizophrenia,RN7SL167P
1842,rs12807809-<b>T</b>,2e-09,schizophrenia,UNKNOWN
1962,rs7599488-<b>?</b>,2e-09,schizophrenia,BCL11A
2553,rs72804781-<b>?</b>,2e-09,schizophrenia,UNKNOWN
1987,rs11740474-<b>?</b>,2e-09,schizophrenia,GALNT10
1989,rs6918354-<b>?</b>,2e-09,schizophrenia,CARMIL1
1989,rs6918354-<b>?</b>,2e-09,schizophrenia,CMAHP
1096,rs117074560-<b>C</b>,2e-09,schizophrenia,FUT9
1096,rs117074560-<b>C</b>,2e-09,schizophrenia,KRT18P50
2178,rs11409090-<b>?</b>,2e-09,schizophrenia,TBC1D5
2179,rs211829-<b>?</b>,2e-09,schizophrenia,UNKNOWN
2392,rs71407077-<b>C</b>,2e-09,schizophrenia,RNF111
2392,rs71407077-<b>C</b>,2e-09,schizophrenia,SLTM
1038,rs9420-<b>A</b>,2e-09,schizophrenia,SELENOH
2418,rs9849438-<b>A</b>,2e-09,schizophrenia,UNKNOWN
2424,rs505061-<b>A</b>,2e-09,schizophrenia,LINC01239
2441,rs9332466-<b>T</b>,2e-09,schizophrenia,PCGF3
2463,rs7626288-<b>A</b>,2e-09,schizophrenia,LTF
2494,rs72934586-<b>?</b>,2e-09,schizophrenia,UNKNOWN
2073,rs11874716-<b>?</b>,2e-09,schizophrenia,LINC01929
2059,rs13233308-<b>?</b>,2e-09,schizophrenia,ABCB1
1390,rs2053079-<b>G</b>,2e-09,schizophrenia,ZNF536
2057,rs79210963-<b>?</b>,2e-09,schizophrenia,UNKNOWN
2510,rs13267290-<b>?</b>,2e-09,schizophrenia,UNKNOWN
2035,rs454822-<b>?</b>,2e-09,schizophrenia,TMEM161B
2021,rs6748251-<b>?</b>,2e-09,schizophrenia,UNKNOWN
1718,rs11139497-<b>A</b>,2e-09,schizophrenia,DDX10P2
885,rs67575965-<b>A</b>,2e-09,schizophrenia,H1-12P
2004,rs67575965-<b>?</b>,2e-09,schizophrenia,H1-12P
1805,rs11191580-<b>?</b>,2e-09,schizophrenia,NT5C2
1810,rs12666575-<b>?</b>,2e-09,schizophrenia,MAD1L1
118,rs11210195-<b>C</b>,2e-09,schizophrenia,RN7SKP19
118,rs11210195-<b>C</b>,2e-09,schizophrenia,LINC01360
301,rs2910032-<b>?</b>,2e-09,schizophrenia,LINC01470
705,rs160593-<b>G</b>,2e-09,schizophrenia,LIN28B
687,rs1509378-<b>A</b>,2e-09,schizophrenia,UNKNOWN
676,rs7112616-<b>T</b>,2e-09,schizophrenia,RN7SL167P
676,rs7112616-<b>T</b>,2e-09,schizophrenia,SNX19
664,rs1790135-<b>T</b>,2e-09,schizophrenia,MPHOSPH9
441,rs975025-<b>?</b>,2e-09,schizophrenia,AXDND1
440,rs6670165-<b>?</b>,2e-09,schizophrenia,BRINP2
440,rs6670165-<b>?</b>,2e-09,schizophrenia,LINC01645
550,rs6128857-<b>?</b>,2e-09,schizophrenia,ACTR5
550,rs6128857-<b>?</b>,2e-09,schizophrenia,SLC32A1
558,rs5943630-<b>?</b>,2e-09,schizophrenia,IL1RAPL1
303,rs3849046-<b>?</b>,2e-09,schizophrenia,ETF1
617,rs10515678-<b>T</b>,2e-09,schizophrenia,LINC01470
399,rs1043009-<b>?</b>,2e-09,schizophrenia,KLF6
633,rs13267290-<b>A</b>,2e-09,schizophrenia,UNKNOWN
397,rs2767713-<b>?</b>,2e-09,schizophrenia,DDX10P2
93,rs13261217-<b>G</b>,2e-09,schizophrenia,CSMD1
391,rs867743-<b>?</b>,2e-09,schizophrenia,UNKNOWN
626,rs35182064-<b>A</b>,2e-09,schizophrenia,GRM3
789,rs867743-<b>G</b>,2e-09,schizophrenia,UNKNOWN
379,rs2010476-<b>?</b>,2e-09,schizophrenia,UNKNOWN
1977,rs185071033-<b>?</b>,3.0000000000000004e-09,schizophrenia,RPSAP2
1977,rs185071033-<b>?</b>,3.0000000000000004e-09,schizophrenia,NOP56P1
355,rs111589530-<b>?</b>,3.0000000000000004e-09,schizophrenia,CCDC62
355,rs111589530-<b>?</b>,3.0000000000000004e-09,schizophrenia,HIP1R
477,rs942820-<b>?</b>,3.0000000000000004e-09,schizophrenia,PLCH2
1934,rs679087-<b>?</b>,3.0000000000000004e-09,schizophrenia,TMTC1
467,rs320696-<b>?</b>,3.0000000000000004e-09,schizophrenia,PTN
467,rs320696-<b>?</b>,3.0000000000000004e-09,schizophrenia,DGKI
2011,rs7521492-<b>?</b>,3.0000000000000004e-09,schizophrenia,UNKNOWN
463,rs13096176-<b>?</b>,3.0000000000000004e-09,schizophrenia,SOX2-OT
1973,rs940174-<b>?</b>,3.0000000000000004e-09,schizophrenia,STAG1
1972,rs832190-<b>?</b>,3.0000000000000004e-09,schizophrenia,THOC7
1863,rs17504622-<b>T</b>,3.0000000000000004e-09,schizophrenia,LINC01470
621,rs217289-<b>A</b>,3.0000000000000004e-09,schizophrenia,SNAP91
2428,rs4937935-<b>T</b>,3.0000000000000004e-09,schizophrenia,LINC02873
2428,rs4937935-<b>T</b>,3.0000000000000004e-09,schizophrenia,LINC02706
2419,rs9998799-<b>T</b>,3.0000000000000004e-09,schizophrenia,NAA11
2419,rs9998799-<b>T</b>,3.0000000000000004e-09,schizophrenia,LINC01088
1225,rs11717383-<b>G</b>,3.0000000000000004e-09,schizophrenia,PPM1M
1225,rs11717383-<b>G</b>,3.0000000000000004e-09,schizophrenia,WDR82
2377,rs59761926-<b>T</b>,3.0000000000000004e-09,schizophrenia,PTPRD
1627,rs3001723-<b>A</b>,3.0000000000000004e-09,schizophrenia,PTPRF
1037,rs11027857-<b>A</b>,3.0000000000000004e-09,schizophrenia,Y_RNA
2547,rs704364-<b>?</b>,3.0000000000000004e-09,schizophrenia,UNKNOWN
2181,rs34269918-<b>?</b>,3.0000000000000004e-09,schizophrenia,RERE
2180,rs12898315-<b>?</b>,3.0000000000000004e-09,schizophrenia,UNKNOWN
662,rs12826178-<b>T</b>,3.0000000000000004e-09,schizophrenia,NXPH4
