,variant_and_allele,p_value,trait,gene,location
172,rs28714232-<b>T</b>,8e-06,nicotine dependence,DKFZP434A062,9:136323035
178,rs72868658-<b>A</b>,8e-06,nicotine dependence,GNAL,18:11838174
287,rs9825310-<b>?</b>,8e-06,alcohol dependence,CMTM8,3:32198627
287,rs9825310-<b>?</b>,8e-06,alcohol dependence,RPSAP11,3:32198627
301,rs17750015-<b>?</b>,8e-06,alcohol dependence,WDR7,18:56730391
211,rs10483282-<b>T</b>,9e-06,alcohol dependence,RN7SKP205,14:23784487
211,rs10483282-<b>T</b>,9e-06,alcohol dependence,BRD7P1,14:23784487
57,rs247831-<b>C</b>,9e-06,cocaine dependence,MEAK7,16:84548287
60,rs4410642-<b>C</b>,9e-06,cocaine dependence,RNU6-381P,5:44129321
64,rs62357000-<b>T</b>,9e-06,cocaine dependence,SPRY4-AS1,5:30884808
263,rs1380131-<b>C</b>,9e-06,alcohol dependence,RPS3AP46,14:53606140
258,rs195204-<b>T</b>,9e-06,alcohol dependence,NGF-AS1,1:115191470
258,rs195204-<b>T</b>,9e-06,alcohol dependence,LINC01765,1:115191470
251,rs75562159-<b>A</b>,9e-06,alcohol dependence,CAMTA1,1:7444081
250,rs13340561-<b>G</b>,9e-06,alcohol dependence,MSR1,8:16201396
249,rs11076221-<b>G</b>,9e-06,alcohol dependence,C16orf97,16:51927631
248,rs10741210-<b>G</b>,9e-06,alcohol dependence,LINC02646,10:130186048
248,rs10741210-<b>G</b>,9e-06,alcohol dependence,GLRX3,10:130186048
40,rs6677435-<b>?</b>,9e-06,cocaine dependence,UNKNOWN,1:195821528
314,rs6693815-<b>T</b>,9e-06,alcohol dependence,GSTM5,1:109758638
314,rs6693815-<b>T</b>,9e-06,alcohol dependence,EPS8L3,1:109758638
