,variant_and_allele,p_value,trait,gene,location,maf
456,rs115102486-<b>?</b>,2e-08,alzheimer disease,CLMN,14:95298227,-1.0
236,rs12590654-<b>A</b>,2e-08,alzheimer disease,SLC24A4,14:92472511,0.20183336061548535
141,rs7185636-<b>T</b>,2e-08,late-onset alzheimers disease,IQCK,16:19796841,0.8809477756286267
229,rs11257242-<b>C</b>,2e-08,alzheimer disease,ECHDC3,10:11679120,0.506131669535284
229,rs11257242-<b>C</b>,2e-08,alzheimer disease,USP6NL-AS1,10:11679120,0.506131669535284
296,rs10098778-<b>?</b>,2e-08,alzheimer disease,NDUFAF6,8:94979792,-1.0
686,rs1497525-<b>?</b>,2e-08,alzheimer disease,OR2B2,6:27915491,-1.0
686,rs1497525-<b>?</b>,2e-08,alzheimer disease,OR2W6P,6:27915491,-1.0
143,rs2830500-<b>C</b>,3.0000000000000004e-08,late-onset alzheimers disease,ADAMTS1,21:26784537,0.758412154368388
480,rs35349669-<b>T</b>,3.0000000000000004e-08,alzheimer disease,INPP5D,2:233159830,0.3828673835125448
481,rs190982-<b>A</b>,3.0000000000000004e-08,alzheimer disease,MEF2C-AS1,5:88927603,0.6232906553483338
470,rs7274581-<b>T</b>,3.0000000000000004e-08,alzheimer disease,CASS4,20:56443204,0.9055757965423632
216,rs12358692-<b>T</b>,3.0000000000000004e-08,alzheimer disease,ECHDC3,10:11679103,0.6009741681260946
216,rs12358692-<b>T</b>,3.0000000000000004e-08,alzheimer disease,USP6NL-AS1,10:11679103,0.6009741681260946
465,rs34972666-<b>?</b>,3.0000000000000004e-08,alzheimer disease,TGM6,20:2404326,-1.0
527,rs471470-<b>A</b>,3.0000000000000004e-08,alzheimer disease,RNU6-560P,11:86120499,0.5917181705809641
527,rs471470-<b>A</b>,3.0000000000000004e-08,alzheimer disease,PICALM,11:86120499,0.5917181705809641
191,rs7209200-<b>?</b>,3.0000000000000004e-08,late-onset alzheimers disease,ZFP3-DT,17:5066645,-1.0
191,rs7209200-<b>?</b>,3.0000000000000004e-08,late-onset alzheimers disease,SLC52A1,17:5066645,-1.0
667,rs35139934-<b>A</b>,3.0000000000000004e-08,alzheimer disease,PLEC,8:143921796,0.07963455866484426
231,rs9269853-<b>A</b>,3.0000000000000004e-08,alzheimer disease,HLA-DRB1,6:32582545,1.0
151,rs62039712-<b>A</b>,4e-08,late-onset alzheimers disease,RNA5SP431,16:79321960,0.04637969353140718
182,rs7902657-<b>?</b>,4e-08,late-onset alzheimers disease,LINC01553,10:59978394,-1.0
182,rs7902657-<b>?</b>,4e-08,late-onset alzheimers disease,ANK3,10:59978394,-1.0
459,rs8045064-<b>?</b>,4e-08,alzheimer disease,LINC01567,16:24664268,-1.0
459,rs8045064-<b>?</b>,4e-08,alzheimer disease,TNRC6A,16:24664268,-1.0
246,rs11771145-<b>A</b>,4e-08,alzheimer disease,EPHA1-AS1,7:143413669,0.35160497745801667
165,rs113020870-<b>?</b>,4e-08,late-onset alzheimers disease,AGRN,1:1049997,-1.0
384,rs569214-<b>?</b>,4e-08,alzheimer disease,CLU,8:27630273,-1.0
384,rs569214-<b>?</b>,4e-08,alzheimer disease,SCARA3,8:27630273,-1.0
227,rs3865444-<b>A</b>,4e-08,alzheimer disease,SIGLEC22P,19:51224706,0.3023239159236581
227,rs3865444-<b>A</b>,4e-08,alzheimer disease,CD33,19:51224706,0.3023239159236581
133,rs112404845-<b>A</b>,4e-08,late-onset alzheimers disease,ROBO2P1,7:51510325,1.0
366,rs4676049-<b>A</b>,4e-08,alzheimer disease,EDAR,2:109018801,-1.0
217,rs2632516-<b>G</b>,4e-08,alzheimer disease,TSPOAP1-AS1,17:58331728,0.6547216788191357
713,rs449647-<b>T</b>,4e-08,alzheimer disease,APOE,19:44905307,0.20153310862237686
713,rs449647-<b>T</b>,4e-08,alzheimer disease,TOMM40,19:44905307,0.20153310862237686
452,rs61144803-<b>?</b>,5e-08,alzheimer disease,CRADD,12:93841389,-1.0
1,rs1060743-<b>?</b>,5e-08,late-onset alzheimers disease,BIN1,2:127068957,-1.0
355,rs75002042-<b>T</b>,5e-08,alzheimer disease,FBXL7,5:15669858,0.9886645612452064
237,rs8093731-<b>T</b>,5e-08,alzheimer disease,DSG2,18:31508995,0.028106639711921157
139,rs16961023-<b>C</b>,5e-08,late-onset alzheimers disease,SLC10A2,13:103011595,0.9953414505029116
305,rs78986976-<b>G</b>,5e-08,alzheimer disease,NECTIN2,19:44826181,0.9524616199047115
305,rs78986976-<b>G</b>,5e-08,alzheimer disease,BCAM,19:44826181,0.9524616199047115
408,rs145848414-<b>A</b>,7e-08,alzheimer disease,HIGD1AP3,5:174587111,0.008321775312066574
408,rs145848414-<b>A</b>,7e-08,alzheimer disease,SUMO2P6,5:174587111,0.008321775312066574
664,rs1892676-<b>C</b>,7e-08,alzheimer disease,APP-DT,21:26221221,0.2952432599938023
454,rs143258881-<b>?</b>,7e-08,alzheimer disease,GPC6,13:93293605,-1.0
425,rs12091371-<b>?</b>,7e-08,alzheimer disease,FMN2,1:240441752,-1.0
489,rs6448799-<b>T</b>,7e-08,alzheimer disease,UNKNOWN,4:11628425,0.30395158318451115
492,rs7818382-<b>T</b>,8e-08,alzheimer disease,NDUFAF6,8:95041772,0.43379803524992777
461,rs4794202-<b>?</b>,8e-08,alzheimer disease,SP6,17:47853173,-1.0
144,rs4735340-<b>T</b>,9e-08,late-onset alzheimers disease,NDUFAF6,8:94964023,0.5012705134992059
681,rs7195572-<b>?</b>,9e-08,alzheimer disease,MTSS2,16:70667508,-1.0
695,rs569584007-<b>?</b>,9e-08,alzheimer disease,HNRNPKP3,11:43145292,-1.0
225,rs6014724-<b>G</b>,9e-08,alzheimer disease,CASS4,20:56423488,0.10372261641111001
677,rs17645935-<b>A</b>,9e-08,alzheimer disease,SPPL2A,15:50699812,0.8848114169215087
677,rs17645935-<b>A</b>,9e-08,alzheimer disease,RN7SL354P,15:50699812,0.8848114169215087
279,rs2732703-<b>?</b>,1e-07,alzheimer disease,ARL17B,17:46275856,-1.0
526,rs639012-<b>G</b>,1e-07,alzheimer disease,PICALM,11:85970540,0.7077289571201694
17,rs148619105-<b>?</b>,1e-07,late-onset alzheimers disease,TECTA,11:121146015,-1.0
428,rs538867-<b>?</b>,1e-07,alzheimer disease,MOBP,3:39471787,-1.0
40,rs150631144-<b>T</b>,1e-07,late-onset alzheimers disease,RNU6-909P,5:28577827,0.006317934782608696
330,rs17169634-<b>?</b>,1e-07,alzheimer disease,BMPER,7:34054385,-1.0
252,rs10498633-<b>T</b>,1e-07,alzheimer disease,SLC24A4,14:92460608,0.20597855978077328
12,rs11828907-<b>C</b>,2e-07,late-onset alzheimers disease,AHNAK,11:62521506,0.001082936832524971
245,rs1476679-<b>C</b>,2e-07,alzheimer disease,ZCWPW1,7:100406823,0.27895464225837147
254,rs7274581-<b>C</b>,2e-07,alzheimer disease,CASS4,20:56443204,0.0944242034576368
96,rs137869973-<b>T</b>,2e-07,late-onset alzheimers disease,KCTD9P6,8:31236084,0.07744838538909476
430,rs340635-<b>?</b>,2e-07,alzheimer disease,AFF1,4:87010252,-1.0
332,rs62209-<b>C</b>,2e-07,alzheimer disease,CELF2,10:10958376,-1.0
442,rs1861525-<b>?</b>,2e-07,alzheimer disease,CYCS,7:25121983,-1.0
694,rs184179037-<b>?</b>,2e-07,alzheimer disease,WDR70,5:37483838,-1.0
542,rs476428-<b>G</b>,2e-07,alzheimer disease,ACSL6,5:131965922,0.866530693463337
538,rs382216-<b>C</b>,2e-07,alzheimer disease,CDC42SE2,5:131351444,0.760189109879361
416,rs2573905-<b>?</b>,2e-07,alzheimer disease,PCDH11X,X:92147221,-1.0
624,rs440277-<b>G</b>,2e-07,alzheimer disease,NECTIN2,19:44857967,0.6917962453778326
642,rs2298369-<b>?</b>,3e-07,alzheimer disease,MIR155HG,21:25583969,-1.0
642,rs2298369-<b>?</b>,3e-07,alzheimer disease,MRPL39,21:25583969,-1.0
414,rs11610206-<b>?</b>,3e-07,alzheimer disease,PCED1B,12:47245743,-1.0
414,rs11610206-<b>?</b>,3e-07,alzheimer disease,PPIAP45,12:47245743,-1.0
404,rs2456930-<b>G</b>,3e-07,alzheimer disease,TLN2,15:62395140,-1.0
451,rs147845115-<b>?</b>,3e-07,alzheimer disease,SLC4A8,12:51484976,-1.0
152,rs35868327-<b>T</b>,3e-07,late-onset alzheimers disease,UNKNOWN,5:53369400,0.9837935174069627
153,rs71618613-<b>A</b>,3e-07,late-onset alzheimers disease,LINC02109,5:29005878,0.9834288692027098
488,rs6678275-<b>C</b>,3e-07,alzheimer disease,UNKNOWN,1:193656103,0.09846666666666666
495,rs7295246-<b>G</b>,3e-07,alzheimer disease,ADAMTS20,12:43573874,0.3908417151932239
495,rs7295246-<b>G</b>,3e-07,alzheimer disease,EEF1A1P17,12:43573874,0.3908417151932239
496,rs2337406-<b>C</b>,3e-07,alzheimer disease,IGHV3-71,14:106772332,0.9691973415132924
496,rs2337406-<b>C</b>,3e-07,alzheimer disease,IGHV2-70,14:106772332,0.9691973415132924
497,rs8035452-<b>T</b>,3e-07,alzheimer disease,SPPL2A,15:50748601,0.6405935677190738
500,chr17:61538148-<b>A</b>,3e-07,alzheimer disease,UNKNOWN,Mapping not available,-1.0
565,rs11708767-<b>A</b>,3e-07,alzheimer disease,MED12L,3:151401938,0.39202334630350194
541,rs142958719-<b>G</b>,3e-07,alzheimer disease,MEIKIN,5:131897266,0.7907981423479857
457,rs74006954-<b>?</b>,3e-07,alzheimer disease,GABRG3,15:27467498,-1.0
395,rs3748140-<b>?</b>,3e-07,alzheimer disease,PPP1R3B,8:9141509,-1.0
263,rs28868104-<b>?</b>,4e-07,alzheimer disease,UNKNOWN,3:104241993,-1.0
460,rs9934540-<b>?</b>,4e-07,alzheimer disease,VAT1L,16:77842866,-1.0
436,rs146579248-<b>?</b>,4e-07,alzheimer disease,LINC01184,5:128046610,-1.0
589,rs62402815-<b>?</b>,4e-07,alzheimer disease,LNC-LBCS,6:19350484,-1.0
701,rs115550680-<b>?</b>,4e-07,alzheimer disease,ABCA7,19:1050421,-1.0
145,rs10467994-<b>T</b>,4e-07,late-onset alzheimers disease,SPPL2A,15:50716490,0.6761778718898889
258,rs2666895-<b>?</b>,4e-07,alzheimer disease,MIR7154,11:45689480,-1.0
258,rs2666895-<b>?</b>,4e-07,alzheimer disease,CHST1,11:45689480,-1.0
348,rs249153-<b>C</b>,4e-07,alzheimer disease,NDUFA12,12:94930613,0.2078014685570752
540,rs758324-<b>T</b>,4e-07,alzheimer disease,FNIP1,5:131773852,0.7255338078291815
74,rs181696879-<b>A</b>,4e-07,late-onset alzheimers disease,MCPH1-AS1,8:6680850,0.9990726690271455
453,rs1399439-<b>?</b>,4e-07,alzheimer disease,ANO4,12:100827461,-1.0
498,rs74615166-<b>C</b>,4e-07,alzheimer disease,TRIP4,15:64433291,0.019523494374586368
118,rs147150305-<b>A</b>,4e-07,late-onset alzheimers disease,PLCL1,2:198252846,0.9963245492371706
691,rs9516245-<b>?</b>,4e-07,alzheimer disease,GPC6,13:93507547,-1.0
499,rs7225151-<b>A</b>,4e-07,alzheimer disease,SCIMP,17:5233752,0.12289112150931349
499,rs7225151-<b>A</b>,4e-07,alzheimer disease,ZNF594-DT,17:5233752,0.12289112150931349
692,rs3745495-<b>?</b>,4e-07,alzheimer disease,VRK3,19:50021075,-1.0
429,rs78647349-<b>?</b>,5e-07,alzheimer disease,STK32B,4:5235426,-1.0
446,rs7009219-<b>?</b>,5e-07,alzheimer disease,ST18,8:52301705,-1.0
97,rs72840936-<b>C</b>,5e-07,late-onset alzheimers disease,STEAP3-AS1,2:119266116,0.03403917416622552
290,rs9271192-<b>?</b>,5e-07,alzheimer disease,HLA-DRB1,6:32610753,-1.0
290,rs9271192-<b>?</b>,5e-07,alzheimer disease,HLA-DQA1,6:32610753,-1.0
66,rs144573434-<b>T</b>,5e-07,late-onset alzheimers disease,UNKNOWN,9:81079667,0.99993399339934
466,rs75617873-<b>?</b>,5e-07,alzheimer disease,PARVB,22:44130225,-1.0
699,rs79537509-<b>?</b>,5e-07,alzheimer disease,LINC02152,16:8238399,-1.0
696,rs115816806-<b>?</b>,5e-07,alzheimer disease,ACER3,11:76830796,-1.0
696,rs115816806-<b>?</b>,5e-07,alzheimer disease,TSKU,11:76830796,-1.0
444,rs11770757-<b>?</b>,5e-07,alzheimer disease,EXOC4,7:134063193,-1.0
84,rs56249755-<b>A</b>,5e-07,late-onset alzheimers disease,FAM240B,9:38711009,0.9876654314452091
567,rs78358979-<b>A</b>,5e-07,alzheimer disease,UNKNOWN,6:86795185,0.029773897470338033
140,rs72842919-<b>A</b>,5e-07,late-onset alzheimers disease,RPS20P10,2:71938176,0.9727735368956743
70,rs141976661-<b>A</b>,5e-07,late-onset alzheimers disease,LINC00624,1:147483513,0.9876498176133403
534,rs16847609-<b>A</b>,5e-07,alzheimer disease,HSPA8P9,3:137931894,0.0897357119480641
534,rs16847609-<b>A</b>,5e-07,alzheimer disease,CLDN18,3:137931894,0.0897357119480641
693,rs115684722-<b>?</b>,6e-07,alzheimer disease,RN7SL299P,1:232240417,-1.0
448,rs118048115-<b>?</b>,6e-07,alzheimer disease,PLPP4,10:120519964,-1.0
65,rs116050881-<b>T</b>,6e-07,late-onset alzheimers disease,LINC01725,1:29684252,0.0006990074094785405
438,rs117780815-<b>?</b>,6e-07,alzheimer disease,NKAIN2,6:124005082,-1.0
16,rs56009889-<b>?</b>,6e-07,late-onset alzheimers disease,ATM,11:108326169,-1.0
16,rs56009889-<b>?</b>,6e-07,late-onset alzheimers disease,C11orf65,11:108326169,-1.0
491,rs9381040-<b>C</b>,6e-07,alzheimer disease,TREML2,6:41186912,0.7005752966629516
491,rs9381040-<b>C</b>,6e-07,alzheimer disease,TREM2,6:41186912,0.7005752966629516
362,rs690705-<b>?</b>,6e-07,alzheimer disease,VDAC1P12,13:34080781,-1.0
509,rs3752246-<b>G</b>,6e-07,alzheimer disease,ABCA7,19:1056493,0.15754550792718733
539,rs6890695-<b>G</b>,6e-07,alzheimer disease,RAPGEF6,5:131552731,0.7646903123345685
494,rs10751667-<b>T</b>,6e-07,alzheimer disease,AP2A2,11:941941,0.6304923239809423
5,rs7232-<b>?</b>,6e-07,late-onset alzheimers disease,MS4A6A,11:60173126,-1.0
349,rs13178362-<b>T</b>,7e-07,alzheimer disease,HPRT1P2,5:30178906,0.8406428134677213
450,rs326946-<b>?</b>,7e-07,alzheimer disease,ARHGAP20,11:110628530,-1.0
331,rs75847378-<b>?</b>,7e-07,alzheimer disease,SLC8A1-AS1,2:39954377,-1.0
447,rs4836694-<b>?</b>,7e-07,alzheimer disease,NCS1,9:130177513,-1.0
490,rs72807343-<b>T</b>,7e-07,alzheimer disease,SQSTM1,5:179811261,0.016360771227289583
445,rs73660619-<b>?</b>,8e-07,alzheimer disease,CSMD1,8:3230651,-1.0
108,rs144998240-<b>A</b>,8e-07,late-onset alzheimers disease,COL25A1,4:109251730,0.0010402219140083217
83,rs62179067-<b>T</b>,8e-07,late-onset alzheimers disease,SESTD1,2:179270456,0.9364743250397035
344,rs12361953-<b>C</b>,8e-07,alzheimer disease,LUZP2,11:24589584,0.9202647134412747
112,rs142835438-<b>A</b>,8e-07,late-onset alzheimers disease,ZBTB10,8:80555470,0.0024271844660194173
112,rs142835438-<b>A</b>,8e-07,late-onset alzheimers disease,RPSAP47,8:80555470,0.0024271844660194173
51,rs7313581-<b>T</b>,8e-07,late-onset alzheimers disease,KRAS,12:25269783,0.21900956914557732
161,rs182921547-<b>?</b>,8e-07,late-onset alzheimers disease,UNKNOWN,4:32832588,-1.0
435,rs143954261-<b>?</b>,8e-07,alzheimer disease,MEGF10,5:127393758,-1.0
377,rs10850408-<b>?</b>,9e-07,alzheimer disease,UNKNOWN,12:114942588,-1.0
557,rs71380849-<b>A</b>,9e-07,alzheimer disease,CDR2L,17:74979653,0.01849921834288692
557,rs71380849-<b>A</b>,9e-07,alzheimer disease,HID1-AS1,17:74979653,0.01849921834288692
690,rs2633682-<b>?</b>,9e-07,alzheimer disease,UNKNOWN,3:104690364,-1.0
424,rs2421847-<b>?</b>,9e-07,alzheimer disease,PRRC2C,1:171588461,-1.0
689,rs168193-<b>?</b>,9e-07,alzheimer disease,RN7SL553P,3:5260392,-1.0
670,rs7153315-<b>C</b>,9e-07,alzheimer disease,IGHG1,14:105729382,0.6940825789357474
670,rs7153315-<b>C</b>,9e-07,alzheimer disease,IGHEP1,14:105729382,0.6940825789357474
123,rs115798104-<b>A</b>,9e-07,late-onset alzheimers disease,MECOM,3:169273046,0.9994514536478333
434,rs116348108-<b>?</b>,9e-07,alzheimer disease,DMXL1,5:119099432,-1.0
633,rs912322-<b>A</b>,1e-06,alzheimer disease,MYO16,13:109155938,0.7336179095027996
337,rs4145462-<b>T</b>,1e-06,alzheimer disease,MPZL1,1:167749262,-1.0
48,rs3820443-<b>T</b>,1e-06,late-onset alzheimers disease,PIFO,1:111350283,0.6819819428769859
350,rs474951-<b>T</b>,1e-06,alzheimer disease,MS4A2,11:60071148,0.704134801243802
350,rs474951-<b>T</b>,1e-06,alzheimer disease,MS4A3,11:60071148,0.704134801243802
114,rs921390-<b>T</b>,1e-06,late-onset alzheimers disease,UNKNOWN,5:4515659,0.002912621359223301
360,rs7539409-<b>?</b>,1e-06,alzheimer disease,LINC01725,1:83789052,-1.0
660,rs5969117-<b>C</b>,1e-06,alzheimer disease,UNKNOWN,X:87181248,0.30866973899942396
284,rs10498633-<b>?</b>,1e-06,alzheimer disease,SLC24A4,14:92460608,-1.0
341,rs11983798-<b>T</b>,1e-06,alzheimer disease,ATXN7L1,7:105640741,-1.0
342,rs6468852-<b>G</b>,1e-06,alzheimer disease,MAILR,8:102963761,0.21026303428839832
41,rs8077028-<b>T</b>,1e-06,late-onset alzheimers disease,CEP295NL,17:78891959,0.9752171657376983
41,rs8077028-<b>T</b>,1e-06,late-onset alzheimers disease,TIMP2,17:78891959,0.9752171657376983
21,rs73865608-<b>A</b>,1e-06,late-onset alzheimers disease,LINC02273,4:152043740,0.0023578363384188627
21,rs73865608-<b>A</b>,1e-06,late-onset alzheimers disease,RNA5SP169,4:152043740,0.0023578363384188627
255,rs243034-<b>C</b>,1e-06,alzheimer disease,MIR4432HG,2:60375757,0.40832908095933557
632,rs35242772-<b>C</b>,1e-06,alzheimer disease,MIR302F,18:30214382,0.3753351206434316
352,rs1992269-<b>A</b>,1e-06,alzheimer disease,AIDAP3,18:1872316,-1.0
549,rs59616746-<b>C</b>,1e-06,alzheimer disease,SH2D4B,10:80629227,0.8551274751692288
604,rs2233083-<b>?</b>,1e-06,alzheimer disease,MAPK7,17:19383150,-1.0
697,rs75739461-<b>?</b>,1e-06,alzheimer disease,RERGL,12:18318612,-1.0
697,rs75739461-<b>?</b>,1e-06,alzheimer disease,PIK3C2G,12:18318612,-1.0
443,rs2392492-<b>?</b>,1e-06,alzheimer disease,ELMO1,7:37325592,-1.0
391,rs12808148-<b>?</b>,1e-06,alzheimer disease,MMP12,11:102862432,-1.0
391,rs12808148-<b>?</b>,1e-06,alzheimer disease,MMP3,11:102862432,-1.0
109,rs138543081-<b>T</b>,1e-06,late-onset alzheimers disease,ZNF462,9:107043881,0.003883495145631068
110,rs192013290-<b>T</b>,1e-06,late-onset alzheimers disease,HMCN1,1:185780742,0.0011646373742721016
88,rs76816469-<b>T</b>,1e-06,late-onset alzheimers disease,CDH1,16:68759780,0.017482936175308345
467,rs17172199-<b>?</b>,1e-06,alzheimer disease,HECW1,7:43337677,-1.0
353,rs802571-<b>T</b>,1e-06,alzheimer disease,CNTNAP2,7:146265094,-1.0
23,rs193129245-<b>A</b>,1e-06,late-onset alzheimers disease,UNKNOWN,6:23318629,0.00014234875444839857
244,rs2718058-<b>G</b>,1e-06,alzheimer disease,GPR141,7:37801932,0.3547949429540549
244,rs2718058-<b>G</b>,1e-06,alzheimer disease,EPDR1,7:37801932,0.3547949429540549
264,rs1925458-<b>?</b>,1e-06,alzheimer disease,UNKNOWN,6:23378723,-1.0
566,rs4533991-<b>T</b>,2e-06,alzheimer disease,UNKNOWN,6:51233850,0.417756559415871
120,rs142660142-<b>T</b>,2e-06,late-onset alzheimers disease,LINGO1,15:77611050,0.99736680955297
547,rs2279590-<b>C</b>,2e-06,alzheimer disease,CLU,8:27598736,0.6139123937021134
568,rs6978679-<b>A</b>,2e-06,alzheimer disease,CDHR3,7:106078297,0.6967528893780958
568,rs6978679-<b>A</b>,2e-06,alzheimer disease,SYPL1,7:106078297,0.6967528893780958
121,rs139638356-<b>T</b>,2e-06,late-onset alzheimers disease,UNKNOWN,9:80903300,0.9862428348097968
562,rs4298437-<b>A</b>,2e-06,alzheimer disease,RELN,7:103985430,-1.0
122,rs144167489-<b>T</b>,2e-06,late-onset alzheimers disease,SUMO1P2,1:168874774,0.0001392951664577239
122,rs144167489-<b>T</b>,2e-06,late-onset alzheimers disease,LINC00626,1:168874774,0.0001392951664577239
356,rs7431992-<b>A</b>,2e-06,alzheimer disease,CACNA2D3,3:54319213,0.09396506087877184
105,rs144464515-<b>C</b>,2e-06,late-onset alzheimers disease,ZNRF4,19:5417482,0.0024271844660194173
105,rs144464515-<b>C</b>,2e-06,late-onset alzheimers disease,PTPRS,19:5417482,0.0024271844660194173
287,rs1476679-<b>?</b>,2e-06,alzheimer disease,ZCWPW1,7:100406823,-1.0
673,rs77501143-<b>T</b>,2e-06,alzheimer disease,MROH1,8:144197581,0.01925472873485106
67,rs181228315-<b>A</b>,2e-06,late-onset alzheimers disease,TMEM94,17:75453551,0.9984049930651873
298,rs1477307-<b>?</b> x rs4077746-<b>?</b>,2e-06,alzheimer disease,No mapped genes x TLN2,15:62623147,-1.0
75,rs146322114-<b>A</b>,2e-06,late-onset alzheimers disease,PCSK6,15:101501820,0.007420249653259362
644,rs6838792-<b>?</b>,2e-06,alzheimer disease,STK32B,4:5096839,-1.0
85,rs115317194-<b>T</b>,2e-06,late-onset alzheimers disease,SLMAP,3:57830215,0.013938973647711511
87,rs7698880-<b>C</b>,2e-06,late-onset alzheimers disease,UNC93B4,4:4148701,0.034817062889900524
623,rs1871047-<b>A</b>,2e-06,alzheimer disease,NECTIN2,19:44848489,0.6223801904362196
93,rs72998574-<b>T</b>,2e-06,late-onset alzheimers disease,R3HDM2P2,6:103969846,0.064722787690097
614,rs8103315-<b>?</b>,2e-06,alzheimer disease,BCL3,19:44750911,-1.0
100,rs73239797-<b>A</b>,2e-06,late-onset alzheimers disease,RNU7-188P,7:96446404,0.04195035089556929
100,rs73239797-<b>A</b>,2e-06,late-onset alzheimers disease,SEM1,7:96446404,0.04195035089556929
54,rs184992198-<b>T</b>,2e-06,late-onset alzheimers disease,BNIP3P13,19:20064649,1.0
54,rs184992198-<b>T</b>,2e-06,late-onset alzheimers disease,ZNF90,19:20064649,1.0
532,rs16830122-<b>A</b>,2e-06,alzheimer disease,KCNN3,1:154713065,0.12200890372843629
592,rs11969759-<b>?</b>,2e-06,alzheimer disease,TNXB,6:32053353,-1.0
11,rs78541046-<b>?</b>,2e-06,late-onset alzheimers disease,RHBDF1,16:63029,-1.0
62,rs147597631-<b>T</b>,2e-06,late-onset alzheimers disease,TCF15,20:566915,0.012863949179460031
62,rs147597631-<b>T</b>,2e-06,late-onset alzheimers disease,CSNK2A1,20:566915,0.012863949179460031
700,rs145848414-<b>?</b>,2e-06,alzheimer disease,HIGD1AP3,5:174587111,-1.0
700,rs145848414-<b>?</b>,2e-06,alzheimer disease,SUMO2P6,5:174587111,-1.0
288,rs2718058-<b>?</b>,2e-06,alzheimer disease,GPR141,7:37801932,-1.0
288,rs2718058-<b>?</b>,2e-06,alzheimer disease,EPDR1,7:37801932,-1.0
59,rs62177277-<b>T</b>,2e-06,late-onset alzheimers disease,SESTD1,2:179139721,0.022488755622188907
111,rs144077517-<b>A</b>,2e-06,late-onset alzheimers disease,SCAPER,15:76352686,0.00014234875444839857
577,rs12450778-<b>?</b>,2e-06,alzheimer disease,EPOP,17:38658216,-1.0
577,rs12450778-<b>?</b>,2e-06,alzheimer disease,SRCIN1,17:38658216,-1.0
574,rs77104831-<b>?</b>,2e-06,alzheimer disease,FBXL13,7:102911421,-1.0
58,rs73732514-<b>A</b>,2e-06,late-onset alzheimers disease,CTD-2194D22.4,5:1983817,0.986130374479889
117,rs145282773-<b>T</b>,2e-06,late-onset alzheimers disease,HMGA2,12:65859519,0.9998576512455516
117,rs145282773-<b>T</b>,2e-06,late-onset alzheimers disease,HMGA2-AS1,12:65859519,0.9998576512455516
528,rs2854437-<b>G</b>,2e-06,alzheimer disease,SORD,15:45065212,0.7761778718898888
544,rs11761441-<b>G</b>,2e-06,alzheimer disease,UNKNOWN,7:82377,0.5221888412017167
413,rs2061333-<b>?</b>,2e-06,alzheimer disease,ZNF225,19:44110055,-1.0
413,rs2061333-<b>?</b>,2e-06,alzheimer disease,ZNF224,19:44110055,-1.0
501,rs11159647-<b>?</b>,2e-06,alzheimer disease,UNKNOWN,14:84308865,-1.0
233,rs10933431-<b>G</b>,2e-06,alzheimer disease,INPP5D,2:233117202,0.3065113816834304
433,rs77636885-<b>?</b>,2e-06,alzheimer disease,CAMK4,5:111383489,-1.0
440,rs75253868-<b>?</b>,2e-06,alzheimer disease,PLEKHG1,6:150781694,-1.0
343,rs9969729-<b>A</b>,2e-06,alzheimer disease,SLC25A6P5,9:105869669,0.176758535582065
340,rs7638995-<b>A</b>,2e-06,alzheimer disease,FRMD4B,3:69124224,0.24736842105263157
340,rs7638995-<b>A</b>,2e-06,alzheimer disease,LMOD3,3:69124224,0.24736842105263157
427,rs78022502-<b>?</b>,2e-06,alzheimer disease,LIMS2,2:127638592,-1.0
37,rs188392327-<b>A</b>,2e-06,late-onset alzheimers disease,UGT1A8,2:233651485,0.004499735309687666
37,rs188392327-<b>A</b>,2e-06,late-onset alzheimers disease,UGT1A10,2:233651485,0.004499735309687666
162,rs8111708-<b>?</b>,2e-06,late-onset alzheimers disease,ELL,19:18448066,-1.0
370,rs17006206-<b>G</b>,2e-06,alzheimer disease,SLC4A1AP,2:27684606,0.005773174733388023
138,rs139195876-<b>A</b>,2e-06,late-onset alzheimers disease,NACAP6,5:16262936,1.0
517,rs17366218-<b>A</b>,2e-06,alzheimer disease,PDE1A,2:182154019,0.9775577899865243
134,rs183256737-<b>A</b>,2e-06,late-onset alzheimers disease,SEC24B-AS1,4:109373310,0.9984743411927878
351,rs1552244-<b>A</b>,2e-06,alzheimer disease,FANCD2OS,3:10093893,0.8233867389696821
351,rs1552244-<b>A</b>,2e-06,alzheimer disease,FANCD2,3:10093893,0.8233867389696821
155,rs187857322-<b>?</b>,2e-06,late-onset alzheimers disease,OR7E59P,7:6869229,-1.0
155,rs187857322-<b>?</b>,2e-06,late-onset alzheimers disease,OR7E136P,7:6869229,-1.0
401,rs1448284-<b>T</b>,2e-06,alzheimer disease,MAPRE1P2,4:33078033,-1.0
464,rs7245858-<b>?</b>,2e-06,alzheimer disease,PPIAP59,19:50927340,-1.0
458,rs17301739-<b>?</b>,2e-06,alzheimer disease,LIPC-AS1,15:58438440,-1.0
458,rs17301739-<b>?</b>,2e-06,alzheimer disease,LIPC,15:58438440,-1.0
458,rs17301739-<b>?</b>,2e-06,alzheimer disease,ALDH1A2,15:58438440,-1.0
257,rs10968750-<b>T</b>,2e-06,alzheimer disease,LINGO2,9:28753984,0.9422121896162529
235,rs113260531-<b>A</b>,3e-06,alzheimer disease,ZNF594-DT,17:5235685,0.13292747485442033
158,rs35833468-<b>?</b>,3e-06,late-onset alzheimers disease,EGLN3,14:33974720,-1.0
687,rs7311672-<b>?</b>,3e-06,alzheimer disease,C1S,12:7057810,-1.0
